defined_class	defined_class_label	location	location_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0003159	Hyperoxaluria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_132952	oxalate
http://purl.obolibrary.org/obo/HP_0010934	Xanthinuria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_15318	xanthine
http://purl.obolibrary.org/obo/HP_0003542	Increased serum pyruvate	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_15361	pyruvate
http://purl.obolibrary.org/obo/HP_0002154	Hyperglycinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_15428	glycine
http://purl.obolibrary.org/obo/HP_0003108	Hyperglycinuria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_15428	glycine
http://purl.obolibrary.org/obo/HP_0003566	Increased serum prostaglandin E2	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_15551	prostaglandin E2
http://purl.obolibrary.org/obo/HP_0010896	Hypersarcosinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_15611	sarcosine
http://purl.obolibrary.org/obo/HP_0410052	Increased level of allantoin in serum	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_15676	allantoin
http://purl.obolibrary.org/obo/HP_0003167	Carnosinuria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_15727	carnosine
http://purl.obolibrary.org/obo/HP_0003166	Increased urinary taurine	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_15891	taurine
http://purl.obolibrary.org/obo/HP_0045016	Elevated serum long-chain fatty acids	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_15904	long-chain fatty acid
http://purl.obolibrary.org/obo/HP_0003455	Elevated circulating long chain fatty acid concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_15904	long-chain fatty acid
http://purl.obolibrary.org/obo/HP_0025550	Elevated circulating ribitol concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_15963	ribitol
http://purl.obolibrary.org/obo/HP_0410070	Increased level of ribitol in urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_15963	ribitol
http://purl.obolibrary.org/obo/HP_0410071	Increased level of ribitol in CSF	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_15963	ribitol
http://purl.obolibrary.org/obo/HP_0003161	4-Hydroxyphenylpyruvic aciduria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_15999	(4-hydroxyphenyl)pyruvic acid
