defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0012277	Hypoglycinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_15428	glycine
http://purl.obolibrary.org/obo/HP_0410060	Decreased level of D-mannose in urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_16024	D-mannose
http://purl.obolibrary.org/obo/HP_0410050	"Decreased level of 1,5 anhydroglucitol in serum"	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_16070	"1,5-anhydro-D-glucitol"
http://purl.obolibrary.org/obo/HP_0003146	Hypocholesterolemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol
http://purl.obolibrary.org/obo/HP_0100493	Hypoammonemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_16134	ammonia
http://purl.obolibrary.org/obo/HP_0003359	Decreased urinary sulfate	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_16189	sulfate
http://purl.obolibrary.org/obo/HP_0500154	Hypoalaninemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_16449	alanine
http://purl.obolibrary.org/obo/HP_0003075	Hypoproteinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_16541	protein polypeptide chain
http://purl.obolibrary.org/obo/HP_0012101	Decreased serum creatinine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_16737	creatinine
http://purl.obolibrary.org/obo/HP_0003658	Hypomethioninemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_16811	methionine
http://purl.obolibrary.org/obo/HP_0410054	Decreased level of GABA in serum	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_16865	gamma-aminobutyric acid
http://purl.obolibrary.org/obo/HP_0012405	Hypocitraturia	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_16947	citrate(3-)
http://purl.obolibrary.org/obo/HP_0008233	Decreased circulating progesterone	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_17026	progesterone
http://purl.obolibrary.org/obo/HP_0410055	Decreased level of erythritol in urine	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_17113	erythritol
http://purl.obolibrary.org/obo/HP_0410056	Decreased level of erythritol in CSF	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_17113	erythritol
http://purl.obolibrary.org/obo/HP_0003234	Decreased plasma carnitine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17126	carnitine
