defined_class	defined_class_label	biological_process	biological_process_label																							
http://purl.obolibrary.org/obo/HP_0002104	Apnea	http://purl.obolibrary.org/obo/GO_0007585	respiratory gaseous exchange																							
http://purl.obolibrary.org/obo/HP_0000618	Blindness	http://purl.obolibrary.org/obo/GO_0007601	visual perception																							
http://purl.obolibrary.org/obo/HP_0000365	Hearing impairment	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound																							
http://purl.obolibrary.org/obo/HP_0000458	Anosmia	http://purl.obolibrary.org/obo/GO_0007608	sensory perception of smell																							
http://purl.obolibrary.org/obo/HP_0030172	Peripheral amyelination	http://purl.obolibrary.org/obo/GO_0022011	myelination in peripheral nervous system																							
http://purl.obolibrary.org/obo/HP_0000141	Amenorrhea	http://purl.obolibrary.org/obo/GO_0042703	menstruation																							
http://purl.obolibrary.org/obo/HP_0008197	Absence of pubertal development	http://purl.obolibrary.org/obo/GO_0045136	development of secondary sexual characteristics																							
http://purl.obolibrary.org/obo/HP_0008647	Pubertal developmental failure in females	http://purl.obolibrary.org/obo/GO_0046543	development of secondary female sexual characteristics																							
http://purl.obolibrary.org/obo/HP_0002304	Akinesia	http://purl.obolibrary.org/obo/GO_0050881	musculoskeletal movement																							
http://purl.obolibrary.org/obo/HP_0000405	Conductive hearing impairment	http://purl.obolibrary.org/obo/GO_0055127	vibrational conductance of sound to the inner ear																							
http://purl.obolibrary.org/obo/HP_0100519	Anuria	http://purl.obolibrary.org/obo/GO_0060073	micturition																							
																										
