defined_class	defined_class_label	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/HP_0000744	Low frustration tolerance	http://purl.obolibrary.org/obo/NBO_0000620	frustration behavior
http://purl.obolibrary.org/obo/HP_0003763	Bruxism	http://purl.obolibrary.org/obo/NBO_0000420	bruxism
http://purl.obolibrary.org/obo/HP_0000716	Depressivity	http://purl.obolibrary.org/obo/NBO_0000515	depressive disorder
http://purl.obolibrary.org/obo/HP_0001959	Polydipsia	http://purl.obolibrary.org/obo/NBO_0000542	polydipsia
http://purl.obolibrary.org/obo/HP_0000733	Stereotypy	http://purl.obolibrary.org/obo/NBO_0000567	stereotypic behavior
http://purl.obolibrary.org/obo/HP_0002179	Opisthotonus	http://purl.obolibrary.org/obo/NBO_0000586	opisthotonus
http://purl.obolibrary.org/obo/HP_0001337	Tremor	http://purl.obolibrary.org/obo/NBO_0000589	tremor
http://purl.obolibrary.org/obo/HP_0001251	Ataxia	http://purl.obolibrary.org/obo/NBO_0000590	ataxia
http://purl.obolibrary.org/obo/HP_0001332	Dystonia	http://purl.obolibrary.org/obo/NBO_0000598	dystonia
http://purl.obolibrary.org/obo/HP_0000741	Apathy	http://purl.obolibrary.org/obo/NBO_0000602	apathy
http://purl.obolibrary.org/obo/HP_0000746	Delusions	http://purl.obolibrary.org/obo/NBO_0000603	delusion
http://purl.obolibrary.org/obo/HP_0002354	Memory impairment	http://purl.obolibrary.org/obo/NBO_0000606	forgetfulness
http://purl.obolibrary.org/obo/HP_0000738	Hallucinations	http://purl.obolibrary.org/obo/NBO_0000608	hallucination
http://purl.obolibrary.org/obo/HP_0002300	Mutism	http://purl.obolibrary.org/obo/NBO_0000621	selective mutism
http://purl.obolibrary.org/obo/HP_0010529	Echolalia	http://purl.obolibrary.org/obo/NBO_0000623	echolalia
http://purl.obolibrary.org/obo/HP_0007359	Focal-onset seizure	http://purl.obolibrary.org/obo/NBO_0000646	partial seizure
http://purl.obolibrary.org/obo/HP_0002349	Focal aware seizure	http://purl.obolibrary.org/obo/NBO_0000647	simple partial seizure
http://purl.obolibrary.org/obo/HP_0002384	Focal impaired awareness seizure	http://purl.obolibrary.org/obo/NBO_0000648	complex partial seizure
http://purl.obolibrary.org/obo/HP_0002266	Focal clonic seizures	http://purl.obolibrary.org/obo/NBO_0000651	simple partial seizure with motor signs
http://purl.obolibrary.org/obo/HP_0007334	Generalized tonic-clonic seizures with focal onset	http://purl.obolibrary.org/obo/NBO_0000663	partial seizure evolving to secondarily generalized seizure
http://purl.obolibrary.org/obo/HP_0002121	Absence seizure	http://purl.obolibrary.org/obo/NBO_0000669	absence seizures
http://purl.obolibrary.org/obo/HP_0010819	Atonic seizures	http://purl.obolibrary.org/obo/NBO_0000670	atonic seizure
http://purl.obolibrary.org/obo/HP_0002373	Febrile seizures	http://purl.obolibrary.org/obo/NBO_0000678	febrile seizure
http://purl.obolibrary.org/obo/HP_0002133	Status epilepticus	http://purl.obolibrary.org/obo/NBO_0000690	status epilepticus
http://purl.obolibrary.org/obo/HP_0007270	Atypical absence seizure	http://purl.obolibrary.org/obo/NBO_0000702	atypical absence seizure
http://purl.obolibrary.org/obo/HP_0002173	Hypoglycemic seizures	http://purl.obolibrary.org/obo/NBO_0000712	hypoglycemia induced seizure
http://purl.obolibrary.org/obo/HP_0006813	Hemiclonic seizures	http://purl.obolibrary.org/obo/NBO_0000731	hemiclonic seizure
http://purl.obolibrary.org/obo/HP_0002199	Hypocalcemic seizures	http://purl.obolibrary.org/obo/NBO_0000735	hypocalcemia induced seizure
http://purl.obolibrary.org/obo/HP_0001327	Photomyoclonic seizures	http://purl.obolibrary.org/obo/NBO_0000737	photostimulation induced seizure
http://purl.obolibrary.org/obo/HP_0010821	Gelastic seizures	http://purl.obolibrary.org/obo/NBO_0000738	gelastic epilepsy
http://purl.obolibrary.org/obo/HP_0010820	Dacrystic seizures	http://purl.obolibrary.org/obo/NBO_0000739	dacrystic epilepsy
