defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0010571	Elevated levels of phytanic acid	http://purl.obolibrary.org/obo/CHEBI_16285	phytanic acid
http://purl.obolibrary.org/obo/HP_0004368	Increased purine level	http://purl.obolibrary.org/obo/CHEBI_26401	purines
http://purl.obolibrary.org/obo/HP_0001900	Increased hemoglobin	http://purl.obolibrary.org/obo/CHEBI_35143	hemoglobin
http://purl.obolibrary.org/obo/HP_0410171	Increased cotinine level	http://purl.obolibrary.org/obo/CHEBI_68641	(-)-cotinine
http://purl.obolibrary.org/obo/HP_0008247	Euthyroid hyperthyroxinemia	http://purl.obolibrary.org/obo/CHEBI_30660	thyroxine
http://purl.obolibrary.org/obo/HP_0006254	Elevated alpha-fetoprotein	http://purl.obolibrary.org/obo/PR_000003809	alpha-fetoprotein
http://purl.obolibrary.org/obo/HP_0010681	Elevated intestinal alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003964	intestinal alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0003155	Elevated alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003968	"alkaline phosphatase, tissue-nonspecific isozyme"
http://purl.obolibrary.org/obo/HP_0010682	Elevated placental alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003969	"alkaline phosphatase, placental type"
http://purl.obolibrary.org/obo/HP_0000870	Prolactin excess	http://purl.obolibrary.org/obo/PR_000013246	prolactin
