subject_id	translation_value	comment
ID	AL oboInOwl:hasExactSynonym@nl	
HP:0000003	Multicystic dysplastic kidney	NOT_TRANSLATED
HP:0000003	Multicystic kidneys	NOT_TRANSLATED
HP:0000003	Multicystic renal dysplasia	NOT_TRANSLATED
HP:0000005	Overerving	CANDIDATE
HP:0000006	Autosomal dominant	NOT_TRANSLATED
HP:0000006	Autosomal dominant form	NOT_TRANSLATED
HP:0000006	Autosomal dominant type	NOT_TRANSLATED
HP:0000006	monoallelic_autosomal	NOT_TRANSLATED
HP:0000007	Autosomal recessive	NOT_TRANSLATED
HP:0000007	Autosomal recessive form	NOT_TRANSLATED
HP:0000007	Autosomal recessive predisposition	NOT_TRANSLATED
HP:0000007	biallelic_autosomal	NOT_TRANSLATED
HP:0000008	Abnormality of female internal genitalia	NOT_TRANSLATED
HP:0000009	Beperkte blaasfunctie	CANDIDATE
HP:0000010	Frequent urinary tract infections	NOT_TRANSLATED
HP:0000010	Recurrent UTIs	NOT_TRANSLATED
HP:0000010	Repeated bladder infections	NOT_TRANSLATED
HP:0000010	Repeated urinary tract infections	NOT_TRANSLATED
HP:0000010	Urinary tract infections	NOT_TRANSLATED
HP:0000010	Urinary tract infections, recurrent	NOT_TRANSLATED
HP:0000011	Lack of bladder control due to nervous system injury	NOT_TRANSLATED
HP:0000012	Overactive bladder	NOT_TRANSLATED
HP:0000012	Overactive bladder syndrome	NOT_TRANSLATED
HP:0000012	Urgency frequency syndrome	NOT_TRANSLATED
HP:0000013	Hypoplastic uterus	NOT_TRANSLATED
HP:0000013	Rudimentary uterus	NOT_TRANSLATED
HP:0000013	Small uterus	NOT_TRANSLATED
HP:0000013	Underdeveloped uterus	NOT_TRANSLATED
HP:0000015	Bladder diverticula	NOT_TRANSLATED
HP:0000016	Increased post-void residual urine volume	NOT_TRANSLATED
HP:0000017	Nycturia	NOT_TRANSLATED
HP:0032786	Migrating partial seizure	NOT_TRANSLATED
HP:0000019	Difficulty with flow	NOT_TRANSLATED
HP:0000020	Bladder incontinence	NOT_TRANSLATED
HP:0000020	Loss of bladder control	NOT_TRANSLATED
HP:0032789	Focal aware behaviour arrest seizure	NOT_TRANSLATED
HP:0032790	Focal impaired awareness behaviour arrest seizure	NOT_TRANSLATED
HP:0000024	Ontsteking van de prostaat	CANDIDATE
HP:0000026	Verminderde functie van mannelijke gonaden	CANDIDATE
HP:0000027	Ontbreken van zaadcellen in het sperma	CANDIDATE
HP:0032795	Generalised myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0032795	Generalised onset myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0032795	generalised onset myoclonic-tonic-clonic seizure	NOT_TRANSLATED
