source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date	comment
en	Multicystic kidney dysplasia	HP:0000003	rdfs:label	de	Multizystische Nierendysplasie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Recurrent urinary tract infections	HP:0000010	rdfs:label	de	Wiederkehrende Harnwegsinfektionen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Neurogenic bladder	HP:0000011	rdfs:label	de	Neurogene Blase	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Urinary urgency	HP:0000012	rdfs:label	de	Harndrang	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Bladder diverticulum	HP:0000015	rdfs:label	de	Blasendivertikel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Urinary retention	HP:0000016	rdfs:label	de	Harnverhalt	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Urinary incontinence	HP:0000020	rdfs:label	de	Urininkontinenz	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Inguinal hernia	HP:0000023	rdfs:label	de	Leistenhernie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Cryptorchidism	HP:0000028	rdfs:label	de	Kryptorchismus	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Testicular atrophy	HP:0000029	rdfs:label	de	Hodenatrophie	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Epididymitis	HP:0000031	rdfs:label	de	Nebenhodenentzündung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormal male external genitalia morphology	HP:0000032	rdfs:label	de	Abnormale Morphologie der männlichen äußeren Genitalien	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Ambiguous genitalia, male	HP:0000033	rdfs:label	de	Zweideutige Genitalien, männlich	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hydrocele testis	HP:0000034	rdfs:label	de	Hydrozele Hoden	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Long penis	HP:0000040	rdfs:label	de	Langer Penis	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Chordee	HP:0000041	rdfs:label	de	Chordee	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypogonadotropic hypogonadism	HP:0000044	rdfs:label	de	Hypogonadotroper Hypogonadismus	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypospadias	HP:0000047	rdfs:label	de	Hypospadie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Bifid scrotum	HP:0000048	rdfs:label	de	Gekrümmter Hodensack	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Shawl scrotum	HP:0000049	rdfs:label	de	Schuppenförmiger Hodensack	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Macroorchidism	HP:0000053	rdfs:label	de	Makroorchidie	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Micropenis	HP:0000054	rdfs:label	de	Mikropenis	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypoplastic labia majora	HP:0000059	rdfs:label	de	Hypoplastische große Schamlippen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
