source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	cs	HP:0000027	IAO:0000115	Absence of any measurable level of sperm in his semen	Absence jakékoliv měřitelné hodnoty spermií v semenné tekutině	OFFICIAL
en	cs	HP:0000032	IAO:0000115	An abnormality of male external genitalia	Abnormalita mužského zevního genitálu	OFFICIAL
en	cs	HP:0000032	rdfs:label	Abnormality of male external genitalia	Abnormalita mužského zevního genitálu	OFFICIAL
en	cs	HP:0000041	IAO:0000115	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees	Ventrální, laterální či ventrolaterální prohnutí těla a žaludu penisu o více než 30 stupňů	OFFICIAL
en	cs	HP:0000045	rdfs:label	Abnormality of the scrotum	Abnormalita šourku	OFFICIAL
en	cs	HP:0000055	IAO:0000115	An abnormality of the female external genitalia	Abnormalita zevního ženského genitálu	OFFICIAL
en	cs	HP:0000055	rdfs:label	Abnormality of female external genitalia	Abnormalita zevního ženského genitálu	OFFICIAL
en	cs	HP:0000056	IAO:0000115	An abnormality of the clitoris	Abnormální klitoris	OFFICIAL
en	cs	HP:0000056	rdfs:label	Abnormality of the clitoris	Abnormalita klitoris	OFFICIAL
en	cs	HP:0000151	IAO:0000115	Aplasia of the uterus	Aplázie dělohy	OFFICIAL
en	cs	HP:0000161	rdfs:label	Median cleft lip	Středový rozštěp rtu	OFFICIAL
en	cs	HP:0000183	rdfs:label	Difficulty in tongue movements	Obtíže při pohybu jazyka	OFFICIAL
en	cs	HP:0000202	IAO:0000115	The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately	Přítomnost orofaciálního rozštěpu. Rozštěpy rozdělujeme na rozštěpy rtu a rozštěpy patra. U rozštěpů rtu dochází k selhání splynutí maxillárních valů a frontonazálního valu, důsledkem čeho vzniká nedovřená trhlina či fissura rtu, zvaná rozštěp. U rozštěpu dochází k selhání fuze patra, mající za dúsledek fissuru patra. Rozštěpy rtu a patra se můžou vyskytovat individuálně či v koincidenci. Kódování každého osobitně je preferováno	OFFICIAL
en	cs	HP:0000202	rdfs:label	Oral cleft	Ústní rozštěp	OFFICIAL
en	cs	HP:0000204	IAO:0000115	A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development	Fisura v horním rtu vzniklá poruchou fuze tkání počas embryonálního vývoje	OFFICIAL
en	cs	HP:0000235	rdfs:label	Abnormality of the fontanelles or cranial sutures	Abnormalita fontanel nebo lebních švů	OFFICIAL
en	cs	HP:0000236	rdfs:label	Abnormality of the anterior fontanelle	Abnormalita přední fontanely	OFFICIAL
en	cs	HP:0000290	rdfs:label	Abnormality of the forehead	Abnormalita čela	OFFICIAL
en	cs	HP:0000326	rdfs:label	Abnormality of the maxilla	Abnormalita horní čelisti	OFFICIAL
en	cs	HP:0000368	rdfs:label	Low-set, posteriorly rotated ears	Nízko posazené, dozadu rotované uši	OFFICIAL
en	cs	HP:0000372	IAO:0000115	An abnormality of the External acoustic tube (also known as the auditory canal)	Abnormalita zevního zvukovodu (meatus acusticus externus)	OFFICIAL
en	cs	HP:0000372	rdfs:label	Abnormality of the auditory canal	Abnormalita zvukovodu	OFFICIAL
en	cs	HP:0000415	rdfs:label	Abnormality of the choanae	Abnormalita choan	OFFICIAL
en	cs	HP:0000483	IAO:0000115	A type of astigmatism associated with abnormal curvatures on the anterior and/or posterior surface of the cornea	Astigmatismus asociovaný s abnormálním zahnutím předního a/nebo zadního povrchu rohovky	OFFICIAL
en	cs	HP:0000543	IAO:0000115	A pale yellow discoloration of the optic disk (the area of the optic nerve head in the retina). The optic disc normally has a pinkish hue with a central yellowish depression	Bledě žludá diskolorace optického disku (místo, kde nervus opticus vstupuje do retiny). Standartní je růžovkasté zbarvení s cetrální žlutkastou depresí	OFFICIAL
en	cs	HP:0000587	rdfs:label	Abnormality of the optic nerve	Abnormalita optického nervu	OFFICIAL
en	cs	HP:0000618	IAO:0000115	Blindness is the condition of lacking visual perception defined as visual perception below 3/60 and/or a visual field of no greater than 10 degrees in radius around central fixation	Slepota je definována jako ztráta zrakového vnímání při zrakové ostrosti menší než 3/60 nebo při velikosti zrakového pole užší než 10 stupňů kolem centrálního bodu fixace.	OFFICIAL
en	cs	HP:0000633	IAO:0000115	Abnormally decreased lacrimation, that is, reduced ability to produce tears	Abnormálně snížené slzení, to jest, snížená schopnost produkovat slzy	OFFICIAL
en	cs	HP:0000654	IAO:0000115	Descreased amplitude of eletrical response upon electroretinography	Porucha adaptace na světlo a tmu se projeví snížením amplitudy zaznamenané elektrické odpovědi	OFFICIAL
en	cs	HP:0000657	IAO:0000115	Ocular motor apraxia is a deficiency in voluntary, horizontal, lateral, fast eye movements (saccades) with retention of slow pursuit movements. The inability to follow objects visually is often compensated by head movements. There may be decreased smooth pursuit, and cancellation of the vestibulo-ocular reflex	Okulomotorická apraxie je porucha dobrovolných a cílených pohybů očí v horizontální rovině a porucha vůlí iniciovaných sakád. Zachované jsou hladké sledovací pohyby očí. Neschopnost pohybu okem se kompenzuje pohybem hlavy. Porušeny ale můžou být i hladké sledovací pohyby a vestibulo-okulární reflex	OFFICIAL
en	cs	HP:0000677	IAO:0000115	The absence of six or more teeth from the normal series by a failurento develop	Vývojová anomálie charakterizovaná zmenšeným počtem zubů, při níž chybí více než 6 zubů	CANDIDATE
en	cs	HP:0000683	IAO:0000115	A grey discoloration of the dental enamel	Šedá diskolorace zubní skloviny	OFFICIAL
en	cs	HP:0000708	IAO:0000115	An abnormality of mental functioning including various affective, behavioural, cognitive and perceptual abnormalities	Abnormalita psychického fungování, včetně různých afektivních, behaviorálních, kognitivních a percepčních abnormalit	OFFICIAL
en	cs	HP:0000708	rdfs:label	Behavioral abnormality	Behaviorální abnormalita	OFFICIAL
en	cs	HP:0000709	IAO:0000115	A condition characterized by changes of personality and thought patterns often accompanied by hallucinations and delusional beliefs	Stav charakterizovaný změnami osobnosti a myšlenkových vzorců, často doprovázené halucinacemi a bludy	OFFICIAL
en	cs	HP:0000710	IAO:0000115	A tendency or compulsion to examine objects by mouth	Tendence či nutkání zkoumat předměty ústy	OFFICIAL
en	cs	HP:0000711	IAO:0000115	A state of unease characterized by diffuse motor activity or motion subject to limited control, nonproductive or disorganized behavior, and subjective distress	Stav neklidu charakterizovaný difúzní motorickou aktivitou nebo pohybem podléhající omezené kontrole, neproduktivnímu nebo neorganizovanému chování a subjektivnímu strachu	OFFICIAL
en	cs	HP:0000712	IAO:0000115	Unstable emotional experiences and frequent mood changes; emotions that are easily aroused, intense, and/or out of proportion to events and circumstances	Nestabilní emoční prožitky a časté změny nálady; emoce vznikají snadno, jsou intenzivní, a/nebo nepoměrné k událostem a okolnostem	OFFICIAL
en	cs	HP:0000713	IAO:0000115	A state of exceeding restlessness and excessive motor activity associated with mental distress or a feeling of inner tension	Stav nadměrného neklidu a nadměrné motorické aktivity spojené s úzkostí nebo pocitem vnitřního napětí	OFFICIAL
en	cs	HP:0000716	IAO:0000115	Frequent feelings of being down, miserable, and/or hopeless; difficulty recovering from such moods; pessimism about the future; pervasive shame; feeling of inferior self-worth; thoughts of suicide and suicidal behavior	Časté pocity smutku, mizérie a/nebo beznaděje; potíže při zotavování se z takové nálady; pesimistické vize budoucnosti; pocity všepronikajícího studu, pocit nižšího sebevědomí; myšlenky na sebevraždu a sebevražedné chování	OFFICIAL
en	cs	HP:0000718	IAO:0000115	Aggressive behavior can denote verbal aggression, physical aggression against objects, physical aggression against people, and may also include aggression towards oneself	Agresivní chování může označovat verbální agresi, fyzickou agresi proti objektům, fyzickou agresi proti lidem, a může také zahrnovat agresi vůči sobě samému	OFFICIAL
en	cs	HP:0000722	IAO:0000115	Recurrent obsessions or compulsions that are severe enough to be time consuming (i.e., they take more than 1 hour a day) or cause marked distress or significant impairment (DSM-IV)	Recidivující obsesivní nebo kompulzivní (nutkavé) chování, které je natolik závažné, že může být časově náročné (tj. trvají více než 1 hodinu denně) nebo způsobují značnou úzkost nebo významné omezení (DSM-IV)	OFFICIAL
en	cs	HP:0000722	rdfs:label	Obsessive-compulsive behavior	Obsedantně-kompulzivní chování	OFFICIAL
en	cs	HP:0000723	IAO:0000115	Behavior characterized by an abnormal limitation to few interests and activities	Chování charakterizované mimořádným omezeným okruhem zájmů a aktivit	OFFICIAL
en	cs	HP:0000732	rdfs:label	Inflexible adherence to routines or rituals	Tvrdošíjné dodržování rutin nebo rituálů	OFFICIAL
en	cs	HP:0000733	IAO:0000115	A stereotypy is a repetitive, simple movement that can be voluntarily suppressed. Stereotypies are typically simple back-and-forth movements such as waving of flapping the hands or arms, and they do not involve complex sequences or movement fragments. Movement is often but not always rhythmic and may involve fingers, wrists, or more proximal portions of the upper extremity. The lower extremity is not typically involved. Stereotypies are more commonly bilateral than unilateral	Stereotypie jsou repetitivní, jednoduché pohyby, které jsou potlačitelné vůlí. Obvykle jsou jednoduchého charakteru, například mávání rukami, a nezahrnují komplexní sekvence či frakce pohybů. Pohyby jsou často, ale ne vždy rytmické, a můžou zahrnovat prsty, zápěstí, či více proximální části horní končetiny. Použití dolních končetin není typické. Častější jsou stereotypie bilaterální než unilaterální	OFFICIAL
en	cs	HP:0000734	IAO:0000115	A lack of restraint manifested in several ways, including disregard for social conventions, impulsivity, and poor risk assessment	Nedostatečná zdrženlivost, projevuje se několika způsoby, včetně ignorování sociálních konvencí, impulzivity a špatného hodnocení rizik	OFFICIAL
en	cs	HP:0000735	rdfs:label	Impaired social interactions	Porucha sociální interakce	OFFICIAL
en	cs	HP:0000736	IAO:0000115	Reduced attention span characterized by distractibility and impulsivity but not necessarily satisfying the diagnostic criteria for attention deficit hyperactivity disorder	Porucha pozornosti je charakterizovaná impulzivitou, pozornost pacienta je jednoduše rozptýlitelná, ale nejsou splněny kritéria pro ADHD	OFFICIAL
en	cs	HP:0000737	IAO:0000115	A proneness to anger, i.e., a condition of being easily bothered or annoyed	Náchylnost k hněvu, tj. stav, kdy je člověk snadno rozrušen nebo naštván	CANDIDATE
en	cs	HP:0000738	IAO:0000115	Perceptions in a conscious and awake state in the absence of external stimuli which have qualities of real perception, in that they are vivid, substantial, and located in external objective space	Smyslové vjemy u pacienta v bdělém stavu, sebe-uvědomělém stavu, při absenci vnějších podnětů. Vjemy mají charakter reálných smyslových vjemů v tom že jsou živé, konkrétní a lokalizované ve vnějším objektivním prostoru pacienta	OFFICIAL
en	cs	HP:0000739	IAO:0000115	Intense feelings of nervousness, tenseness, or panic, often in reaction to interpersonal stresses; worry about the negative effects of past unpleasant experiences and future negative possibilities; feeling fearful, apprehensive, or threatened by uncertainty; fears of falling apart or losing control	Intenzivní pocity nervozity, napětí nebo paniky, často v reakci na interpersonální stresy; strach z negativních vlivů minulých nepříjemných zkušeností a budoucích negativních možností; pocit ohrožení, strachu, nejistoty; obava ze ztráty kontroly	OFFICIAL
en	cs	HP:0000740	IAO:0000115	Recurrent attacks of severe anxiety, whose occurence is not restricted to any particular situation or set of circumstances and is therefore unpredictable	Opakující se ataky těžké úzkosti, jejichž výskyt není omezen na určitou situaci nebo soubor okolností, a je proto nepředvídatelný	OFFICIAL
en	cs	HP:0000744	IAO:0000115	The feeling of frustration can be defined as an emotional reaction that occurs if a desired goal is not achieved. Frustration intolerance is defined as an age-inappropriate response to frustration characterized by crying or temper tantrums (in children) or aggressive or other undesirable behaviors	Pocit frustrace může být definován jako emoční reakce, která nastane, pokud není dosaženo žádaného cíle. Frustrační intolerance je definována jako neadekvátní odpověď na frustraci, která se vyznačuje pláčem nebo záchvat vzteku (u dětí) nebo agresivním či jiným nežádoucím chováním	OFFICIAL
en	cs	HP:0000745	IAO:0000115	A reduction in goal-directed behavior, that is, motivation, the determinant of behavior and adaptation that allows individuals to get started, be energized to perform a sustained and directed action	Snížení cílevědomého chování, tedy motivace, která umožňuje jednotlivcům začít, najít energii aby prováděli dlouhodobou a cílenou činnost	OFFICIAL
en	cs	HP:0000745	rdfs:label	Diminished motivation	Zmenšená motivace	OFFICIAL
en	cs	HP:0000746	IAO:0000115	A false belief that is held despite evidence to the contrary	Přesvědčení, které je patologické a je drženo navzdory důkazům o opaku	CANDIDATE
en	cs	HP:0000746	rdfs:label	Delusions	Bludy	OFFICIAL
