source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	cs	HP:0000007	rdfs:label	Autosomal recessive inheritance	Autozomálně recesivní dědičnost	OFFICIAL
en	cs	HP:0000008	IAO:0000115	An abnormality of the female internal genitalia.	Abnormalita vnitřního ženského genitálu	OFFICIAL
en	cs	HP:0000008	rdfs:label	Abnormal morphology of female internal genitalia	Abnormální morfologie vnitřního ženského genitálu	OFFICIAL
en	cs	HP:0000009	IAO:0000115	Dysfunction of the urinary bladder.	Dysfunkce močového měchýře	OFFICIAL
en	cs	HP:0000009	rdfs:label	Functional abnormality of the bladder	Funkční abnormalita močového měchýře	OFFICIAL
en	cs	HP:0000010	IAO:0000115	Repeated infections of the urinary tract.	Opakované infekce močových cest	OFFICIAL
en	cs	HP:0000010	rdfs:label	Recurrent urinary tract infections	Opakované infekce močových cest	OFFICIAL
en	cs	HP:0000011	IAO:0000115	A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.	Neschopnost úplně vyprázdnit močový měchýř během procesu močení kvůli neurologické příčině	OFFICIAL
en	cs	HP:0000011	rdfs:label	Neurogenic bladder	Neurogenní měchýř	OFFICIAL
en	cs	HP:0000012	IAO:0000115	Urge incontinence is the strong, sudden need to urinate.	Urgentní inkontinence je silná a náhlá potřeba močit	OFFICIAL
en	cs	HP:0000012	rdfs:label	Urinary urgency	Nucení na močení	OFFICIAL
en	cs	HP:0000013	IAO:0000115	Underdevelopment of the uterus.	Nedovyvinutí dělohy	OFFICIAL
en	cs	HP:0000013	rdfs:label	Hypoplasia of the uterus	Hypoplázie dělohy	OFFICIAL
en	cs	HP:0000014	IAO:0000115	An abnormality of the urinary bladder.	Abnormalita močového měchýře	OFFICIAL
en	cs	HP:0000014	rdfs:label	Abnormality of the bladder	Abnormalita močového měchýře	OFFICIAL
en	cs	HP:0000015	IAO:0000115	Diverticulum (sac or pouch) in the wall of the urinary bladder.	Divertikl (vak nebo vychlípenina) ve stěně močového měchýře	OFFICIAL
en	cs	HP:0000015	rdfs:label	Bladder diverticulum	Divertikl močového měchýře	OFFICIAL
en	cs	HP:0000016	IAO:0000115	Inability to completely empty the urinary bladder during the process of urination.	Neschopnost zcela vyprázdnit močový měchýř během procesu močení	OFFICIAL
en	cs	HP:0000016	rdfs:label	Urinary retention	Retence moči	OFFICIAL
en	cs	HP:0000017	IAO:0000115	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.	Abnormálně zvýšená produkce moči během noci vedoucí k neobvyklé frekvenci nucení na močení	OFFICIAL
en	cs	HP:0000017	rdfs:label	Nocturia	Nykturie	OFFICIAL
en	cs	HP:0000019	IAO:0000115	Difficulty in beginning the process of urination.	Opožděný začátek mikce	OFFICIAL
en	cs	HP:0000019	rdfs:label	Urinary hesitancy	Obtížné zahájení močení	OFFICIAL
en	cs	HP:0000020	IAO:0000115	Loss of the ability to control the urinary bladder leading to involuntary urination.	Ztráta kontroly močového měchýře vedoucí k nedobrovolnému močení	OFFICIAL
en	cs	HP:0000020	rdfs:label	Urinary incontinence	Močová inkontinence	OFFICIAL
en	cs	HP:0000021	IAO:0000115	Dilatation of the bladder postnatally.	Postnatální dilatace močového měchýře	OFFICIAL
en	cs	HP:0000021	rdfs:label	Megacystis	Megavesica	OFFICIAL
en	cs	HP:0000022	IAO:0000115	An abnormality of the male internal genitalia.	Abnormalita mužského vnitřního genitálu	OFFICIAL
en	cs	HP:0000022	rdfs:label	Abnormal male internal genitalia morphology	Abnormální morfologie mužského vnitřního genitálu	OFFICIAL
en	cs	HP:0000023	IAO:0000115	Protrusion of the contents of the abdominal cavity through the inguinal canal.	Protruze obsahu břišní dutiny tříselným kanálem	OFFICIAL
en	cs	HP:0000023	rdfs:label	Inguinal hernia	Tříselná kýla	OFFICIAL
en	cs	HP:0000024	IAO:0000115	The presence of inflammation of the prostate.	Zánět prostaty	OFFICIAL
en	cs	HP:0000024	rdfs:label	Prostatitis	Prostatitida	OFFICIAL
en	cs	HP:0000025	rdfs:label	Functional abnormality of male internal genitalia	Funkční abnormalita vnitřního mužského genitálu	OFFICIAL
en	cs	HP:0000026	IAO:0000115	Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.	Snížená funkce mužské gonády, tzn. varlete, se sníženou spermatogenezí či syntézou testosteronu	OFFICIAL
en	cs	HP:0000026	rdfs:label	Male hypogonadism	Mužský hypogonadizmus	OFFICIAL
en	cs	HP:0000027	IAO:0000115	Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet.	Absence jakékoliv měřitelné hodnoty spermií v semenné tekutině	CANDIDATE
en	cs	HP:0000027	rdfs:label	Azoospermia	Azoospermie	OFFICIAL
en	cs	HP:0000028	IAO:0000115	Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.	Varle v tříselného kanálu. V důsledku neúplného sestupu přes tříselný kanál varle nebo obě varlata v šourku chybějí	OFFICIAL
en	cs	HP:0000028	rdfs:label	Cryptorchidism	Kryptorchismus	OFFICIAL
en	cs	HP:0000029	IAO:0000115	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.	Atrofie (zánik) varlete (mužské gonády) projevující se zmenšením a potencionálně i ztrátou fertility	OFFICIAL
en	cs	HP:0000029	rdfs:label	Testicular atrophy	Atrofie varlat	OFFICIAL
en	cs	HP:0000030	IAO:0000115	The presence of a gonadoblastoma of the testis.	Přítomnost gonadoblastomu varlete	OFFICIAL
en	cs	HP:0000030	rdfs:label	Testicular gonadoblastoma	Gonadoblastom varlete	OFFICIAL
en	cs	HP:0000031	IAO:0000115	The presence of inflammation of the epididymis.	Zánět prostaty	OFFICIAL
en	cs	HP:0000031	rdfs:label	Epididymitis	Epididymitis	OFFICIAL
en	cs	HP:0000032	IAO:0000115	Any structural abnormality of male external genitalia.	Abnormalita mužského zevního genitálu	CANDIDATE
en	cs	HP:0000032	rdfs:label	Abnormal male external genitalia morphology	Abnormalita mužského zevního genitálu	CANDIDATE
en	cs	HP:0000033	IAO:0000115	Ambiguous genitalia in an individual with XY genetic gender.	Obojetný genitál u jedince s karyotypem XY	OFFICIAL
en	cs	HP:0000033	rdfs:label	Ambiguous genitalia, male	Nejednoznačný genitál, mužský	OFFICIAL
en	cs	HP:0000034	IAO:0000115	Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.	Akumulace čiré tekutiny v mezi vrstvami membrány (tunica vaginalis) kolem varlat	OFFICIAL
en	cs	HP:0000034	rdfs:label	Hydrocele testis	Vodní kýla Hydrokéla	OFFICIAL
en	cs	HP:0000035	IAO:0000115	An anomaly of the testicle (the male gonad).	Anomálie varlete (mužské gonády)	OFFICIAL
en	cs	HP:0000035	rdfs:label	Abnormal testis morphology	Abnormální morfologie varlat	OFFICIAL
en	cs	HP:0000036	IAO:0000115	Abnormality of the male external sex organ.	Abnormalita mužského zevního pohlavního orgánu	CANDIDATE
en	cs	HP:0000036	rdfs:label	Abnormal penis morphology	Abnormální morfologie penisu	OFFICIAL
en	cs	HP:0000037	IAO:0000115	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.	Hermafroditizmus odkazuje na diskrepanci mezi morfologií pohlavních žláz a vnějších genitálií. U mužského pseudohermafroditizmu je genotyp mužský (XY), vnější genitálie nejsou kompletně virilizovany, nebo jsou obojetné, nebo úplné ženské. Pokud jsou přítomny gonády, jedná se o varlata	OFFICIAL
en	cs	HP:0000037	rdfs:label	Male pseudohermaphroditism	Mužský pseudohermafroditizmus	OFFICIAL
en	cs	HP:0000039	IAO:0000115	Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.	Epispadie je urogenitální malformace charakterizovaná tím, že močová trubice není tubulizována na dorzální straně. Na rozdíl od hypospadie, kde je meatus na ventrální straně, mají děti s epispadií široce otevřenou uretrální ploténku na dorzu. Běžně se vyskytuje jako součást spektra exstrofie močového měchýře-epispadie-komplex. Izolovaná epispadie tvoří méně než 10 % všech případů epispadie.	OFFICIAL
en	cs	HP:0000039	rdfs:label	Epispadias	Epispadie	OFFICIAL
en	cs	HP:0000040	IAO:0000115	Penile length more than 2 SD above the mean for age.	Délka penisu více než 2 SD nad průměrem pro daný věk	OFFICIAL
en	cs	HP:0000040	rdfs:label	Long penis	Dlouhý penis	OFFICIAL
en	cs	HP:0000041	IAO:0000115	A congenital anomaly of the penis characterized by ventral (i.e., downward), lateral, or ventrolateral curvature of the shaft and glans penis of more than 30 degrees.	Ventrální, laterální či ventrolaterální prohnutí těla a žaludu penisu o více než 30 stupňů	CANDIDATE
en	cs	HP:0000041	rdfs:label	Chordee	Chorda	OFFICIAL
en	cs	HP:0000042	IAO:0000115	Lack of external genitalia in a male or female individual.	Npeřítomnost zevního genitálu u mužského nebo ženského jedince	OFFICIAL
en	cs	HP:0000042	rdfs:label	Absent external genitalia	Chybění zevního genitálu	OFFICIAL
en	cs	HP:0000044	IAO:0000115	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).	Hypogonadotropní hypogonadismus se vyznačuje sníženou funkcí pohlavních žláz (varlat u samců nebo vaječníků u žen) v důsledku nepřítomnosti hormonů hypofýzy stimulujících gonády: folikuly stimulujícího hormonu (FSH) a luteinizačního hormonu (LH)	OFFICIAL
en	cs	HP:0000044	rdfs:label	Hypogonadotropic hypogonadism	Hypogonadotropní hypogonadizmus	OFFICIAL
en	cs	HP:0000045	rdfs:label	Abnormal scrotum morphology	Abnormalita šourku	CANDIDATE
en	cs	HP:0000046	IAO:0000115	Apparently small scrotum for age.	Viditelně malé skrotum pro daný věk	CANDIDATE
en	cs	HP:0000046	rdfs:label	Small scrotum	Skrotální hypoplázie	OFFICIAL
en	cs	HP:0000047	IAO:0000115	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.	Abnormální umístnění ústí močové trubice na ventrální (spodní) straně penisu kdy místo špičky žaludu močová trubce ústí na ventrální straně penisu, skrótu nebo perineu	OFFICIAL
en	cs	HP:0000047	rdfs:label	Hypospadias	Hypospadie	OFFICIAL
en	cs	HP:0000048	IAO:0000115	Midline indentation or cleft of the scrotum.	Prohlubeň nebo rozštěp šourku ve střední čáře	OFFICIAL
en	cs	HP:0000048	rdfs:label	Bifid scrotum	Rozštěp šourku	OFFICIAL
en	cs	HP:0000049	IAO:0000115	Superior margin of the scrotum superior to the base of the penis.	Horní okraj skrota je výš než baze penisu	OFFICIAL
en	cs	HP:0000049	rdfs:label	Shawl scrotum	Šálovité skrotum	OFFICIAL
en	cs	HP:0000050	IAO:0000115	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).	Nedostatečný vyvin části nebo všech mužských vnějších pohlavních orgánů (které zahrnují penis, šourek a močovou trubici)	OFFICIAL
en	cs	HP:0000050	rdfs:label	Hypoplastic male external genitalia	Hypoplastický mužský vnější genitál	OFFICIAL
en	cs	HP:0000051	IAO:0000115	Hypospadias with location of the urethral meatus in the perineal region.	Hypospadie s umístěním vnějšího ústí močové trubice v perineální oblasti	OFFICIAL
en	cs	HP:0000051	rdfs:label	Perineal hypospadias	Perineální hypospádie	OFFICIAL
en	cs	HP:0000052	IAO:0000115	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	Vrozená anomálie vyznačující se uzavřením nebo selháním vytvoření se otvoru uretry u mužů	OFFICIAL
en	cs	HP:0000052	rdfs:label	Urethral atresia, male	Atrézie uretry, u muže	OFFICIAL
en	cs	HP:0000053	IAO:0000115	The presence of abnormally large testes.	Přítomnost abnormálně velkých varlat	OFFICIAL
en	cs	HP:0000053	rdfs:label	Macroorchidism	Makroorchididsmus	OFFICIAL
en	cs	HP:0000054	IAO:0000115	Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.	Abnormálně malý penis. Při narození, normální penis měří asi 3 cm (natažená délka od hrbolku stydké kosti ke špičce penisu) a mikropenis méně než 2-2,5 cm	OFFICIAL
en	cs	HP:0000054	rdfs:label	Micropenis	Mikropenis	OFFICIAL
en	cs	HP:0000055	IAO:0000115	Any structural abnormality of the female external genitalia.	Abnormalita zevního ženského genitálu	CANDIDATE
en	cs	HP:0000055	rdfs:label	Abnormal female external genitalia morphology	Abnormalita zevního ženského genitálu	CANDIDATE
en	cs	HP:0000056	IAO:0000115	Any structural abnormality of the clitoris.	Abnormální klitoris	CANDIDATE
en	cs	HP:0000056	rdfs:label	Abnormal clitoris morphology	Abnormalita klitoris	CANDIDATE
en	cs	HP:0000058	IAO:0000115	An anomaly of the labia, the externally visible portions of the vulva.	Anomálie stydkých pysků, zevně viditelných částí vulvy	OFFICIAL
en	cs	HP:0000058	rdfs:label	Abnormal labia morphology	Abnormální morfologie labií	OFFICIAL
en	cs	HP:0000059	IAO:0000115	Undergrowth of the outer labia.	Málo vyvinuté velké stydké pysky	OFFICIAL
en	cs	HP:0000059	rdfs:label	Hypoplastic labia majora	Hypolastická labia majora	OFFICIAL
en	cs	HP:0000060	IAO:0000115	Developmental hypoplasia of the clitoris.	Vývojová hypoplazie klitoris	OFFICIAL
en	cs	HP:0000060	rdfs:label	Clitoral hypoplasia	Hypoplázie klitorisu	OFFICIAL
en	cs	HP:0000061	IAO:0000115	Ambiguous genitalia in an individual with XX genetic gender.	Nejednoznačný genitál u jedince s XX genetickým pohlavím	OFFICIAL
en	cs	HP:0000061	rdfs:label	Ambiguous genitalia, female	Nejednoznačný genitál, ženský	OFFICIAL
en	cs	HP:0000062	IAO:0000115	A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.	Fenotyp genitálu, u kterého není jednoznačně přiřaditelné pohlaví. Nejednoznačný genitál se hodnotí Praderovou stupnicí: Prader 0: Normální ženský zevní genitál. Prader 1: Ženský zevní genitál s klitoromegalií. Prader 2: Klitoromegalie s částečnou fúzí labií tvořící urogenitální sinus trychtýřovitého tvaru. Prader 3: Falické zvětšení klitoris. Kompletní labioskrotální fuze a urogenitální sinus s jediným otvorem. Prader 4: Kompletní skrotální fuze s urogenitálním vyústěním na bazi nebo v průběhu těla penisu. Prader 5: Normální mužský zevní genitál. Diagnóza nejednoznačného genitálu je určená pro Prader 1-4	OFFICIAL
en	cs	HP:0000062	rdfs:label	Ambiguous genitalia	Nejednoznačný genitál	OFFICIAL
en	cs	HP:0000063	IAO:0000115	Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.	Srůst malých stydkých pysků jako výsledek labiální adheze tvořících vaginální obstrukci	OFFICIAL
en	cs	HP:0000063	rdfs:label	Fused labia minora	Srostlé malé stydké pysky	OFFICIAL
en	cs	HP:0000064	rdfs:label	Hypoplastic labia minora	Hypoplastická labia minora	OFFICIAL
en	cs	HP:0000065	rdfs:label	Labial hypertrophy	Labiální hypertrofie	OFFICIAL
en	cs	HP:0000066	rdfs:label	Labial hypoplasia	Labiální hypoplázie	OFFICIAL
en	cs	HP:0000067	IAO:0000115	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.	Vrozená anomálie typická neprůchodností nebo nevytvořením otvoru močové trubice u ženy	OFFICIAL
en	cs	HP:0000067	rdfs:label	Urethral atresia, female	Atrézie uretry, u ženy	OFFICIAL
en	cs	HP:0000068	IAO:0000115	Congenital anomaly characterized by closure or failure to develop an opening in the urethra.	Vrozená anomálie typická neprůchodností nebo nevytvořením otvoru močové trubice	OFFICIAL
en	cs	HP:0000068	rdfs:label	Urethral atresia	Atrézie uretry	OFFICIAL
en	cs	HP:0000069	IAO:0000115	An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.	Abnormalita močovodu. Močovod je kanálek, kterým se moč dostává z ledvin do močového měchýře.	OFFICIAL
en	cs	HP:0000069	rdfs:label	Abnormality of the ureter	Abnormalita ureteru	OFFICIAL
en	cs	HP:0000070	IAO:0000115	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.	Ureterokéla je vrozená vakovitá dilatace distálního segmentu močovodu	OFFICIAL
en	cs	HP:0000070	rdfs:label	Ureterocele	Ureterokéla	OFFICIAL
en	cs	HP:0000071	IAO:0000115	The presence of a stenotic, i.e., constricted ureter.	Přítomnost stenotického nebo zůženého močovodu	OFFICIAL
en	cs	HP:0000071	rdfs:label	Ureteral stenosis	Stenóza ureteru	OFFICIAL
en	cs	HP:0000072	IAO:0000115	The distention of the ureter with urine.	Rozšíření močovodu močí	OFFICIAL
en	cs	HP:0000072	rdfs:label	Hydroureter	Hydroureter	OFFICIAL
en	cs	HP:0000073	IAO:0000115	A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.	Vývojová anomálie charakterizovaná přítomností dvou, místo jednoho močovodu, který propojuje ledvinu s močovým měchýřem	OFFICIAL
en	cs	HP:0000073	rdfs:label	Ureteral duplication	Zdvojený močovod	OFFICIAL
en	cs	HP:0000074	IAO:0000115	Blockage of urine flow from the renal pelvis to the proximal ureter.	Zamezení odtoku moče z renální pánvičky do proximálního ureteru	OFFICIAL
en	cs	HP:0000074	rdfs:label	Ureteropelvic junction obstruction	Obstrukce ureteropelvické junkce	OFFICIAL
en	cs	HP:0000075	IAO:0000115	A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters.	Vrozená anomálie močových cest, kdy ledvina je zdvojená a moč je odváděná pomocí dvou oddělených močových pánviček a dvou močovodů	OFFICIAL
en	cs	HP:0000075	rdfs:label	Renal duplication	Zdvojená ledvina	OFFICIAL
en	cs	HP:0000076	IAO:0000115	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.	Abnormální (retrográdní) pohyb moče z močového měchýře do močovodu nebo ledvin způsobený nedostatečností záklopkového mechanismu ureterovesikální junkce nebo z jiných příčin	OFFICIAL
en	cs	HP:0000076	rdfs:label	Vesicoureteral reflux	Vezikoureterální reflux	OFFICIAL
en	cs	HP:0000077	IAO:0000115	An abnormality of the kidney.	Abnormalita ledvin	OFFICIAL
en	cs	HP:0000077	rdfs:label	Abnormality of the kidney	Abnormalita ledvin	OFFICIAL
en	cs	HP:0000078	IAO:0000115	An abnormality of the genital system.	Abnormalita pohlavního ústrojí	OFFICIAL
en	cs	HP:0000078	rdfs:label	Abnormality of the genital system	Abnormalita pohlavního ústrojí	OFFICIAL
en	cs	HP:0000079	IAO:0000115	An abnormality of the urinary system.	Abnormalita močového systému	OFFICIAL
en	cs	HP:0000079	rdfs:label	Abnormality of the urinary system	Abnormalita močového systému	OFFICIAL
en	cs	HP:0000080	IAO:0000115	An abnormal functionality of the genital system.	Abnormální funkce pohlavního ústrojí	OFFICIAL
en	cs	HP:0000080	rdfs:label	Abnormality of reproductive system physiology	Abnormalita fyziologie reprodukčního systému	OFFICIAL
en	cs	HP:0000081	IAO:0000115	A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice.	Zdvojení vývodního systému ledviny, definováno jako ledvina s dvěma (místo obvykle jednoho) kalichopánvičkovými systémy. Kalichopánvičkový systém je tvořen z renální pánvičky a kalichů. Zdvojení vývodního systému ledviny může být asociované s jedním močovodem, nebo můžou být močovody dva. V druhém případě ústí oba močovody do močového měchýře zvlášť, nebo se močovody spojí a vytvoří společné ústí	OFFICIAL
en	cs	HP:0000081	rdfs:label	Duplicated collecting system	Zdvojený dutý systém	OFFICIAL
en	cs	HP:0000083	IAO:0000115	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.	Snížená funkce ledvin v oblastech zahrňujících koncetraci moči, odstrňovaní odpadních látek, udržování iontové rovnováhy, homeostázy krevního tlaku a metabolismu vápníku	OFFICIAL
en	cs	HP:0000083	rdfs:label	Renal insufficiency	Renální selhání	OFFICIAL
en	cs	HP:0000085	IAO:0000115	A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.	Propojení pravé a levé ledviny isthmem tvořeným funkčním renálním parenchymem nebo vazivovou tkání přetínající střední čáru	OFFICIAL
en	cs	HP:0000085	rdfs:label	Horseshoe kidney	Podkovovitá ledvina	OFFICIAL
en	cs	HP:0000086	IAO:0000115	A developmental defect in which a kidney is located in an abnormal anatomic position.	Vývojová vada při které je ledvina v anatomicky abnormální poloze	OFFICIAL
en	cs	HP:0000086	rdfs:label	Ectopic kidney	Ektopie ledviny	OFFICIAL
en	cs	HP:0000089	IAO:0000115	Hypoplasia of the kidney.	Hypoplázie ledviny	OFFICIAL
en	cs	HP:0000089	rdfs:label	Renal hypoplasia	Hypoplázie ledviny	OFFICIAL
en	cs	HP:0000090	IAO:0000115	Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.	Přítomnost cyst v kortikomedulární oblasti ledvin v kombinaci s tubulointersticiální fibrózou	OFFICIAL
en	cs	HP:0000090	rdfs:label	Nephronophthisis	Nefronoftíza	OFFICIAL
en	cs	HP:0000091	IAO:0000115	An abnormality of the renal tubules.	Abnormalita ledvinných tubulů	OFFICIAL
en	cs	HP:0000091	rdfs:label	Abnormal renal tubule morphology	Abnormální morfologie ledvinných tubulů	OFFICIAL
en	cs	HP:0000092	IAO:0000115	The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.	Přítomnost ledvinných tubulů se ztluštělou bazální laminou, nebo zmenšení poloměru tubulů o více než 50% v porovnání se sousedními neatrofickými tubuly	OFFICIAL
en	cs	HP:0000092	rdfs:label	Renal tubular atrophy	Renální tubulární atrofie	OFFICIAL
en	cs	HP:0000093	IAO:0000115	Increased levels of protein in the urine.	Zvýšená hladina bílkoviny v moči	OFFICIAL
en	cs	HP:0000093	rdfs:label	Proteinuria	Proteinurie	OFFICIAL
en	cs	HP:0000095	IAO:0000115	A structural anomaly of the glomerulus.	Strukturní anomálnie glomerulů	OFFICIAL
en	cs	HP:0000095	rdfs:label	Abnormal renal glomerulus morphology	Abnormální morfologie renálního glomerulu	OFFICIAL
en	cs	HP:0000096	IAO:0000115	Accumulation of scar tissue within the glomerulus.	Akumulace fibrotické tkáně v glomerulu	OFFICIAL
en	cs	HP:0000096	rdfs:label	Glomerular sclerosis	Skleróza glomerulů	OFFICIAL
en	cs	HP:0000097	IAO:0000115	Segmental accumulation of scar tissue in individual (but not all) glomeruli.	Segmentální skleróza přítomná v glomerulech (ale ne všech)	OFFICIAL
en	cs	HP:0000097	rdfs:label	Focal segmental glomerulosclerosis	Fokálně segmentální glomeruloskleróza	OFFICIAL
en	cs	HP:0000098	IAO:0000115	A height above that which is expected according to age and gender norms.	Výška vyšší, než je očekávaná podle věkových a pohlavních norem	OFFICIAL
en	cs	HP:0000098	rdfs:label	Tall stature	Vysoká postava	OFFICIAL
en	cs	HP:0000099	IAO:0000115	Inflammation of the renal glomeruli.	Zánětlivé onemocnění glomerulů	OFFICIAL
en	cs	HP:0000099	rdfs:label	Glomerulonephritis	Glemorulonefritis	OFFICIAL
en	cs	HP:0000100	IAO:0000115	Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.	Nefrotický syndrom je skupina symptomů vyplávající z glomerulární dysfunkce - zvýšenou propustností bílkovin přes filtrační bariréru spojenou s významnou proteinurií. Nefrotický syndrom je souhr klinických nálezu vyplývajících ze závažné ledvinné ztráty preteinů, konkrétně proteiurie, hypalbuminemie, edém a hyperlipidémie	OFFICIAL
en	cs	HP:0000100	rdfs:label	Nephrotic syndrome	Nefrotický syndrom	OFFICIAL
