source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date
en	All	HP:0000001	rdfs:label	nl	Alle	CANDIDATE			
en	Deviation from the norm of height with respect to that which is expected according to age and gender norms.	HP:0000002	IAO:0000115	nl	Afwijking van de norm van hoogte met betrekking tot wat de verwachting is volgens leeftijds en geslachtsnormen	CANDIDATE			
en	Abnormality of body height	HP:0000002	rdfs:label	nl	Afwijking van de lichaamslengte	CANDIDATE			
en	Multicystic kidney dysplasia	HP:0000003	rdfs:label	nl	Multicysteuze nierdysplasie	CANDIDATE			
en	Mode of inheritance	HP:0000005	rdfs:label	nl	Overervingspatroon	CANDIDATE			
en	Autosomal dominant inheritance	HP:0000006	rdfs:label	nl	Autosomaal dominante overerving	CANDIDATE			
en	Autosomal recessive inheritance	HP:0000007	rdfs:label	nl	Autosomaal recessieve overerving	CANDIDATE			
en	An abnormality of the female internal genitalia.	HP:0000008	IAO:0000115	nl	Een afwijking van de vrouwelijke interne genitalia	CANDIDATE			
en	Abnormal morphology of female internal genitalia	HP:0000008	rdfs:label	nl	Afwijking van de vrouwelijke interne genitalia	CANDIDATE			
en	Functional abnormality of the bladder	HP:0000009	rdfs:label	nl	Functionele afwijking van de blaas	CANDIDATE			
en	Recurrent urinary tract infections	HP:0000010	rdfs:label	nl	Recidiverende urineweginfecties	CANDIDATE			
en	Neurogenic bladder	HP:0000011	rdfs:label	nl	Neurogene blaas	CANDIDATE			
en	Urinary urgency	HP:0000012	rdfs:label	nl	Urinaire urgentie	CANDIDATE			
en	Hypoplasia of the uterus	HP:0000013	rdfs:label	nl	Hypoplasie van de uterus	CANDIDATE			
en	An abnormality of the urinary bladder.	HP:0000014	IAO:0000115	nl	Een afwijking van de urineblaas	CANDIDATE			
en	Abnormality of the bladder	HP:0000014	rdfs:label	nl	Afwijking van de blaas	CANDIDATE			
en	Bladder diverticulum	HP:0000015	rdfs:label	nl	Blaas diverticulum	CANDIDATE			
en	Urinary retention	HP:0000016	rdfs:label	nl	Urineretentie	CANDIDATE			
en	Nocturia	HP:0000017	rdfs:label	nl	Nycturie	CANDIDATE			
en	Urinary hesitancy	HP:0000019	rdfs:label	nl	Urinaire aarzeling	CANDIDATE			
