source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	zh	HP:0000032	rdfs:label	Abnormality of male external genitalia	男性外生殖器异常	OFFICIAL
en	zh	HP:0000045	rdfs:label	Abnormality of the scrotum	阴囊异常	OFFICIAL
en	zh	HP:0000055	rdfs:label	Abnormality of female external genitalia	女性外生殖器异常	OFFICIAL
en	zh	HP:0000056	rdfs:label	Abnormality of the clitoris	阴蒂异常	OFFICIAL
en	zh	HP:0000161	rdfs:label	Median cleft lip	正中唇裂	OFFICIAL
en	zh	HP:0000177	rdfs:label	Abnormality of upper lip	上唇异常	OFFICIAL
en	zh	HP:0000178	rdfs:label	Abnormality of lower lip	下唇异常	OFFICIAL
en	zh	HP:0000183	rdfs:label	Difficulty in tongue movements	舌活动困难	OFFICIAL
en	zh	HP:0000202	rdfs:label	Oral cleft	口裂	OFFICIAL
en	zh	HP:0000235	rdfs:label	Abnormality of the fontanelles or cranial sutures	囟门或颅缝异常	OFFICIAL
en	zh	HP:0000236	rdfs:label	Abnormality of the anterior fontanelle	前囟异常	OFFICIAL
en	zh	HP:0000264	rdfs:label	Abnormality of the mastoid	乳突异常	OFFICIAL
en	zh	HP:0000326	rdfs:label	Abnormality of the maxilla	上颌骨异常	OFFICIAL
en	zh	HP:0000368	rdfs:label	Low-set, posteriorly rotated ears	低位后旋转耳	OFFICIAL
en	zh	HP:0000372	rdfs:label	Abnormality of the auditory canal	耳道异常	OFFICIAL
en	zh	HP:0000415	rdfs:label	Abnormality of the choanae	鼻后孔的异常	OFFICIAL
en	zh	HP:0000419	rdfs:label	Abnormality of the nasal septum	鼻中隔异常	OFFICIAL
en	zh	HP:0000429	rdfs:label	Abnormality of the nasal alae	鼻翼异常	OFFICIAL
en	zh	HP:0000436	rdfs:label	Abnormality of the nasal tip	鼻尖异常	OFFICIAL
en	zh	HP:0000587	rdfs:label	Abnormality of the optic nerve	视神经异常	OFFICIAL
en	zh	HP:0000708	rdfs:label	Behavioral abnormality	行为异常	OFFICIAL
en	zh	HP:0000722	rdfs:label	Obsessive-compulsive behavior	强迫行为	OFFICIAL
