source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date
en	part of	BFO:0000050	rdfs:label	nl		NOT_TRANSLATED			
en	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional	HP:0000003	IAO:0000115	nl	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional	NOT_TRANSLATED			
en	The pattern in which a particular genetic trait or disorder is passed from one generation to the next	HP:0000005	IAO:0000115	nl	The pattern in which a particular genetic trait or disorder is passed from one generation to the next	NOT_TRANSLATED			
en	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele	HP:0000006	IAO:0000115	nl	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele	NOT_TRANSLATED			
en	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele)	HP:0000007	IAO:0000115	nl	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele)	NOT_TRANSLATED			
en	Dysfunction of the urinary bladder	HP:0000009	IAO:0000115	nl	Dysfunction of the urinary bladder	NOT_TRANSLATED			
en	Repeated infections of the urinary tract	HP:0000010	IAO:0000115	nl	Repeated infections of the urinary tract	NOT_TRANSLATED			
en	A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention	HP:0000011	IAO:0000115	nl	A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention	NOT_TRANSLATED			
en	Urge incontinence is the strong, sudden need to urinate	HP:0000012	IAO:0000115	nl	Urge incontinence is the strong, sudden need to urinate	NOT_TRANSLATED			
en	Underdevelopment of the uterus	HP:0000013	IAO:0000115	nl	Underdevelopment of the uterus	NOT_TRANSLATED			
