source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status	translator
en	pt	HP:0000183	rdfs:label	Difficulty in tongue movements	Dificuldade nos movimentos da língua	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000235	rdfs:label	Abnormality of the fontanelles or cranial sutures	Anomalia das fontanelas ou suturas cranianas	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000236	rdfs:label	Abnormality of the anterior fontanelle	Anomalia da fontanela anterior	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000290	rdfs:label	Abnormality of the forehead	Anomalia da testa	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000368	rdfs:label	Low-set, posteriorly rotated ears	Orelhas de implantação baixa, posteriormente giradas	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0002851	rdfs:label	Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	Proporção elevada de células T reguladoras alfa-beta CD4-negativas, CD8-negativas	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0002853	rdfs:label	Increased proportion of HLA DR+ T cells	Proporção aumentada de células T HLA DR+	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003063	rdfs:label	Abnormality of the humerus	Anomalia do úmero	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003084	rdfs:label	Fractures of the long bones	Fraturas dos ossos longos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003203	rdfs:label	Impaired oxidative burst	Explosão oxidativa prejudicada	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003212	rdfs:label	Increased circulating IgE level	Aumento do nível de IgE circulante	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003237	rdfs:label	Increased circulating IgG level	Aumento do nível de IgG circulante	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003261	rdfs:label	Increased circulating IgA level	Aumento do nível de IgA circulante	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003282	rdfs:label	Low alkaline phosphatase	Fosfatase alcalina baixa	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0003351	rdfs:label	Decreased circulating renin level	Diminuição do nível de renina circulante	OFFICIAL	orcid:0009-0004-3413-3132
