source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	part of	BFO:0000050	rdfs:label	cs		NOT_TRANSLATED
en	Any structural abnormality of the scrotum, i.e., the sac that contains the testes, epididymis, and the lower part of the spermatic cord.	HP:0000045	IAO:0000115	cs		NOT_TRANSLATED
en	Gonadal dysgenesis is the name given to any of a multitude of conditions that can cause impaired development of the gonads, i.e., the testes or ovaries, or to the related phenotypic features. The term is to be avoided if possible for new annotations, and more specific terms should be chosen.	HP:0000133	IAO:0000115	cs		NOT_TRANSLATED
en	Reduced strength of the tongue musculature, resulting in difficulties moving the tongue and possible accompanied by dysarthria or dysphagia.	HP:0000183	IAO:0000115	cs		NOT_TRANSLATED
en	An explicit or perceived action, demonstration, conduct, or language (verbal and written) that is contrary to generally accepted norms, rules, procedures, or unacceptable within the context in which it is carried out. Inappropriate behaviors could take place in a sexual or social context and could be aggressive, violent, impulsive, intimidating, or threatening in nature.	HP:0000719	IAO:0000115	cs		NOT_TRANSLATED
en	Periods of time during which an individual experiences significant disturbances in their thoughts, perceptions, emotions, and behavior, resulting in a loss of touch with reality. These episodes are hallmark features of psychotic disorders such as schizophrenia, schizoaffective disorder, and certain forms of bipolar disorder.	HP:0000725	IAO:0000115	cs		NOT_TRANSLATED
en	Difficulty to establish relations with others in a comparable social group (peers) that may be manifested in pehnomena such as not being able to initiative a conversation, understand social cues, or to discuss shared interests. This feature is associated with poor integration within a community or group.	HP:0000728	IAO:0000115	cs		NOT_TRANSLATED
en	A need to strictly adhere to repetitive routines or patterns of behavior which are created by the environment. One becomes upset or distressed when their routines are disrupted or altered.	HP:0000732	IAO:0000115	cs		NOT_TRANSLATED
en	Apathy is a quantitative reduction of interest, motivation and the initiation and persistence of goal-directed behavior, where often the accompanying emotions, thoughts, and social interactions are also diminished. The individual is typically non-reactive to provocations, positive or negative, and appears to not care. Distinguished from lethargy which involves lack of physical or mental energy.	HP:0000741	IAO:0000115	cs		NOT_TRANSLATED
en	Deliberate harm to one's body resulting in tissue damage, without a conscious intent to die.	HP:0000742	IAO:0000115	cs		NOT_TRANSLATED
