subject_id	translation_value	translator
ID	AL oboInOwl:hasExactSynonym@it	>AI dc:contributor
HP:0000053	Macrorchidismo	orcid:0000-0003-4174-0526
HP:0001919	Danno renale acuto	orcid:0000-0003-4174-0526
HP:0002253	Diverticoli del colon	orcid:0000-0003-4174-0526
HP:0002253	Diverticolosi colica	orcid:0000-0003-4174-0526
HP:0002356	Crampo dello scrittore	orcid:0000-0003-4174-0526
HP:0002454	Segno dell'occhio di tigre (globo pallido)	orcid:0000-0003-4174-0526
HP:0002623	Aorta a cavaliere	orcid:0000-0003-4174-0526
HP:0002909	Aminoaciduria generalizzata	orcid:0000-0003-4174-0526
HP:0003320	Sublussazione C1-C2	orcid:0000-0003-4174-0526
HP:0003698	Distasia	orcid:0000-0003-4174-0526
HP:0005272	Solco nasolabiale prominente	orcid:0000-0003-4174-0526
HP:0007678	Stenosi del dotto nasolacrimale; Dacriostenosi	orcid:0000-0003-4174-0526
HP:0011265	Lobo auricolare bifido	orcid:0000-0003-4174-0526
HP:0025383	Gibbo di bufalo	orcid:0000-0003-4174-0526
HP:0031354	Insonnia iniziale	orcid:0000-0003-4174-0526
HP:0031627	Calcificazione del globo pallido	orcid:0000-0003-4174-0526
HP:0033431	Colite da CMV	orcid:0000-0003-4174-0526
HP:0033683	Riflesso mandibolare vivace	orcid:0000-0003-4174-0526
HP:0033683	Riflesso masseterino vivace	orcid:0000-0003-4174-0526
HP:0033683	Riflesso mentoniero vivace	orcid:0000-0003-4174-0526
HP:0100647	Morbo di Basedow	orcid:0000-0003-4174-0526
