subject_id	translation_value	comment
ID	AL oboInOwl:hasExactSynonym@tr	
HP:0000003	Multikistik displastik böbrek	OFFICIAL
HP:0000003	Multikistik böbrek	OFFICIAL
HP:0000003	Multikistik böbrek displazisi	OFFICIAL
HP:0000005	Kalıtım	OFFICIAL
HP:0000006	Otozomal dominant	CANDIDATE
HP:0000006	Otozomal dominant form	CANDIDATE
HP:0000006	Otozomal dominant tip	CANDIDATE
HP:0000007	Otozomal resesif	CANDIDATE
HP:0000007	Otozomal resesif form	CANDIDATE
HP:0000007	Otozomal resesif yatkınlık	CANDIDATE
HP:0000008	Abnormality of female internal genitalia	NOT_TRANSLATED
HP:0000009	Kötü mesane fonksiyonu	OFFICIAL
HP:0000010	Sık idrar yolu enfeksiyonu	CANDIDATE
HP:0000010	Üriner enfeksiyon	CANDIDATE
HP:0000010	İdrar yolu enfeksiyonu	CANDIDATE
HP:0000010	İdrar yolu enfeksiyonları	CANDIDATE
HP:0000010	Tekrarlayıcı idrar yolu enfeksiyonları	CANDIDATE
HP:0000011	Sinir sistemi hasarına bağlı mesane kontrolü eksikliği	OFFICIAL
HP:0000012	Aşırı aktif mesane	OFFICIAL
HP:0000012	Aşırı aktif mesane sendromu	OFFICIAL
HP:0000012	Sıkışma frekansı sendromu	OFFICIAL
HP:0000013	Hipoplastik uterus	OFFICIAL
HP:0000013	Rudimenter uterus	OFFICIAL
HP:0000013	Küçük uterus	OFFICIAL
HP:0000013	Tam gelişmemiş uterus	OFFICIAL
HP:0000015	Mesane divertikülü	OFFICIAL
HP:0000016	İşeme sonrası kalan idrar hacminde artış	OFFICIAL
HP:0000017	Noktüri	OFFICIAL
HP:0032786	Migrating partial seizure	NOT_TRANSLATED
HP:0000019	Akımda zorluk	OFFICIAL
HP:0000020	Mesane inkontinansı	OFFICIAL
HP:0000020	Mesane kontrol kaybı	OFFICIAL
HP:0032789	Focal aware behaviour arrest seizure	NOT_TRANSLATED
HP:0032790	Focal impaired awareness behaviour arrest seizure	NOT_TRANSLATED
HP:0000024	Prostat inflamasyonu	OFFICIAL
HP:0000026	Erkek gonadın azalmış fonksiyonu	OFFICIAL
HP:0000027	Semende sperm yokluğu	OFFICIAL
HP:0032795	Generalised myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0032795	Generalised onset myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0032795	generalised onset myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0032795	Generalised-onset myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0032795	generalized onset myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0032795	Generalized-onset myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0000028	İnmemiş testisler	OFFICIAL
HP:0000028	İnmemiş testis	OFFICIAL
HP:0000029	Testiküler dejenerasyon	OFFICIAL
HP:0000030	Gonadoblastoma, erkek	OFFICIAL
HP:0000033	Erkekte kuşkulu genitalya	OFFICIAL
HP:0000034	Hidrosel	OFFICIAL
HP:0000034	Testiküler hidrosel	OFFICIAL
HP:0000035	Testis anomalisi	CANDIDATE
HP:0000036	Abnormality of the penis	NOT_TRANSLATED
HP:0000040	Büyük penis	OFFICIAL
HP:0032810	Cephalic aura	NOT_TRANSLATED
HP:0032810	Focal seizure with cephalic sensation	NOT_TRANSLATED
HP:0032810	Partial seizure with cephalic sensation	NOT_TRANSLATED
HP:0000044	Hipogonadizm, hipogonadotropik	CANDIDATE
HP:0000044	İzole hipogonadotropik hipogonadizm	CANDIDATE
HP:0000044	Düşük gonadotropinler (ikincil hipogonadizm)	CANDIDATE
HP:0000046	Hipoplastik skrotum	CANDIDATE
HP:0032814	Neonatal electroclinical clonic seizure	NOT_TRANSLATED
