source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	Vocal cord paresis	HP:0001604	rdfs:label	de		NOT_TRANSLATED
en	Vocal cord paralysis	HP:0001605	rdfs:label	de		NOT_TRANSLATED
en	Abnormality of the voice	HP:0001608	rdfs:label	de		NOT_TRANSLATED
en	Hoarse voice	HP:0001609	rdfs:label	de		NOT_TRANSLATED
en	Hypernasal speech	HP:0001611	rdfs:label	de		NOT_TRANSLATED
en	Weak cry	HP:0001612	rdfs:label	de		NOT_TRANSLATED
en	Hoarse cry	HP:0001615	rdfs:label	de		NOT_TRANSLATED
en	Dysphonia	HP:0001618	rdfs:label	de		NOT_TRANSLATED
en	Weak voice	HP:0001621	rdfs:label	de		NOT_TRANSLATED
en	Loss of voice	HP:0001686	rdfs:label	de		NOT_TRANSLATED
en	Imperfect vocal cord adduction	HP:0005934	rdfs:label	de		NOT_TRANSLATED
en	Pseudobulbar paralysis	HP:0007024	rdfs:label	de		NOT_TRANSLATED
en	Unilateral vocal cord paralysis	HP:0008757	rdfs:label	de		NOT_TRANSLATED
en	Speech articulation difficulties	HP:0009088	rdfs:label	de		NOT_TRANSLATED
en	Laryngeal dystonia	HP:0012049	rdfs:label	de		NOT_TRANSLATED
en	Bilateral vocal cord paralysis	HP:0012820	rdfs:label	de		NOT_TRANSLATED
en	Unilateral vocal cord paresis	HP:0012821	rdfs:label	de		NOT_TRANSLATED
en	Bilateral vocal cord paresis	HP:0012822	rdfs:label	de		NOT_TRANSLATED
en	Abnormal cry	HP:0025429	rdfs:label	de		NOT_TRANSLATED
en	High-pitched cry	HP:0025430	rdfs:label	de		NOT_TRANSLATED
en	Staccato cry	HP:0025431	rdfs:label	de		NOT_TRANSLATED
en	Vocal cord dysfunction	HP:0031801	rdfs:label	de		NOT_TRANSLATED
en	Hyponasal speech	HP:0100271	rdfs:label	de		NOT_TRANSLATED
en	Cat cry	HP:0200046	rdfs:label	de		NOT_TRANSLATED
en	Pronunciation difficulties	HP:5200237	rdfs:label	de		NOT_TRANSLATED
en	Vowel expressive impediment	HP:5200238	rdfs:label	de		NOT_TRANSLATED
en	Consonant expressive impediment	HP:5200239	rdfs:label	de		NOT_TRANSLATED
