source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	nl	HP:0000001	rdfs:label	All	Alle	CANDIDATE
en	nl	HP:0000002	IAO:0000115	Deviation from the norm of height with respect to that which is expected according to age and gender norms.	Afwijking van de norm van hoogte met betrekking tot wat de verwachting is volgens leeftijds en geslachtsnormen	CANDIDATE
en	nl	HP:0000002	rdfs:label	Abnormality of body height	Afwijking van de lichaamslengte	CANDIDATE
en	nl	HP:0000003	rdfs:label	Multicystic kidney dysplasia	Multicysteuze nierdysplasie	CANDIDATE
en	nl	HP:0000005	rdfs:label	Mode of inheritance	Overervingspatroon	CANDIDATE
en	nl	HP:0000006	rdfs:label	Autosomal dominant inheritance	Autosomaal dominante overerving	CANDIDATE
en	nl	HP:0000007	rdfs:label	Autosomal recessive inheritance	Autosomaal recessieve overerving	CANDIDATE
en	nl	HP:0000008	IAO:0000115	An abnormality of the female internal genitalia.	Een afwijking van de vrouwelijke interne genitalia	CANDIDATE
en	nl	HP:0000008	rdfs:label	Abnormal morphology of female internal genitalia	Afwijking van de vrouwelijke interne genitalia	CANDIDATE
en	nl	HP:0000009	rdfs:label	Functional abnormality of the bladder	Functionele afwijking van de blaas	CANDIDATE
en	nl	HP:0000010	rdfs:label	Recurrent urinary tract infections	Recidiverende urineweginfecties	CANDIDATE
en	nl	HP:0000011	rdfs:label	Neurogenic bladder	Neurogene blaas	CANDIDATE
en	nl	HP:0000012	rdfs:label	Urinary urgency	Urinaire urgentie	CANDIDATE
en	nl	HP:0000013	rdfs:label	Hypoplasia of the uterus	Hypoplasie van de uterus	CANDIDATE
en	nl	HP:0000014	IAO:0000115	An abnormality of the urinary bladder.	Een afwijking van de urineblaas	CANDIDATE
en	nl	HP:0000014	rdfs:label	Abnormality of the bladder	Afwijking van de blaas	CANDIDATE
en	nl	HP:0000015	rdfs:label	Bladder diverticulum	Blaas diverticulum	CANDIDATE
en	nl	HP:0000016	rdfs:label	Urinary retention	Urineretentie	CANDIDATE
en	nl	HP:0000017	rdfs:label	Nocturia	Nycturie	CANDIDATE
en	nl	HP:0000019	rdfs:label	Urinary hesitancy	Urinaire aarzeling	CANDIDATE
en	nl	HP:0000020	rdfs:label	Urinary incontinence	Urine-incontinentie	CANDIDATE
en	nl	HP:0000021	rdfs:label	Megacystis	Megacystis	CANDIDATE
en	nl	HP:0000022	IAO:0000115	An abnormality of the male internal genitalia.	Een afwijking van de mannelijke interne genitaliën	CANDIDATE
en	nl	HP:0000022	rdfs:label	Abnormal male internal genitalia morphology	Afwijking van mannelijke interne genitaliën	CANDIDATE
en	nl	HP:0000023	rdfs:label	Inguinal hernia	Hernia inguinalis	CANDIDATE
en	nl	HP:0000024	rdfs:label	Prostatitis	Prostatitis	CANDIDATE
en	nl	HP:0000025	rdfs:label	Functional abnormality of male internal genitalia	Functionele afwijking van de mannelijke interne genitaliën	CANDIDATE
