source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	part of	BFO:0000050	rdfs:label	pt		NOT_TRANSLATED
en	All	HP:0000001	rdfs:label	pt		NOT_TRANSLATED
en	Abnormality of body height	HP:0000002	rdfs:label	pt		NOT_TRANSLATED
en	Multicystic kidney dysplasia	HP:0000003	rdfs:label	pt		NOT_TRANSLATED
en	Mode of inheritance	HP:0000005	rdfs:label	pt		NOT_TRANSLATED
en	Autosomal dominant inheritance	HP:0000006	rdfs:label	pt		NOT_TRANSLATED
en	Autosomal recessive inheritance	HP:0000007	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal morphology of female internal genitalia	HP:0000008	rdfs:label	pt		NOT_TRANSLATED
en	Functional abnormality of the bladder	HP:0000009	rdfs:label	pt		NOT_TRANSLATED
en	Recurrent urinary tract infections	HP:0000010	rdfs:label	pt		NOT_TRANSLATED
en	Neurogenic bladder	HP:0000011	rdfs:label	pt		NOT_TRANSLATED
en	Urinary urgency	HP:0000012	rdfs:label	pt		NOT_TRANSLATED
en	Hypoplasia of the uterus	HP:0000013	rdfs:label	pt		NOT_TRANSLATED
en	Abnormality of the bladder	HP:0000014	rdfs:label	pt		NOT_TRANSLATED
en	Bladder diverticulum	HP:0000015	rdfs:label	pt		NOT_TRANSLATED
en	Urinary retention	HP:0000016	rdfs:label	pt		NOT_TRANSLATED
en	Nocturia	HP:0000017	rdfs:label	pt		NOT_TRANSLATED
en	Urinary hesitancy	HP:0000019	rdfs:label	pt		NOT_TRANSLATED
en	Urinary incontinence	HP:0000020	rdfs:label	pt		NOT_TRANSLATED
en	Megacystis	HP:0000021	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal male internal genitalia morphology	HP:0000022	rdfs:label	pt		NOT_TRANSLATED
en	Inguinal hernia	HP:0000023	rdfs:label	pt		NOT_TRANSLATED
en	Prostatitis	HP:0000024	rdfs:label	pt		NOT_TRANSLATED
en	Functional abnormality of male internal genitalia	HP:0000025	rdfs:label	pt		NOT_TRANSLATED
en	Male hypogonadism	HP:0000026	rdfs:label	pt		NOT_TRANSLATED
en	Azoospermia	HP:0000027	rdfs:label	pt		NOT_TRANSLATED
en	Cryptorchidism	HP:0000028	rdfs:label	pt		NOT_TRANSLATED
en	Testicular atrophy	HP:0000029	rdfs:label	pt		NOT_TRANSLATED
en	Testicular gonadoblastoma	HP:0000030	rdfs:label	pt		NOT_TRANSLATED
en	Epididymitis	HP:0000031	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal male external genitalia morphology	HP:0000032	rdfs:label	pt		NOT_TRANSLATED
en	Ambiguous genitalia, male	HP:0000033	rdfs:label	pt		NOT_TRANSLATED
en	Hydrocele testis	HP:0000034	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal testis morphology	HP:0000035	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal penis morphology	HP:0000036	rdfs:label	pt		NOT_TRANSLATED
en	Male pseudohermaphroditism	HP:0000037	rdfs:label	pt		NOT_TRANSLATED
en	Epispadias	HP:0000039	rdfs:label	pt		NOT_TRANSLATED
en	Long penis	HP:0000040	rdfs:label	pt		NOT_TRANSLATED
en	Chordee	HP:0000041	rdfs:label	pt		NOT_TRANSLATED
en	Absent external genitalia	HP:0000042	rdfs:label	pt		NOT_TRANSLATED
en	Hypogonadotropic hypogonadism	HP:0000044	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal scrotum morphology	HP:0000045	rdfs:label	pt		NOT_TRANSLATED
en	Small scrotum	HP:0000046	rdfs:label	pt		NOT_TRANSLATED
en	Hypospadias	HP:0000047	rdfs:label	pt		NOT_TRANSLATED
en	Bifid scrotum	HP:0000048	rdfs:label	pt		NOT_TRANSLATED
en	Shawl scrotum	HP:0000049	rdfs:label	pt		NOT_TRANSLATED
en	Hypoplastic male external genitalia	HP:0000050	rdfs:label	pt		NOT_TRANSLATED
en	Perineal hypospadias	HP:0000051	rdfs:label	pt		NOT_TRANSLATED
en	Urethral atresia, male	HP:0000052	rdfs:label	pt		NOT_TRANSLATED
en	Macroorchidism	HP:0000053	rdfs:label	pt		NOT_TRANSLATED
en	Micropenis	HP:0000054	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal female external genitalia morphology	HP:0000055	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal clitoris morphology	HP:0000056	rdfs:label	pt		NOT_TRANSLATED
en	Abnormal labia morphology	HP:0000058	rdfs:label	pt		NOT_TRANSLATED
en	Hypoplastic labia majora	HP:0000059	rdfs:label	pt		NOT_TRANSLATED
en	Clitoral hypoplasia	HP:0000060	rdfs:label	pt		NOT_TRANSLATED
en	Ambiguous genitalia, female	HP:0000061	rdfs:label	pt		NOT_TRANSLATED
en	Ambiguous genitalia	HP:0000062	rdfs:label	pt		NOT_TRANSLATED
en	Fused labia minora	HP:0000063	rdfs:label	pt		NOT_TRANSLATED
en	Hypoplastic labia minora	HP:0000064	rdfs:label	pt		NOT_TRANSLATED
en	Labial hypertrophy	HP:0000065	rdfs:label	pt		NOT_TRANSLATED
en	Labial hypoplasia	HP:0000066	rdfs:label	pt		NOT_TRANSLATED
en	Urethral atresia, female	HP:0000067	rdfs:label	pt		NOT_TRANSLATED
en	Urethral atresia	HP:0000068	rdfs:label	pt		NOT_TRANSLATED
en	Abnormality of the ureter	HP:0000069	rdfs:label	pt		NOT_TRANSLATED
en	Ureterocele	HP:0000070	rdfs:label	pt		NOT_TRANSLATED
en	Ureteral stenosis	HP:0000071	rdfs:label	pt		NOT_TRANSLATED
