source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	comment	translation_date
en	Multicystic kidney dysplasia	HP:0000003	rdfs:label	it	Displasia renale multicistica	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Recurrent urinary tract infections	HP:0000010	rdfs:label	it	Infezioni ricorrenti del tratto urinario	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Neurogenic bladder	HP:0000011	rdfs:label	it	Vescica neurogena	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Urinary urgency	HP:0000012	rdfs:label	it	Urgenza urinaria	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Bladder diverticulum	HP:0000015	rdfs:label	it	Diverticolo della vescica	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Urinary retention	HP:0000016	rdfs:label	it	Ritenzione urinaria	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Urinary incontinence	HP:0000020	rdfs:label	it	Incontinenza urinaria	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Inguinal hernia	HP:0000023	rdfs:label	it	Ernia inguinale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Cryptorchidism	HP:0000028	rdfs:label	it	Criptorchidismo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Testicular atrophy	HP:0000029	rdfs:label	it	Atrofia testicolare	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Epididymitis	HP:0000031	rdfs:label	it	Epididimite	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormal male external genitalia morphology	HP:0000032	rdfs:label	it	Morfologia anomala dei genitali esterni maschili	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Ambiguous genitalia, male	HP:0000033	rdfs:label	it	Genitali ambigui, maschio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hydrocele testis	HP:0000034	rdfs:label	it	Idrocele del testicolo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Long penis	HP:0000040	rdfs:label	it	Pene lungo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Chordee	HP:0000041	rdfs:label	it	Cordoglio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hypogonadotropic hypogonadism	HP:0000044	rdfs:label	it	Ipogonadismo ipogonadotropo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hypospadias	HP:0000047	rdfs:label	it	Ipospadia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Bifid scrotum	HP:0000048	rdfs:label	it	Scroto bifido	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Shawl scrotum	HP:0000049	rdfs:label	it	Scroto a scialle	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Macroorchidism	HP:0000053	rdfs:label	it	Macroorchidismo	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Micropenis	HP:0000054	rdfs:label	it	Micropene	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hypoplastic labia majora	HP:0000059	rdfs:label	it	Labiopalmo ipoplasico	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Ambiguous genitalia	HP:0000062	rdfs:label	it	Genitali ambigui	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hypoplastic labia minora	HP:0000064	rdfs:label	it	Labbra minori ipoplasiche	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Labial hypertrophy	HP:0000065	rdfs:label	it	Ipertrofia labiale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Labial hypoplasia	HP:0000066	rdfs:label	it	Ipoplasia delle grandi e/o piccole labbra	CANDIDATE	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Hydroureter	HP:0000072	rdfs:label	it	Idrouretere	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Ureteral duplication	HP:0000073	rdfs:label	it	Duplicazione ureterale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Ureteropelvic junction obstruction	HP:0000074	rdfs:label	it	Ostruzione della giunzione uretero-pelvica	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Renal duplication	HP:0000075	rdfs:label	it	Duplicazione renale	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Vesicoureteral reflux	HP:0000076	rdfs:label	it	Reflusso vescicoureterale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the kidney	HP:0000077	rdfs:label	it	Anomalia del rene	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the genital system	HP:0000078	rdfs:label	it	Anomalia dell'apparato genitale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Duplicated collecting system	HP:0000081	rdfs:label	it	Doppio distretto renale	CANDIDATE	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Renal insufficiency	HP:0000083	rdfs:label	it	Insufficienza renale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Horseshoe kidney	HP:0000085	rdfs:label	it	Rene a ferro di cavallo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Ectopic kidney	HP:0000086	rdfs:label	it	Rene ectopico	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Renal hypoplasia	HP:0000089	rdfs:label	it	Ipoplasia renale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Renal tubular atrophy	HP:0000092	rdfs:label	it	Atrofia tubulare renale	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Proteinuria	HP:0000093	rdfs:label	it	Proteinuria	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Glomerular sclerosis	HP:0000096	rdfs:label	it	Sclerosi glomerulare	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Focal segmental glomerulosclerosis	HP:0000097	rdfs:label	it	Glomerulosclerosi focale segmentaria	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Tall stature	HP:0000098	rdfs:label	it	Alta statura	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Glomerulonephritis	HP:0000099	rdfs:label	it	Glomerulonefrite	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Nephrotic syndrome	HP:0000100	rdfs:label	it	Sindrome nefrosica	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Polyuria	HP:0000103	rdfs:label	it	Poliuria	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Renal agenesis	HP:0000104	rdfs:label	it	Agenesia renale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Enlarged kidney	HP:0000105	rdfs:label	it	Rene ingrossato	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Renal cyst	HP:0000107	rdfs:label	it	Cisti renale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Renal corticomedullary cysts	HP:0000108	rdfs:label	it	Cisti renali cortico-midollari	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Renal dysplasia	HP:0000110	rdfs:label	it	Displasia renale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Polycystic kidney dysplasia	HP:0000113	rdfs:label	it	Displasia renale policistica	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Renal phosphate wasting	HP:0000117	rdfs:label	it	Perdita renale di fosfati	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Abnormality of the genitourinary system	HP:0000119	rdfs:label	it	Anomalie del sistema genitourinario	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Nephrocalcinosis	HP:0000121	rdfs:label	it	Nefrocalcinosi	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
