source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	nna	HP:0000154	rdfs:label	Wide mouth	Jawa Wartu	OFFICIAL
en	nna	HP:0000158	rdfs:label	Macroglossia	Jalin Wirtu	OFFICIAL
en	nna	HP:0000160	rdfs:label	Narrow mouth	Jawa  Makanu	OFFICIAL
en	nna	HP:0000171	rdfs:label	Microglossia	Jalin Wupartu	OFFICIAL
en	nna	HP:0000179	rdfs:label	Thick lower lip vermilion	Mutirr Kankarni Wirtu	OFFICIAL
en	nna	HP:0000180	rdfs:label	Lobulated tongue	Jalin Larrjartiny	OFFICIAL
en	nna	HP:0000215	rdfs:label	Thick upper lip vermilion	Japirr Kankarni Wirtu	OFFICIAL
en	nna	HP:0000219	rdfs:label	Thin upper lip vermilion	Japirr Kankarni Wupartu	OFFICIAL
en	nna	HP:0000221	rdfs:label	Furrowed tongue	Jalin Jikirr- Jikirr	OFFICIAL
en	nna	HP:0000232	rdfs:label	Everted lower lip vermilion	Mutirr-Kaniny kurtan-kurtan	OFFICIAL
en	nna	HP:0000243	rdfs:label	Trigonocephaly	Yirikarta Jurnturtu	OFFICIAL
en	nna	HP:0000248	rdfs:label	Brachycephaly	Jurnturtu Makanu Jarnti	OFFICIAL
en	nna	HP:0000252	rdfs:label	Microcephaly	Jurnturtu Wupartu	OFFICIAL
en	nna	HP:0000256	rdfs:label	Macrocephaly	Jurnturtu Wirtu	OFFICIAL
en	nna	HP:0000262	rdfs:label	Turricephaly	Jurnturtu  Makanu	OFFICIAL
en	nna	HP:0000268	rdfs:label	Dolichocephaly	Jurnturtu makanu karta	OFFICIAL
en	nna	HP:0000269	rdfs:label	Prominent occiput	Taki Wirtu	OFFICIAL
en	nna	HP:0000275	rdfs:label	Narrow face	Ngumpa Murrjartin	OFFICIAL
en	nna	HP:0000276	rdfs:label	Long face	Ngumpa  Makanu	OFFICIAL
en	nna	HP:0000278	rdfs:label	Retrognathia	Ngarn-Ngarn Wupartu	OFFICIAL
en	nna	HP:0000280	rdfs:label	Coarse facial features	Ngumpa Kulujartin	OFFICIAL
en	nna	HP:0000283	rdfs:label	Broad face	Ngumpa Walpurra	OFFICIAL
en	nna	HP:0000289	rdfs:label	Broad philtrum	Milyanga-pa Japirr-ja Partijirri-kaniny Walpurra	OFFICIAL
en	nna	HP:0000293	rdfs:label	Full cheeks	Nginngirr Jinjimama	OFFICIAL
en	nna	HP:0000294	rdfs:label	Low anterior hairline	Purrunyju Pirrinyarma	OFFICIAL
en	nna	HP:0000303	rdfs:label	Mandibular prognathia	Ngarn-Ngarn Wirtu	OFFICIAL
en	nna	HP:0000307	rdfs:label	Pointed chin	Ngarn-Ngarn Yirikata	OFFICIAL
en	nna	HP:0000307	rdfs:label	Pointed chin	Ngarn-Ngarn Murlku	OFFICIAL
en	nna	HP:0000311	rdfs:label	Round face	Ngumpa  Mamurarri	OFFICIAL
en	nna	HP:0000316	rdfs:label	Hypertelorism	Pani Kajakul	OFFICIAL
en	nna	HP:0000319	rdfs:label	Smooth philtrum	Milyanga-pa Japirr-ja Partijirri-kaniny kapuraly	OFFICIAL
en	nna	HP:0000321	rdfs:label	Square face	Ngumpa Square	OFFICIAL
en	nna	HP:0000322	rdfs:label	Short philtrum	Milyanga-pa Japirr-ja Partijirri-kaniny. Mulku	OFFICIAL
en	nna	HP:0000325	rdfs:label	Triangular face	Ngumpa Yirikata	OFFICIAL
en	nna	HP:0000336	rdfs:label	Prominent supraorbital ridges	Wirtu Jalparn Kunja	OFFICIAL
en	nna	HP:0000337	rdfs:label	Broad forehead	Pirrirn Walpurra	OFFICIAL
en	nna	HP:0000341	rdfs:label	Narrow forehead	Pirrin Murrjartin	OFFICIAL
en	nna	HP:0000343	rdfs:label	Long philtrum	Milyanga-pa Japirr-ja Partijirri-kaniny Makanu	OFFICIAL
en	nna	HP:0000347	rdfs:label	Micrognathia	Ngarn-Ngarn Wupartu	OFFICIAL
en	nna	HP:0000349	rdfs:label	Widow's peak	Purruny Yirikata	OFFICIAL
en	nna	HP:0000369	rdfs:label	Low-set ears	Kurlka Kaninykurnu	OFFICIAL
en	nna	HP:0000411	rdfs:label	Protruding ear	Kurlka Wirtu	OFFICIAL
en	nna	HP:0000418	rdfs:label	Narrow nasal ridge	Nyurrun-Nyurrun Wujul	OFFICIAL
en	nna	HP:0000426	rdfs:label	Prominent nasal bridge	Wirtu Nyurrurn-Nyurrurn	OFFICIAL
en	nna	HP:0000431	rdfs:label	Wide nasal bridge	Walpurra Nyurrurn-Nyurrurn	OFFICIAL
en	nna	HP:0000444	rdfs:label	Convex nasal ridge	Nyurrun-Nyurrun Kankakurnu	OFFICIAL
en	nna	HP:0000445	rdfs:label	Wide nose	Walpurra Milya	OFFICIAL
en	nna	HP:0000446	rdfs:label	Narrow nasal bridge	Wujul-Wujul Nyurrurn-Nyurrurn	OFFICIAL
en	nna	HP:0000448	rdfs:label	Prominent nose	Milya Wirtu	OFFICIAL
en	nna	HP:0000457	rdfs:label	Depressed nasal ridge	Kaninykurnu Nyurrun-Nyurrun	OFFICIAL
en	nna	HP:0000460	rdfs:label	Narrow nose	Wujul-Wujul Milya	OFFICIAL
en	nna	HP:0000463	rdfs:label	Anteverted nares	Milya Yiri	OFFICIAL
en	nna	HP:0000465	rdfs:label	Webbed neck	Ngalyi Karnu Walpurra	OFFICIAL
en	nna	HP:0000470	rdfs:label	Short neck	Ngalyi  Murlku	OFFICIAL
en	nna	HP:0000472	rdfs:label	Long neck	Ngalyi  Makanu	OFFICIAL
en	nna	HP:0000475	rdfs:label	Broad neck	Ngalyi Walpurra	OFFICIAL
en	nna	HP:0000490	rdfs:label	Deeply set eye	Pani Martu	OFFICIAL
en	nna	HP:0000508	rdfs:label	Ptosis	Pani Kartakarra	OFFICIAL
en	nna	HP:0000520	rdfs:label	Proptosis	Pani Wirtu	OFFICIAL
en	nna	HP:0000527	rdfs:label	Long eyelashes	Eyelash Makanu	OFFICIAL
en	nna	HP:0000574	rdfs:label	Thick eyebrow	Jalparn Purrun Wirtu	OFFICIAL
en	nna	HP:0000581	rdfs:label	Blepharophimosis	Pani Wupartu	OFFICIAL
