source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	tr	BFO:0000050	rdfs:label	part of		NOT_TRANSLATED
en	tr	HP:0000036	IAO:0000115	Abnormality of the male external sex organ	Abnormality of the male external sex organ	NOT_TRANSLATED
en	tr	HP:0000046	IAO:0000115	Apparently small scrotum for age	Apparently small scrotum for age	NOT_TRANSLATED
en	tr	HP:0000124	IAO:0000115	Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid	Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid	NOT_TRANSLATED
en	tr	HP:0000224	IAO:0000115	A decreased ability to perceive flavor	A decreased ability to perceive flavor	NOT_TRANSLATED
en	tr	HP:0000737	IAO:0000115	A proneness to anger, i.e., a condition of being easily bothered or annoyed	A proneness to anger, i.e., a condition of being easily bothered or annoyed	NOT_TRANSLATED
en	tr	HP:0000858	IAO:0000115	Abnormally high variation in the amount of time between periods	Abnormally high variation in the amount of time between periods	NOT_TRANSLATED
en	tr	HP:0001063	IAO:0000115	Bluish discoloration of the skin of the hands or feet	Bluish discoloration of the skin of the hands or feet	NOT_TRANSLATED
en	tr	HP:0001071	IAO:0000115	Angiokeratoma corporis diffusum (ACD) is typically characterized by innumerable small red to black papules which occur in clusters and are situated symmetrically in the bathing trunks area. The number of lesions and the extension of the body increase steadily with time so that generalization and mucosal involvement are common. The single lesion begins with a minute reddish papule which enlarges to up to 10 mm in diameter, becomes dark red to black with a discrete keratotic overgrowth. Histologically, the papules are characterized by superficial dilated capillaries in papillary dermis with epidermal proliferation	Angiokeratoma corporis diffusum (ACD) is typically characterized by innumerable small red to black papules which occur in clusters and are situated symmetrically in the bathing trunks area. The number of lesions and the extension of the body increase steadily with time so that generalization and mucosal involvement are common. The single lesion begins with a minute reddish papule which enlarges to up to 10 mm in diameter, becomes dark red to black with a discrete keratotic overgrowth. Histologically, the papules are characterized by superficial dilated capillaries in papillary dermis with epidermal proliferation	NOT_TRANSLATED
en	tr	HP:0001327	IAO:0000115	Generalised myoclonic seizure provoked by flashing or flickering light	Generalised myoclonic seizure provoked by flashing or flickering light	NOT_TRANSLATED
en	tr	HP:0001466	IAO:0000115	A syndrome caused by the effects of abnormality (typically a deletion or duplication) of 2 or more adjacent genes	A syndrome caused by the effects of abnormality (typically a deletion or duplication) of 2 or more adjacent genes	NOT_TRANSLATED
