subject_id	source_language	translation_language	predicate_id	comment	source_value	translation_status	translation_value
HP:0000008	en	fr	rdfs:label	label of HP:0000008 (Abnormality of female internal genitalia)  ; abnormality of the genitourinary system	Abnormality of female internal genitalia	OFFICIAL	Anomalie des organes génitaux internes de la femme
HP:0000022	en	fr	rdfs:label	label of HP:0000022 (Abnormality of male internal genitalia)  ; abnormality of the genitourinary system	Abnormality of male internal genitalia	OFFICIAL	Anomalie des organes génitaux internes masculins
HP:0000027	en	fr	IAO:0000115	definition of HP:0000027 (Azoospermia)  ; abnormality of the genitourinary system	Absence of any measurable level of sperm in his semen	OFFICIAL	Absence totale de spermatozoïdes dans le sperme
HP:0000028	en	fr	IAO:0000115	definition of HP:0000028 (Cryptorchidism)  ; abnormality of the genitourinary system	Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the testis	OFFICIAL	Testicule bloqué dans le canal inguinal. Autrement dit, absence d'un ou des deux testicules dans le scrotum en raison d'un arrêt de la migration du (ou des) testicule(s) lors de son (leur) trajet de descente le long du canal inguinal
HP:0000032	en	fr	IAO:0000115	definition of HP:0000032 (Abnormality of male external genitalia)  ; abnormality of the genitourinary system	An abnormality of male external genitalia	OFFICIAL	Anomalie des organes génitaux masculins externes
HP:0000032	en	fr	rdfs:label	label of HP:0000032 (Abnormality of male external genitalia)  ; abnormality of the genitourinary system	Abnormality of male external genitalia	OFFICIAL	Anomalie des organes génitaux masculins externes
HP:0000035	en	fr	rdfs:label	label of HP:0000035 (Abnormality of the testis)  ; abnormality of the genitourinary system	Abnormality of the testis	OFFICIAL	Anomalie des testicules
HP:0000036	en	fr	rdfs:label	label of HP:0000036 (Abnormality of the penis)  ; abnormality of the genitourinary system	Abnormality of the penis	OFFICIAL	Anomalie du pénis
HP:0000039	en	fr	IAO:0000115	definition of HP:0000039 (Epispadias)  ; abnormality of the genitourinary system	Displacement of the urethral opening on the dorsal (superior) surface of the penis	OFFICIAL	Malposition urétrale, ouvert sur la face dorsale (supérieur) du pénis
HP:0000041	en	fr	IAO:0000115	definition of HP:0000041 (Chordee)  ; abnormality of the genitourinary system	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees	OFFICIAL	Angulation ventrale, latérale, ou ventro-latérale de la verge ou du gland pénien de plus de 30 degrés
HP:0000044	en	fr	rdfs:label	label of HP:0000044 (Hypogonadotrophic hypogonadism)  ; abnormality of the endocrine system ; abnormality of the genitourinary system	Hypogonadotrophic hypogonadism	OFFICIAL	Gonadotrophines basses (hypogonadisme secondaire)
HP:0000044	en	fr	rdfs:label	label of HP:0000044 (Hypogonadotrophic hypogonadism)  ; abnormality of the endocrine system ; abnormality of the genitourinary system	Hypogonadotrophic hypogonadism	OFFICIAL	Gonadotrophines basses (hypogonadisme secondaire)
HP:0000045	en	fr	rdfs:label	label of HP:0000045 (Abnormality of the scrotum)  ; abnormality of the genitourinary system	Abnormality of the scrotum	OFFICIAL	Anomalie scrotale
HP:0000046	en	fr	rdfs:label	label of HP:0000046 (Scrotal hypoplasia)  ; abnormality of the genitourinary system	Scrotal hypoplasia	OFFICIAL	Hypoplasie scrotale
HP:0000055	en	fr	IAO:0000115	definition of HP:0000055 (Abnormality of female external genitalia)  ; abnormality of the genitourinary system	An abnormality of the female external genitalia	OFFICIAL	Une anomalie des organes génitaux externes féminins
HP:0000055	en	fr	rdfs:label	label of HP:0000055 (Abnormality of female external genitalia)  ; abnormality of the genitourinary system	Abnormality of female external genitalia	OFFICIAL	Anomalie des organes génitaux externes féminins
HP:0000056	en	fr	IAO:0000115	definition of HP:0000056 (Abnormality of the clitoris)  ; abnormality of the genitourinary system	An abnormality of the clitoris	OFFICIAL	Une anomalie du clitoris
HP:0000056	en	fr	rdfs:label	label of HP:0000056 (Abnormality of the clitoris)  ; abnormality of the genitourinary system	Abnormality of the clitoris	OFFICIAL	Anomalie du clitoris
HP:0000058	en	fr	rdfs:label	label of HP:0000058 (Abnormality of the labia)  ; abnormality of the genitourinary system	Abnormality of the labia	OFFICIAL	Anomalie des lèvres de la vulve
HP:0000069	en	fr	IAO:0000115	definition of HP:0000069 (Abnormality of the ureter)  ; abnormality of the genitourinary system	An abnormality of the ureter	OFFICIAL	Une anomalie de l'uretère
HP:0000091	en	fr	rdfs:label	label of HP:0000091 (Abnormality of the renal tubule)  ; abnormality of the genitourinary system	Abnormality of the renal tubule	OFFICIAL	Anomalie du tubule rénal
HP:0000092	en	fr	rdfs:label	label of HP:0000092 (Tubular atrophy)  ; abnormality of the genitourinary system	Tubular atrophy	OFFICIAL	Atrophie tubulaire
HP:0000095	en	fr	rdfs:label	label of HP:0000095 (Abnormality of renal glomerulus morphology)  ; abnormality of the genitourinary system	Abnormality of renal glomerulus morphology	OFFICIAL	Anomalie morphologique glomérulaire
HP:0000096	en	fr	rdfs:label	label of HP:0000096 (Glomerulosclerosis)  ; abnormality of the genitourinary system	Glomerulosclerosis	OFFICIAL	Glomérulosclérose
HP:0000151	en	fr	IAO:0000115	definition of HP:0000151 (Aplasia of the uterus)  ; abnormality of the genitourinary system	Aplasia of the uterus	OFFICIAL	Aplasie de l'utérus
HP:0000161	en	fr	rdfs:label	label of HP:0000161 (Median cleft lip)  ; abnormality of head or neck	Median cleft lip	OFFICIAL	Fente labiale médiane
HP:0000172	en	fr	rdfs:label	label of HP:0000172 (Abnormality of the uvula)  ; abnormality of head or neck	Abnormality of the uvula	OFFICIAL	Anomalie de l'uvule palatine
HP:0000177	en	fr	rdfs:label	label of HP:0000177 (Abnormality of upper lip)  ; abnormality of head or neck	Abnormality of upper lip	OFFICIAL	Anomalie de la lèvre supérieure
HP:0000178	en	fr	rdfs:label	label of HP:0000178 (Abnormality of lower lip)  ; abnormality of head or neck	Abnormality of lower lip	OFFICIAL	Anomalie de la lèvre inférieure
HP:0000183	en	fr	rdfs:label	label of HP:0000183 (Difficulty in tongue movements)  ; abnormality of head or neck	Difficulty in tongue movements	OFFICIAL	Difficulté dans les mouvements de la langue
HP:0000202	en	fr	IAO:0000115	definition of HP:0000202 (Oral cleft)  ; abnormality of head or neck	The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately	OFFICIAL	La présence d'une fente dans la cavité buccale, dont les deux principaux types sont la fente labiale et la fente palatine. Dans le cas d'une fente labiale, il y a un défaut congénital de fusion entre les processus maxillaire et nasal médian, ce qui forme un sillon ou une fissure dans la lèvre. Dans le cas de la fente palatine, il y a un défaut congénital de fusion du palais, ce qui forme une dépression ou une fissure dans le palais. Les fentes labiales et palatines peuvent se produire individuellement ou ensemble. Il est préférable de coder chaque défaut séparément
HP:0000202	en	fr	rdfs:label	label of HP:0000202 (Oral cleft)  ; abnormality of head or neck	Oral cleft	OFFICIAL	Fente labio-palatine
HP:0000204	en	fr	IAO:0000115	definition of HP:0000204 (Cleft upper lip)  ; abnormality of head or neck	A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development	OFFICIAL	Une fente de la lèvre supérieure. Il s'agit d'un défaut congénital résultant de la non fusion des tissus de la lèvre pendant le développement embryonnaire.
HP:0000224	en	fr	rdfs:label	label of HP:0000224 (Decreased taste sensation)  ; abnormality of the nervous system ; abnormality of head or neck	Decreased taste sensation	OFFICIAL	Diminution de la sensation de goût
HP:0000233	en	fr	IAO:0000115	definition of HP:0000233 (Thin vermilion border)  ; abnormality of head or neck	Reduced width of the skin of vermilion border region of upper lip	OFFICIAL	Largeur réduite de la peau de la région du bord vermillon de la lèvre supérieure.
HP:0000235	en	fr	rdfs:label	label of HP:0000235 (Abnormality of the fontanelles or cranial sutures)  ; abnormality of head or neck ; abnormality of the skeletal system	Abnormality of the fontanelles or cranial sutures	OFFICIAL	Anomalie des fontanelles et des sutures crâniennes
HP:0000236	en	fr	rdfs:label	label of HP:0000236 (Abnormality of the anterior fontanelle)  ; abnormality of head or neck ; abnormality of the skeletal system	Abnormality of the anterior fontanelle	OFFICIAL	Anomalie de la fontanelle antérieure
HP:0000245	en	fr	rdfs:label	label of HP:0000245 (Abnormality of the paranasal sinuses)  ; abnormality of head or neck ; abnormality of the skeletal system	Abnormality of the paranasal sinuses	OFFICIAL	Anomalie des sinus paranasaux
HP:0000252	en	fr	IAO:0000115	definition of HP:0000252 (Microcephaly)  ; abnormality of the nervous system ; abnormality of head or neck ; abnormality of the skeletal system	Occipito-frontal (head) circumference (OFC) less than -3 standard deviations compared to appropriate, age matched, normal standards (Ross JJ, Frias JL 1977, PMID:9683597). Alternatively, decreased size of the cranium	OFFICIAL	Circonférence occipito-frontale (tête) inférieure à -3 écarts-types par rapport aux normes normales appropriées, appariées selon l'âge (Ross JJ,1977.PMID:9683597). Alternativement, une diminution de la taille du crâne.
HP:0000264	en	fr	rdfs:label	label of HP:0000264 (Abnormality of the mastoid)  ; abnormality of head or neck ; abnormality of the skeletal system	Abnormality of the mastoid	OFFICIAL	Anomalie mastoïdienne
HP:0000274	en	fr	IAO:0000115	definition of HP:0000274 (Small face)  ; abnormality of head or neck	A face that is short (HP:0011219) and narrow (HP:0000275)	OFFICIAL	Une face courte (HP:0011219) et étroite (HP:0000275).
HP:0000277	en	fr	rdfs:label	label of HP:0000277 (Abnormality of the mandible)  ; abnormality of head or neck ; abnormality of the skeletal system	Abnormality of the mandible	OFFICIAL	Anomalie de la mandibule
HP:0000290	en	fr	rdfs:label	label of HP:0000290 (Abnormality of the forehead)  ; abnormality of head or neck	Abnormality of the forehead	OFFICIAL	Anomalie du front
HP:0000309	en	fr	rdfs:label	label of HP:0000309 (Abnormality of the midface)  ; abnormality of head or neck	Abnormality of the midface	OFFICIAL	Anomalie de l'étage moyen de la face
