source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date	comment
en	Low-set, posteriorly rotated ears	HP:0000368	rdfs:label	de	Tiefsitzende, nach hinten rotierte Ohren	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Nephrolithiasis	HP:0000787	rdfs:label	de	Nephrolithiasis	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased circulating renin level	HP:0000848	rdfs:label	de	Erhöhter zirkulierender Reninspiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Choroideremia	HP:0001139	rdfs:label	de	Choroideremie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	2-3 finger syndactyly	HP:0001233	rdfs:label	de	2-3-Finger-Syndaktylie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Intellectual disability, mild	HP:0001256	rdfs:label	de	Geistige Behinderung, leicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Reduced tendon reflexes	HP:0001315	rdfs:label	de	Verminderte Sehnenreflexe	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the nail	HP:0001597	rdfs:label	de	Abnormität des Nagels	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	High pitched voice	HP:0001620	rdfs:label	de	Hohe Stimme	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Neutropenia	HP:0001875	rdfs:label	de	Neutropenie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Eosinophilia	HP:0001880	rdfs:label	de	Eosinophilie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Leukopenia	HP:0001882	rdfs:label	de	Leukopenie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Lymphopenia	HP:0001888	rdfs:label	de	Lymphopenie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Neutropenia in presence of anti-neutropil antibodies	HP:0001904	rdfs:label	de	Neutropenie bei Vorliegen von Anti-Neutropil-Antikörpern	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Leukocytosis	HP:0001974	rdfs:label	de	Leukozytose	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of speech or vocalization	HP:0002167	rdfs:label	de	Sprach- oder Vokalanomalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Intellectual disability, profound	HP:0002187	rdfs:label	de	Geistige Behinderung, hochgradig	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Poor motor coordination	HP:0002275	rdfs:label	de	Schlechte motorische Koordination	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Intellectual disability, moderate	HP:0002342	rdfs:label	de	Geistige Behinderung, mittelschwer	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Difficulty walking	HP:0002355	rdfs:label	de	Schwierigkeiten beim Gehen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Sleep abnormality	HP:0002360	rdfs:label	de	Schlafabweichung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Poor coordination	HP:0002370	rdfs:label	de	Schlechte Koordination	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Long-tract signs	HP:0002423	rdfs:label	de	Störungen der langen Rückenmarksbahnen	OFFICIAL	orcid:0000-0002-9746-4412	DOMAIN_EXPERT	2024-12-10	
en	Decreased circulating IgA level	HP:0002720	rdfs:label	de	Verminderter zirkulierender IgA-Spiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Recurrent Staphylococcus aureus infections	HP:0002726	rdfs:label	de	Wiederkehrende Staphylococcus-aureus-Infektionen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Chronic mucocutaneous candidiasis	HP:0002728	rdfs:label	de	Chronische mukokutane Candidose	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Decreased circulating total IgM	HP:0002850	rdfs:label	de	Verringertes zirkulierendes Gesamt-IgM	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	HP:0002851	rdfs:label	de	Erhöhter Anteil an CD4-negativen, CD8-negativen, alpha-beta regulatorischen T-Zellen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased LDL cholesterol concentration	HP:0003141	rdfs:label	de	Erhöhte LDL-Cholesterin-Konzentration	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Impaired oxidative burst	HP:0003203	rdfs:label	de	Beeinträchtigung des oxidativen Stoßes	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased circulating IgE level	HP:0003212	rdfs:label	de	Erhöhter zirkulierender IgE-Spiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Decreased HDL cholesterol concentration	HP:0003233	rdfs:label	de	Verminderte HDL-Cholesterin-Konzentration	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Elevated circulating creatine kinase concentration	HP:0003236	rdfs:label	de	Erhöhte zirkulierende Kreatinkinase-Konzentration	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased circulating IgG level	HP:0003237	rdfs:label	de	Erhöhter zirkulierender IgG-Spiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased circulating IgA level	HP:0003261	rdfs:label	de	Erhöhter zirkulierender IgA-Spiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Impaired lymphocyte transformation with phytohemagglutinin	HP:0003347	rdfs:label	de	Beeinträchtigte Lymphozyten-Transformation mit Phytohemagglutinin	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased VLDL cholesterol concentration	HP:0003362	rdfs:label	de	Erhöhte VLDL-Cholesterin-Konzentration	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased circulating iron concentration	HP:0003452	rdfs:label	de	Erhöhte zirkulierende Eisenkonzentration	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Increased circulating IgM level	HP:0003496	rdfs:label	de	Erhöhter zirkulierender IgM-Spiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased serum pyruvate	HP:0003542	rdfs:label	de	Erhöhtes Pyruvat im Serum	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Decreased circulating antibody level	HP:0004313	rdfs:label	de	Verminderter zirkulierender Antikörperspiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Decreased circulating IgG level	HP:0004315	rdfs:label	de	Verminderter zirkulierender IgG-Spiegel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypoplastic left heart	HP:0004383	rdfs:label	de	Hypoplastisches Linksherz	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	T lymphocytopenia	HP:0005403	rdfs:label	de	T-Lymphozytopenie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased B cell count	HP:0005404	rdfs:label	de	Erhöhte Anzahl von B-Zellen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Decreased proportion of CD4-positive helper T cells	HP:0005407	rdfs:label	de	Verringertes Verhältnis von CD4-positiven T-Helferzellen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Decreased proportion of CD8-positive T cells	HP:0005415	rdfs:label	de	Verringertes Verhältnis von CD8-positiven T-Zellen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Absence of CD8-positive T cells	HP:0005422	rdfs:label	de	Fehlen von CD8-positiven T-Zellen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Absent distal phalanges	HP:0005807	rdfs:label	de	Fehlende distale Phalangen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
