source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	tr	HP:0000027	IAO:0000115	Absence of any measurable level of sperm in his semen	Semende herhangi bir düzeyde ölçülebilir sperm yokluğu	OFFICIAL
en	tr	HP:0000032	IAO:0000115	An abnormality of male external genitalia	Erkek dış genital anormalliği	OFFICIAL
en	tr	HP:0000032	rdfs:label	Abnormality of male external genitalia	Erkek dış genital anormalliği	OFFICIAL
en	tr	HP:0000045	rdfs:label	Abnormality of the scrotum	Skrotum anormalliği	OFFICIAL
en	tr	HP:0000055	IAO:0000115	An abnormality of the female external genitalia	Dişi dış genitalyanın bir anormalliği	OFFICIAL
en	tr	HP:0000055	rdfs:label	Abnormality of female external genitalia	Dişi dış genital anormalliği	OFFICIAL
en	tr	HP:0000056	IAO:0000115	An abnormality of the clitoris	Klitorisin bir anormalliği	OFFICIAL
en	tr	HP:0000056	rdfs:label	Abnormality of the clitoris	Klitoris anormalliği	OFFICIAL
en	tr	HP:0000161	rdfs:label	Median cleft lip	Orta hat yarık dudak	OFFICIAL
en	tr	HP:0000202	IAO:0000115	The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately	Ana iki tipi yarık dudak ve yarık damak olan ağız boşluğunda bir yarık varlığı. Yarık dudakta, maksiller ve medyan nazal proseslerin birleşmesinde doğumsal bir kusur vardır. Yarık damakta, damak doğumsal olarak uygun bir şekilde birleşememiştir, ağız çatısında oluklu bir içe göçme ya da fissür oluşturur. Dudak ve damağın yarıkları tek başına veya beraber olabilir. Her bir defekti ayrı olarak kodlamak tercih edilmektedir	OFFICIAL
en	tr	HP:0000202	rdfs:label	Oral cleft	Yarık ağız	OFFICIAL
en	tr	HP:0000204	IAO:0000115	A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development	Üst dudakta yarık. Dudak dokularının embriyonel gelişim esnasında birleşememesinden kaynaklanan doğumsal bir defekt	OFFICIAL
en	tr	HP:0000326	rdfs:label	Abnormality of the maxilla	Maksilla anormalliği	OFFICIAL
en	tr	HP:0000372	IAO:0000115	An abnormality of the External acoustic tube (also known as the auditory canal)	Dış akustik tüpün (işitme kanalı olarak da bilinen) anormalliği	OFFICIAL
en	tr	HP:0000372	rdfs:label	Abnormality of the auditory canal	İşitme kanalının anormalliği	OFFICIAL
en	tr	HP:0000587	rdfs:label	Abnormality of the optic nerve	Optik sinir anormalliği	OFFICIAL
en	tr	HP:0000618	IAO:0000115	Blindness is the condition of lacking visual perception defined as visual perception below 3/60 and/or a visual field of no greater than 10 degrees in radius around central fixation	Körlük, fizyolojik veya nörolojik etkenlere bağlı olarak görsel algının azalmasıdır	CANDIDATE
en	tr	HP:0000677	IAO:0000115	The absence of six or more teeth from the normal series by a failurento develop	6 dişten daha fazla dişin olmadığı azalmış diş sayısı ile karakterize bir gelişimsel anomali	CANDIDATE
en	tr	HP:0000708	IAO:0000115	An abnormality of mental functioning including various affective, behavioural, cognitive and perceptual abnormalities	Duygulanımsal, davranışsal, bilişsel ve algısal anormalikleri içeren mental fonksiyon anormalliği	OFFICIAL
en	tr	HP:0000708	rdfs:label	Behavioral abnormality	Davranışsal anormallik	OFFICIAL
en	tr	HP:0000709	IAO:0000115	A condition characterized by changes of personality and thought patterns often accompanied by hallucinations and delusional beliefs	Sıklıkla halüsinasyon ve hezeyansal inançların eşlik ettiği kişilik ve düşünme şeklinin değişmesi ile karakterize bir durum	OFFICIAL
en	tr	HP:0000710	IAO:0000115	A tendency or compulsion to examine objects by mouth	Nesneleri ağız ile değerlendirmek için bir eğilim veya dayanılmaz istek	OFFICIAL
en	tr	HP:0000711	IAO:0000115	A state of unease characterized by diffuse motor activity or motion subject to limited control, nonproductive or disorganized behavior, and subjective distress	Sınırlı kontrole, üretken olmayan veya düzensiz davranışa ve öznel sıkıntıya tabi yaygın motor aktivitesi veya hareketi ile karakterize bir huzursuzluk hali	OFFICIAL
