term,term_label,layperson
http://purl.obolibrary.org/obo/HP_0002648,Abnormality of calvarial morphology,Abnormally shaped skull
http://purl.obolibrary.org/obo/HP_0004305,Involuntary movements,Involuntary muscle contractions
http://purl.obolibrary.org/obo/HP_0005632,Absent forearm,Absent forearm
http://purl.obolibrary.org/obo/HP_0200040,Epidermoid cyst,Skin cyst
http://purl.obolibrary.org/obo/HP_0009207,Fragmentation of the epiphysis of the middle phalanx of the 5th finger,Fragmentation of end part of the middle bone of the little finger
http://purl.obolibrary.org/obo/HP_0008517,Aplasia/Hypoplasia of the sacrum,Absent/small sacrum
http://purl.obolibrary.org/obo/HP_0004467,Preauricular pit,Pit in front of the ear
http://purl.obolibrary.org/obo/HP_0010604,Cyst of the eyelid,Cyst of the eyelid
http://purl.obolibrary.org/obo/HP_0003781,Excessive salivation,Watery mouth
http://purl.obolibrary.org/obo/HP_0002010,Narrow maxilla,Decreased breadth of upper jaw bones
http://purl.obolibrary.org/obo/HP_0100814,Blue nevus,Mongolian spot
http://purl.obolibrary.org/obo/HP_0000377,Abnormality of the pinna,Abnormally shaped ears
http://purl.obolibrary.org/obo/HP_0011742,Ectopic adrenal gland,Abnormal adrenal gland position
http://purl.obolibrary.org/obo/HP_0008401,Onychogryposis of toenails,Overgrowth and curving of toenails
http://purl.obolibrary.org/obo/HP_0010515,Aplasia/Hypoplasia of the thymus,Absent/underdeveloped thymus
http://purl.obolibrary.org/obo/HP_0000349,Widow's peak,Pointed hairline at front of head
http://purl.obolibrary.org/obo/HP_0010373,Bullet-shaped 4th toe phalanx,Bullet-shaped bones of the 4th toe
http://purl.obolibrary.org/obo/HP_0002133,Status epilepticus,Repeated seizures without recovery between them
http://purl.obolibrary.org/obo/HP_0002425,Anarthria,Loss of articulate speech
http://purl.obolibrary.org/obo/HP_0100386,Aplasia of the proximal phalanx of the 5th toe,Absent innermost bone of the little toe
http://purl.obolibrary.org/obo/HP_0009986,Complete duplication of the phalanges of the 5th finger,Complete duplication of the pinky finger bone
http://purl.obolibrary.org/obo/HP_0009946,Polydactyly affecting the 2nd finger,Extra index finger
http://purl.obolibrary.org/obo/HP_0009514,Bracket epiphysis of the middle phalanx of the 2nd finger,Bracket shaped end part of the middle long bone of the index finger
http://purl.obolibrary.org/obo/HP_0001622,Premature birth,Premature delivery of affected infants
http://purl.obolibrary.org/obo/HP_0001268,Mental deterioration,Mental deterioration
http://purl.obolibrary.org/obo/HP_0005272,Prominent nasolabial fold,Prominent smile lines
http://purl.obolibrary.org/obo/HP_0100085,Small epiphyses of the 5th toe,Small end part of the pinky toe bone
http://purl.obolibrary.org/obo/HP_0007362,Aplasia/Hypoplasia of the brainstem,Absent/small brainstem
http://purl.obolibrary.org/obo/HP_0000885,Broad ribs,Broad ribs
http://purl.obolibrary.org/obo/HP_0005280,Depressed nasal bridge,Flat bridge of nose
http://purl.obolibrary.org/obo/HP_0009909,Uplifted earlobe,"Lobe, uplifted"
http://purl.obolibrary.org/obo/HP_0100415,Complete duplication of the proximal phalanx of the 5th toe,Complete duplication of the innermost bone of the little toe
http://purl.obolibrary.org/obo/HP_0002003,Large forehead,Large forehead
http://purl.obolibrary.org/obo/HP_0004334,Dermal atrophy,Skin degeneration
http://purl.obolibrary.org/obo/HP_0430025,Bilateral facial palsy,Weakness of both sides of the face
http://purl.obolibrary.org/obo/HP_0002356,Writer's cramp,Writer's cramp
http://purl.obolibrary.org/obo/HP_0000369,Low-set ears,Low set ears
http://purl.obolibrary.org/obo/HP_0011323,Cleft of chin,Cleft of chin
http://purl.obolibrary.org/obo/HP_0001615,Hoarse cry,Hoarse cry
http://purl.obolibrary.org/obo/HP_0010976,B lymphocytopenia,Low B cell count
http://purl.obolibrary.org/obo/HP_0012086,Abnormal urinary color,Abnormal urine color
http://purl.obolibrary.org/obo/HP_0012619,Multiple bladder diverticula,Multiple pouches in bladder wall
http://purl.obolibrary.org/obo/HP_0011372,Aplasia of the inner ear,Absent inner ear
http://purl.obolibrary.org/obo/HP_0010281,Cleft lower lip,Cleft of the lower lip
http://purl.obolibrary.org/obo/HP_0009385,Enlarged epiphyses of the 5th finger,Enlarged end part of the pinkie finger bones
http://purl.obolibrary.org/obo/HP_0000745,Diminished motivation,Lack of motivation
http://purl.obolibrary.org/obo/HP_0031987,Diminished ability to concentrate,Poor concentration
http://purl.obolibrary.org/obo/HP_0012471,Thick vermilion border,Prominent lips
http://purl.obolibrary.org/obo/HP_0003108,Hyperglycinuria,High urine glycine levels
http://purl.obolibrary.org/obo/HP_0100087,Triangular epiphyses of the 5th toe,Triangular end part of the pinky toe bone
http://purl.obolibrary.org/obo/HP_0000157,Abnormality of the tongue,Abnormal tongue
http://purl.obolibrary.org/obo/HP_0025251,Open comedo,Blackhead
http://purl.obolibrary.org/obo/HP_0100397,Short proximal phalanx of the 5th toe,Hypoplastic/small proximal phalanx of the 5th toe
http://purl.obolibrary.org/obo/HP_0010751,Dimple chin,Indentation of chin
http://purl.obolibrary.org/obo/HP_0001181,Adducted thumb,Inward turned thumb
http://purl.obolibrary.org/obo/HP_0100087,Triangular epiphyses of the 5th toe,Triangular end part of the pinkie toe bone
http://purl.obolibrary.org/obo/HP_0008873,Disproportionate short-limb short stature,"Short limb dwarfism, disproportionate"
http://purl.obolibrary.org/obo/HP_0012211,Abnormal renal physiology,Kidney function issue
http://purl.obolibrary.org/obo/HP_0010226,Abnormality of the epiphysis of the 5th metacarpal,Abnormality of the end part of the long bone of pinkie finger
http://purl.obolibrary.org/obo/HP_0000294,Low anterior hairline,Low-set frontal hairline
http://purl.obolibrary.org/obo/HP_0002745,Oral leukoplakia,Oral white patch
http://purl.obolibrary.org/obo/HP_0025260,Stiff wrist,Stiff wrist
http://purl.obolibrary.org/obo/HP_0005272,Prominent nasolabial fold,Deep smile lines
http://purl.obolibrary.org/obo/HP_0004846,Prolonged bleeding after surgery,Excessive bleeding during surgery
http://purl.obolibrary.org/obo/HP_0005622,Broad long bones,Widened long bones
http://purl.obolibrary.org/obo/HP_0011065,Conical incisor,Shark tooth incisor
http://purl.obolibrary.org/obo/HP_0005003,Aplasia/Hypoplasia of the capital femoral epiphysis,Absent/underdeveloped end part of innermost thighbone
http://purl.obolibrary.org/obo/HP_0009997,Duplication of phalanx of hand,Duplication of finger bones
http://purl.obolibrary.org/obo/HP_0009124,Abnormal adipose tissue morphology,Abnormality of fatty tissue
http://purl.obolibrary.org/obo/HP_0012839,Distal,Outermost
http://purl.obolibrary.org/obo/HP_0009142,Duplication of bones involving the upper extremities,Duplication of bones involving the upper extremities
http://purl.obolibrary.org/obo/HP_0045074,Thin eyebrow,Thin eyebrow
http://purl.obolibrary.org/obo/HP_0011220,Prominent forehead,Prominent forehead
http://purl.obolibrary.org/obo/HP_0002217,Slow-growing hair,Slow speed of hair growth
http://purl.obolibrary.org/obo/HP_0001225,Wrist swelling,Wrist swelling
http://purl.obolibrary.org/obo/HP_0009932,Single naris,Single nostril
http://purl.obolibrary.org/obo/HP_0011354,Generalized abnormality of skin,Generalized abnormality of skin
http://purl.obolibrary.org/obo/HP_0009245,Triangular shaped distal phalanx of the 5th finger,Triangular shaped outermost pinkie finger bone
http://purl.obolibrary.org/obo/HP_0003918,Sclerotic humeral metaphysis,Stiffening of wide portion of long bone of upper arm
http://purl.obolibrary.org/obo/HP_0100433,Broad distal phalanx of the 5th toe,Wide outermost bone of the little toe
http://purl.obolibrary.org/obo/HP_0000246,Sinusitis,Sinus inflammation
http://purl.obolibrary.org/obo/HP_0002757,Recurrent fractures,Increased fractures
http://purl.obolibrary.org/obo/HP_0001308,Tongue fasciculations,Tongue twitching
http://purl.obolibrary.org/obo/HP_0001027,"Soft, doughy skin","Soft, doughy skin"
http://purl.obolibrary.org/obo/HP_0003236,Elevated serum creatine kinase,Elevated serum CPK
http://purl.obolibrary.org/obo/HP_0002107,Pneumothorax,Collapsed lung
http://purl.obolibrary.org/obo/HP_0100472,Symphalangism affecting the middle phalanx of the 5th toe,Fused middle bones of 5th toe
http://purl.obolibrary.org/obo/HP_0030028,Absent nasal cartilage,Failure of development of cartilage of nose
http://purl.obolibrary.org/obo/HP_0100066,Absent epiphyses of the 4th toe,Absent end part of the 4th toe bone
http://purl.obolibrary.org/obo/HP_0008817,Aplastic pubic bones,Absent pubic bones
http://purl.obolibrary.org/obo/HP_0003259,Elevated serum creatinine,Elevated creatinine
http://purl.obolibrary.org/obo/HP_0010798,Lip freckle,Lip freckle
http://purl.obolibrary.org/obo/HP_0010037,Aplasia of the 2nd metacarpal,Absent 2nd long bone of hand
http://purl.obolibrary.org/obo/HP_0025261,Stiff finger,Finger stiffness
http://purl.obolibrary.org/obo/HP_0001888,Lymphopenia,Decreased blood lymphocyte number
http://purl.obolibrary.org/obo/HP_0011082,Conical primary incisor,Cone shaped front baby tooth
http://purl.obolibrary.org/obo/HP_0100111,Absent epiphysis of the middle phalanx of the 2nd toe,Absent end part of the middle bone of the 2nd toe
http://purl.obolibrary.org/obo/HP_0006597,Diaphragmatic paralysis,Diaphragmatic paralysis
http://purl.obolibrary.org/obo/HP_0009130,Hand muscle atrophy,Hand muscle degeneration
http://purl.obolibrary.org/obo/HP_0100559,Lower limb asymmetry,Left and right leg differ in length or width
http://purl.obolibrary.org/obo/HP_0005101,High-frequency hearing impairment,"Hearing loss, high-frequency"
http://purl.obolibrary.org/obo/HP_0007302,Bipolar affective disorder,Bipolar disorder
http://purl.obolibrary.org/obo/HP_0100018,Nuclear cataract,Yellowish cloudy center of lens
http://purl.obolibrary.org/obo/HP_0040052,Abnormality of lower eyelashes,Abnormality of lower eyelashes
http://purl.obolibrary.org/obo/HP_0008734,Decreased testicular size,Small testes
http://purl.obolibrary.org/obo/HP_0100645,Cystocele,Dropped bladder
http://purl.obolibrary.org/obo/HP_0008383,Slow-growing nails,Slow-growing nails
http://purl.obolibrary.org/obo/HP_0001510,Growth delay,Growth delay
http://purl.obolibrary.org/obo/HP_0002643,Neonatal respiratory distress,Newborn respiratory distress
http://purl.obolibrary.org/obo/HP_0006237,Prominent interphalangeal joints,Prominent hinge joints
http://purl.obolibrary.org/obo/HP_0000769,Abnormality of the breast,Abnormality of the breast
http://purl.obolibrary.org/obo/HP_0007587,Numerous pigmented freckles,Numerous pigmented freckles
http://purl.obolibrary.org/obo/HP_0011309,Tapered toe,Tapered toe
http://purl.obolibrary.org/obo/HP_0003270,Abdominal distention,Belly bloating
http://purl.obolibrary.org/obo/HP_0005338,Sparse lateral eyebrow,Limited hair on end of eyebrow
http://purl.obolibrary.org/obo/HP_0012304,Hypoplastic aortic arch,Underdeveloped aortic arch
http://purl.obolibrary.org/obo/HP_0001344,Absent speech,Absent speech development
http://purl.obolibrary.org/obo/HP_0003738,Exercise-induced myalgia,Exercise-induced muscle pain
http://purl.obolibrary.org/obo/HP_0002315,Headache,Headache
http://purl.obolibrary.org/obo/HP_0100086,Stippling of the epiphyses of the 5th toe,Speckled calcifications in the end part of the little toe bone
http://purl.obolibrary.org/obo/HP_0009416,Ivory epiphyses of the 3rd finger,Increased bone density of end part of the middle finger bone
http://purl.obolibrary.org/obo/HP_0003089,Hamstring contractures,Hamstring contractures
http://purl.obolibrary.org/obo/HP_0005643,Short 3rd toe,Short third toe
http://purl.obolibrary.org/obo/HP_0009707,Synostosis involving the 4th metacarpal,Fusion involving the 4th long bone of hand
http://purl.obolibrary.org/obo/HP_0010281,Cleft lower lip,Cleft lower lip
http://purl.obolibrary.org/obo/HP_0000290,Abnormality of the forehead,Abnormality of the forehead
http://purl.obolibrary.org/obo/HP_0001882,Leukopenia,Low white blood cell count
http://purl.obolibrary.org/obo/HP_0010537,Wide cranial sutures,Large cranial suture
http://purl.obolibrary.org/obo/HP_0001626,Abnormality of the cardiovascular system,Abnormality of the cardiovascular system
http://purl.obolibrary.org/obo/HP_0100547,Abnormality of forebrain morphology,Abnormal shape of forebrain
http://purl.obolibrary.org/obo/HP_0100379,Aplasia of the distal phalanx of the 4th toe,Absent outermost bone of the 4th toe
http://purl.obolibrary.org/obo/HP_0100374,Aplasia/Hypoplasia of the middle phalanx of the 5th toe,Absent/underdeveloped middle bone of pinkie toe
http://purl.obolibrary.org/obo/HP_0009007,Biceps hypoplasia,Underdeveloped biceps
http://purl.obolibrary.org/obo/HP_0012583,Unilateral renal hypoplasia,Small kidney on one side
http://purl.obolibrary.org/obo/HP_0100242,Sarcoma,Cancer of connective tissue
http://purl.obolibrary.org/obo/HP_0000541,Retinal detachment,Detached retina
http://purl.obolibrary.org/obo/HP_0010829,Impaired temperature sensation,Impaired temperature sensation
http://purl.obolibrary.org/obo/HP_0002078,Truncal ataxia,Instability or lack of coordination of central trunk muscles
http://purl.obolibrary.org/obo/HP_0010806,U-Shaped upper lip vermilion,"Large, carp-shaped mouth"
http://purl.obolibrary.org/obo/HP_0001595,Abnormal hair morphology,Abnormality of the hair
http://purl.obolibrary.org/obo/HP_0200123,Chronic hepatitis,Chronic liver inflammation
http://purl.obolibrary.org/obo/HP_0011371,Recurrent viral skin infections,Recurrent viral skin infections
http://purl.obolibrary.org/obo/HP_0009058,Increased muscle lipid content,Fat accumulation in muscle fibers
http://purl.obolibrary.org/obo/HP_0009196,Absent metacarpal epiphyses,Absent end part of the long bone of hand
http://purl.obolibrary.org/obo/HP_0009564,Triangular shaped distal phalanx of the 2nd finger,Triangular shaped outermost bone of the 2nd finger
http://purl.obolibrary.org/obo/HP_0012555,Absent nail of hallux,Absent big toe nail
http://purl.obolibrary.org/obo/HP_0006028,Metaphyseal cupping of metacarpals,Cupping of wide portion of long bone of hand
http://purl.obolibrary.org/obo/HP_0000413,Atresia of the external auditory canal,Absent ear canal
http://purl.obolibrary.org/obo/HP_0011832,Narrow nasal tip,"Nasal tip, pinched"
http://purl.obolibrary.org/obo/HP_0009491,Enlarged epiphyses of the 2nd finger,Enlarged end part of the index finger
