## IMPORTANT
# THIS FILE HAS BEEN GENERATED BY THE BERLIN-HPO-TEAM (SEBASTIAN, SANDRA, PETER) IN 2009!! FREE FOR ACADEMIC USE. USE AT OWN RISK!!

Orphanet-I	Maps to HPO-ID	Type	Orphanet Name	HPO-Name	Curator Berlin	Comments Berlin	Curator Paris	Comments Paris	Method	STATISTICS

										Number unique Orphanet IDs (col B):
id_signe_15640	HP:0000768	EQUIV	Pectus carinatum	Pectus carinatum	sdoelken	# good mapping			Distance de Levenshtein	1361
										Number of unique HPO-IDs (col C):
										1157
id_signe_16330	HP:0008481	EQUIV	Odontoid hypoplasia	Mild odontoid hypoplasia	sdoelken	# good mapping			I-Sub distance	% done:
										85.01
id_signe_20040	HP:0004059	EQUIV	Radial club hand	Radial club hand	sdoelken	# good mapping			I-Sub distance




id_signe_2720	HP:0000340	EQUIV	Sloping forehead	Sloping forehead	sdoelken	# good mapping			I-Sub distance

id_signe_3120	HP:0000325	EQUIV	Triangular face	Triangular facies	sdoelken	# good mapping			I-Sub distance



id_signe_46120	HP:0002758	EQUIV	Osteoarthritis	Osteoarthritis	sdoelken	# good mapping			I-Sub distance

id_signe_6200	HP:0000574	EQUIV	Thick/bushy eyebrows	Thick eyebrows	sdoelken	# good mapping (Thick/bushy compound term but with respect to clinics probably the same meaning)			I-Sub distance

id_signe_26660	HP:0002566	EQUIV	Intestinal/gut/bowel malrotation	Intestinal malrotation	sdoelken	"# good mapping (HP term has child terms colon, small bowel etc)"			I-Sub distance

									Distance de Levenshtein
id_signe_20660	HP:0009465	EQUIV	Ulnar deviation of fingers	Ulnar deviation of fingers	sdoelken	# good mapping			I-Sub distance

id_signe_25400	HP:0001800	EQUIV	Thin/hypoplastic toenails	Hypoplastic toenails	sdoelken	# good mapping (Thin/hypoplastic compound term but with respect to clinics probably the same meaning)			I-Sub distance

id_signe_3500	HP:0000276	EQUIV	Long midface	Long face	sdoelken	do we really need a special term for long midface or does this refer to long face? 			I-Sub distance


id_signe_49120	HP:0100493		Hypoammonemia	Hypoammonemia	sdoelken	# good mapping (created new HP term)



id_signe_49260	HP:0002150	EQUIV	Hypercalciuria	Hypercalciuria	sdoelken	# good mapping			I-Sub distance



id_signe_49280	HP:0003127	EQUIV	Hypocalciuria	Hypocalciuria	sdoelken	# good mapping			I-Sub distance


id_signe_51110	HP:0100495		Mastocytosis	Mastocytosis	sdoelken	# good mapping (created new HP term)



id_signe_55100	HP:0001511		Intrauterine growth retardation	Intrauterine growth restriction	sdoelken	# good mapping (for some reason this was not picked up by the mapping-tool although Intrauterine growth retardation is a synonym of this term)


