Abasia	C0877217	HP:0002540	Inability to walk	LB	causality	Map	
Abdominal aortic aneurysm	C0162871	HP:0004953	Abdominal aortic aneurysm	SK: indirect umls mapping	checked	OK	check later
Abdominal bloating	C1291077	HP:0003270	Abdominal distention			OK	checked
Abdominal colic	C0232488	HP:0011848	Abdominal colic			OK	causality
Abdominal cramps	C0000729	HP:0003394	Muscle cramps	LB	more general term	No	different modifier
Abdominal discomfort	C0232487	HP:0002027	Abdominal pain	LB	more general term	OK	or HP:0010833                Spontaneous pain sensation or HP:0010832 abnormality in pain sensation
Abdominal distension	C0000731	HP:0003270	Abdominal distention	SK: indirect umls mapping	checked	OK	
Abdominal distension gaseous	C0235698	HP:0003270	Abdominal distention	match term synonym (Abdominal distension)	more general term	OK	
Abdominal distress	C0235295	HP:0002027	Abdominal pain			Map	
Abdominal hernia	C0178282	HP:0004299	Hernia of the abdominal wall	LB	checked	OK	
Abdominal infection	C1112209	HP:0005410	Susceptibility to bacterial and viral infections	LB	more general term	No	
Abdominal mass	C0000734	HP:0003270	Abdominal distention	SK: indirect umls mapping	causality	No	also related to HP:0002667 Nephroblastoma
Abdominal neoplasm	C0000735	HP:0007378	Neoplasm of the gastrointestinal tract			Map	
Abdominal pain	C0000737	HP:0002027	Abdominal pain	LB 	checked	OK	
Abdominal pain generalised	C0344304	HP:0002027	Abdominal pain	LB 	more general term	Map	
Abdominal pain lower	C0232495	HP:0002027	Abdominal pain	LB 	more general term	OK	
Abdominal pain upper	C0232492	HP:0002027	Abdominal pain	LB 	more general term	OK	
Abdominal strangulated hernia	C0948610	HP:0004299	Hernia of the abdominal wall	LB	more general term	No	
Abdominal symptom	C0740651	HP:0011458	HP:0011458			OK	
Abdominal tenderness	C0232498	HP:0002027	Abdominal pain			Map	
Abnormal behaviour	C0233514	HP:0000708	Behavioural/Psychiatric Abnormality	LB	checked	Map	
Abnormal eye movements NOS	C0497202	HP:0000496	Abnormality of eye movement	SK: indirect umls mapping		Map	
Abnormal involuntary movements	C0392702	HP:0004305	Involuntary muscle contractions	SK: indirect umls mapping		Map	
Abnormal labour	C0013418	HP:0001787	Abnormal delivery			Map	
Abnormal pigmentation	C1260926	HP:0001000	Abnormality of skin pigmentation	SK: indirect umls mapping		OK	
Abnormal platelets	C0151854	HP:0001872	Abnormality of thrombocytes	SK: indirect umls mapping	checked	OK	
Abortion spontaneous	C0000786	HP:0005268	Spontaneous abortion	SK: indirect umls mapping		Ok	
Abscess	C0000833	HP:0002722	Recurrent abscess formation	SK: indirect umls mapping	more general term	OK	otherwise called "abscess formation in any organ"
Abscess neck	C0702176	HP:0002722	Recurrent abscess formation	LB	more general term	Map	
Abscess periodontal	C0031085	HP:0002722	Recurrent abscess formation	LB	more general term	Map	
Abscess sterile	C0541754	HP:0002722	Recurrent abscess formation	LB	more general term	No	
Absolute neutrophil count decreased	C1168174	HP:0001875	HP:0001875			Map	
Acanthosis	C0221270	HP:0000956	Acanthosis nigricans	LB	different modifier	No	
Acanthosis nigricans	C0000889	HP:0000956	Acanthosis nigricans	SK: indirect umls mapping	checked	OK	
Ache	C0234238	HP:0003552	Muscle stiffness	SK: indirect umls mapping	more general term	Map	
Acid phosphatase high	C0151848	HP:0003148	Elevated serum acid phosphatase			Map	
Acidosis	C0001122	HP:0001941	Acidosis	SK: indirect umls mapping		OK	
Acne	C0702166	HP:0001061	Acne	SK: indirect umls mapping	checked	OK	
Acne fulminans	C0263445	HP:0001061	Acne	LB	more general term	Map	
Acne infantile	C0263437	HP:0001061	Acne	LB	more general term	Map	
Acneiform eruption	C0175167	HP:0001061	Acne	LB	more general term	Map	
Acquired haemophilia	C1096116	HP:0005542	Prolonged whole blood clotting time	LB	checked	Map	
Acquired immunodeficiency syndrome	C0001175	HP:0002721	immunodeficiency	LB	checked	No	
Acquired keratoderma	C0022581	HP:0000962	Hyperkeratosis			Map	
Acquired megacolon	C1384597	HP:0002251	Aganglionic megacolon	LB	checked	Map	
Acquired night blindness	C0152202	HP:0000662	Night blindness	LB	more general term	Map	
Acral erythema	C0239343	HP:0010783	Erythema	LB	more general term	Map	
Acrochordon	C0037293	HP:0010609	Skin tags	SK: indirect umls mapping	checked	Map	
Acrocyanosis	C0221347	HP:0001063	Acrocyanosis	SK: indirect umls mapping	checked	OK	
Actinic keratosis	C0022602	HP:0007508	Punctate palmar and solar hyperkeratosis	SK: indirect umls mapping	more general term	No	
Activated partial thromboplastin time prolonged	C0853223	HP:0003645	Prolonged partial thromboplastin time	LB	checked	Map	
Acute anaphylaxis	C0857035	HP:0100845	Anaphylactic shock	LB	causality	OK	
Acute angle-closure glaucoma	C0154946	HP:0000501	Glaucoma	LB	more general term	?	
Acute bronchitis	C0149514	HP:0002837	Recurrent bronchitis	SK: indirect umls mapping	different modifier	Map	
Acute chest pain	C0522051	HP:0001677	Coronary artery disease	LB		Map	
Acute coronary syndrome	C0948089	HP:0001677	Coronary artery disease			Map	
Acute dyspnea	C0743323	HP:0002094	Dyspnea	LB	checked	Map	or exertional? 2875
Acute exacerbation of chronic bronchitis	C0856695	HP:0002837	bronchitis	LB	checked	Map	
Acute gastroenteritis	C0267446	HP:0004386	Gastrointestinal inflammatory disorder	LB	more general term	Map	
Acute generalised exanthematous pustulosis	C0877055	HP:0200039	Skin pustule	LB	different modifier	Map	best I could find, maybe can we increase accuracy by including a group of terms related to  ever, neutrophilia, facial edema, hepatitis and eosinophilia. that are all symptomes of AGEP
Acute glaucoma	C0281773	HP:0000501	Glaucoma	LB	more general term	Map	or HP:0001087 Congenital glaucoma
Acute hepatic failure	C0162557	HP:0006554	Acute hepatic failure	SK: indirect umls mapping	checked	OK	
Acute interstitial nephritis	C0149937	HP:0004729	Acute tubulointerstitial nephritis	LB	checked	Map	
Acute interstitial pneumonitis	C1279945	HP:0006515	Interstitial pneumonitis	LB	different modifier	Map	
Acute leukaemia	C0085669	HP:0002488	Acute leukemia	SK: indirect umls mapping	checked	OK	
Acute lymphocytic leukaemia	C0023449	HP:0006721	Acute lymphatic leukemia	SK: indirect umls mapping	checked	OK	
Acute myeloid leukaemia	C0023467	HP:0004808	Acute myeloid leukemia		checked	OK	
Acute myocardial infarction	C0155626	HP:0001658	Myocardial infarction	LB	checked	OK	
Acute pain	C0184567	HP:0010833	Spontaneous pain sensation	LB	different modifier	No	
Acute prerenal failure	C1167654	HP:0004713	Renal failure, reversible	LB	checked	Map	or 1919 acute renal failure
Acute promyelocytic leukaemia	C0023487	HP:0004836	Acute promyelocytic leukemia	SK: indirect umls mapping	checked	OK	
Acute psychosis	C0281774	HP:0000709	Psychosis			Map	
Acute pulmonary oedema	C0155919	HP:0100598	Pulmonary edema	LB	checked	OK	
Acute renal insufficiency	C1565662	HP:0000083	Renal failure	LB	more general term	Map	
Acute respiratory distress syndrome	C0035222	HP:0002093	Respiratory insufficiency			Map	
Acute respiratory failure	C0264490	HP:0002093	Respiratory insufficiency	LB	different modifier	Map	
Acute sinusitis	C0149512	HP:0000255	Acute sinusitis	SK: indirect umls mapping	checked	OK	
Acute tonsillitis	C0001361	HP:0011110	tonsillitis	LB	more general term	Map	
Acute urticaria	C0234935	HP:0001025	Urticaria	LB	more general term	Map	
Adenocarcinoma	C0001418	HP:0006725	Pancreatic adenocarcinoma	LB	more general term	No	
Adenocarcinoma of prostate	C0007112	HP:0100787	Prostate neoplasia	LB	more general term	Map	
Adenoma benign	C0001430	HP:0006545	Cystic adenomatoid lung disease	SK: indirect umls mapping	causality	No	
Adenovirus infection	C0001486	HP:0004429	Recurrent viral infections	LB	more general term	Map	
Adjustment disorder	C0001546	HP:0000708	Behavioural/Psychiatric Abnormality			Map	
Adrenal cortical hypofunction	C0405580	HP:0000846	Adrenal insufficiency	SK: indirect umls mapping		Map	
Adrenal disorder	C0001621	HP:0000834	Abnormality of the adrenal glands		check later	Map	
Adrenal insufficiency	C0001623	HP:0000846	Adrenal insufficiency	LB	checked	OK	
Adrenocortical insufficiency acute	C0151467	HP:0000846	Adrenal insufficiency	LB	more general term	Map	
Affect lability	C0233472	HP:0100851	Abnormal emotion/affect behavior			Map	
Affective disorder	C0525045	HP:0100851	Abnormal emotion/affect behavior			Map	
After taste	C1291736	HP:0000223	Abnormality of taste sensation	LB	check later	No	
Aggression	C0001807	HP:0000718	Aggressive behavior	SK: indirect umls mapping	more general term	OK	
Aggressive reaction	C1457883	HP:0000718	Aggressive behavior	SK: indirect umls mapping	more general term	Map	
Agitation	C0085631	HP:0000711	Restlessness	SK: indirect umls mapping	checked	Map	
Agoraphobia	C0001818	HP:0000756	Agoraphobia	SK: indirect umls mapping	checked	OK	
Agranulocytosis	C0001824	HP:0001913	Granulocytopenia	LB	checked	Map	
AION	C1852242	HP:0007634	Nonarteritic anterior ischemic optic neuropathy	SK: indirect umls mapping	more general term	Map	
Akathisia	C0392156	HP:0000711	Restlessness	LB	check later	Map	nothing relevant
Akinesia	C0085623	HP:0002304	Akinesia	SK: indirect umls mapping	checked	OK	
