LNDB ID	LNDB Name	HPO ID	HPO Name	Mapping status	Comment
32.26.02	EMG, Anterior Horn Cell Fallout	HP:0006802	Abnormality of the anterior horn cell	Good	0
32.26.08	Small fibre studies abnormal	HP:0000759	Abnormality of the peripheral nervous system	Good	0
32.26.09	Slow motor conduction: abn. myelin	HP:0003431	Decreased motor nerve conduction velocity	Good	0
32.26.11	Motor conduction block	HP:0012078	Motor conduction block	Good	0
32.26.13	Fibrillation/increased insertional activity	HP:0010546	Muscle fibrillation	Good	0
32.26.14	Central motor conduction abnormal	HP:0012079	Abnormality of central motor conduction	Good	0
32.26.17	EP flash visual abnormal (not enlarged)	HP:0007928	Abnormal flash visual evoked potentials	Good	0
32.26.24	EP brainstem auditory abnormal (central)	HP:0006958	Abnormal auditory evoked potentials	OK	0
32.26.25	EP brainstem auditory abnormal (peripheral)	HP:0006958	Abnormal auditory evoked potentials	OK	0
32.26.26	Auditory evoked potentials abnormal (other)	HP:0006958	Abnormal auditory evoked potentials	Good	0
32.27.00	NERVE BIOPSY, general abnormalities	HP:0000759	Abnormality of the peripheral nervous system	OK	mapped to more general parent term
32.29.00	CONJUNCTIVAL  BIOPSY, general abnormalities	HP:0000502	Abnormality of the conjunctiva	Good	0
32.30.00	MUSCLE BIOPSY, general abnormalities	HP:0003011	Abnormality of the musculature	Good	0
32.30.08	Vacuoles including rimmed vacuoles	HP:0003805	Rimmed vacuoles	Good	0
32.30.09	Pyknotic nuclear clumps	HP:0004303	Abnormality of muscle fibers	?	0
32.30.22	Central cores/core-like lesions/multicores	HP:0003789	Minicore (multicore) myopathy	Good	0
32.30.25	Abnormal mitochondria (EM) - see also MITOCHONDR	HP:0008316	Abnormal mitochondria in muscle tissue	Good	0
32.31.00	NEURORADIOLOGY, general abnormalities	HP:0000707	Abnormality of the nervous system	Good	0
32.31.05	Basal ganglia lesion (for calcif see elsewhere)	HP:0002134	Abnormality of the basal ganglia	OK	0
32.31.10	Cerebellum-large	HP:0012081	Enlarged cerebellum	Good	0
32.31.21	Subdural fluid/hematoma	HP:0100309	Subdural hemorrhage	OK	0
32.34.11	Choroid plexus tumours/cysts	HP:0007376	Abnormality of the choroid plexus	OK	0
32.34.13	Hamartoma/teratoma of the brain	HP:0100006	Neoplasm of the central nervous system	OK	0
32.35.00	MICROSCOPIC CHANGES OF THE CNS, general abnorm	HP:0002011	Abnormality of the central nervous system	OK	mapped to more general parent term
32.35.15	Amyloid deposits	HP:0100256	Senile plaques	Ok	consider Cerebral amyloid angiopathy
32.35.23	Lewy or Hirano bodies	HP:0100314	Cerebral inclusion bodies	OK	Indivudal terms for Hirano & Lewy are also available
32.35.24	Pick agyrophilic inclusions	HP:0100317	Agyrophilic inclusion bodies	OK	0
32.35.29	Eosinophilic inclusions	HP:0100314	Cerebral inclusion bodies	OK	0
32.35.30	Agyrophilic grains	HP:0100317	Agyrophilic inclusion bodies	OK	0
32.35.34	Granular layer atrophy of cerebellum	HP:0012080	Cerebellar granular layer atrophy	Good	0
32.35.35	Purkinje layer atrophy of the cerebellum	HP:0012082	Cerebellar Purkinje layer atrophy	Good	0
32.35.37	Ubiquitin positive inclusions	HP:0012082	Cerebellar Purkinje layer atrophy	Good	0
34.01.25	Excessive skin folds/grooves	HP:0008067	Abnormally lax or hyperextensible skin	?	Is this different from cutis laxa?
34.02.00	Patchy skin defects, general abnormalities	HP:0000951	Abnormality of the skin	OK	0
34.02.02	Patchy aplasia/hypoplasia of skin	HP:0008065	Aplasia/Hypoplasia of the skin	OK	0
34.02.03	Skin atrophy - patchy	HP:0004334	Dermal atrophy	OK	0
04.03.02	Patchy depigmentation of hair/white forelock	HP:0002211	White forelock	OK	Compound term in LDDB
05.01.00	Forehead, prominent etc., general abnormalities	HP:0000290	Abnormality of the forehead	OK	LDD term too imprecise to be mapped (just map that to Abnormality of the forehead?)
05.02.00	Forehead, small etc., general abnormalities	HP:0000290	Abnormality of the forehead	OK	LDD term too imprecise to be mapped (just map that to Abnormality of the forehead?)
06.01.13	Rigid ears	HP:0000356	Abnormality of the outer ear	?	What does this refer to? ?  Note: a more general HPO term is used here.
06.04.02	Narrow/atretic auditory canal	HP:0000402	Stenosis of the external auditory canal	Good	Note that these two LDDB categories overlap
06.07.03	Over-folded ear helix, lop ear	HP:0000356	Abnormality of the outer ear	OK	Note: This LDD category comprises two different entities.Lop ears (HP:0000394) and Overfolded helices (HP:0000396) a more general HPO term is used here.
06.11.01	Temporal bone aplasia/dysplasia	HP:0009911	Abnormality of the temporal bone	OK	Note: LDDB description encompasses two entities, therefore, a more general HPO term is used here.
06.11.02	Cochlear/saccular abnormalities	HP:0000375	Abnormality of cochlea	OK	Note: LDDB description encompasses two entities, here just the HPO term for cochlea is used.
07.06.06	Iris atrophy/dysplasia	HP:0001089	Iris atrophy	OK	Note: term is composite
07.07.03	Size or shape of lens abnormal	HP:0000517	Abnormality of the lens	OK	Note: LDDB Term too general
07.09.00	Optic disc and nerve, general abnormalities	HP:0000587	Abnormality of the optic nerve	OK	Note: LDDB category encompasses two entities
07.10.03	Size or movement of pupil abnormal	HP:0000615	Abnormality of the pupil	OK	Note: Compound LDDB term, needs to be split int two
07.11.01	Aplasia or dysplasia of retina	HP:0000479	Abnormality of the retina	OK	Note: Composite LDDB term: Aplasia of the retina (HP:0010728) or Retinal dysplasia (HP:0007973)
07.11.05	Phakoma/pseudoglioma of retina	HP:0000479	Abnormality of the retina	OK	mapped to more general parent term. Is retinal phakoma and old designation for  retinal nodular hamartoma?
07.11.06	Retinitis pigmentosa/pig retinop/chorioretinitis	HP:0000510	Retinitis pigmentosa	OK	The LDD category encompasses at least 3 HPO terms
07.13.10	Polyopia	HP:0000651	Diplopia	OK	Since LDDB does not have a category DIPLOPIA, I assume that this was meant here?
08.00.00	EYES, ASSOCIATED STRUCTURES	HP:0000478	Abnormality of the eye	OK	general term (parent for 08.00.00 to 08.07.02)
08.02.01	Absent or sparse eyelashes	HP:0000653	Sparse eyelashes	OK	Could also be Absent eyelashes (HP:0000561)
08.04.02	Nasolacrimal duct, abnormal position	HP:0010748	Ectopic lacrimal punctum	Good	to our best knowledege the abnormal position in this case is usually refered to as position of the lacrimal punctum and not the duct as such
08.06.00	Periorbital skin, general abnormalities	HP:0000606	Abnormality of the periorbital region	OK	Not an exact synonym!
08.06.05	Sagging peri-orbital skin/blepharochalasis	HP:0010749	Blepharochalasis	OK	Composite LDDB term: Dermatochalasis (HP:0010750) and Blepharochalasis (HP:0010749)
08.06.06	Peri-orbital tumours/cysts	HP:0000606	Abnormality of the periorbital region	OK	Composite LDDB term; The closesed we have is: Cysts of the eyelid (HP:0010604)
09.01.02	Choanal atresia/stenosis	HP:0000453	Choanal atresia	OK	Composite LDDB term, there is also Choanal stenosis (HP:0000452)
09.06.06	Long nasal septum	HP:0000419	Abnormality of the nasal septum	?	A Long nasal septum is either a Long columella (HP:0009765) or due to a Long nose (HP:0003189) depending on whether a long nasal septum extends unusually low below the level of the ala nasi or not.
09.08.02	Nasal haemangioma	HP:0000329	Facial hemangioma	OK	Is there a reason not to use Facial hemangioma (HP:0000329)?
09.08.03	Nasal telangiectasia	HP:0007380	Facial telangiectasia	?	Does this mean Nasal mucosa telangiectases (HP:0000434) ? probably not exclusively as you can also have teleangiectasia of the skin of the nose which may be even more common than those affecting the nasal mucosa
09.08.04	Nasal tumours/polyps/papillomata	HP:0000462	Nasal polyps	OK	The LDD category encompasses at least 3 HPO terms
10.05.07	Tumour or cyst of the mandible	HP:0000277	Abnormality of the mandible	OK	imprecise: either tumor or cyst
11.02.02	Drooping of lower lip	HP:0000232	Everted lower lip vermilion	?	what is meant? We have Everted lower lip (HP:0000232) or Protruding lower lip (HP:0002712) or does this refer to an abnormal form/position of the mandible leading to the appearance of a ﾄdroopingﾓ lower lip?
11.03.04	Simple/absent philtrum	HP:0005326	Hypoplastic philtrum	OK	Probably Hypoplastic philtrum (HP:0005326); simple is very imprecise whereas absent is not really possible
