?sub	?label
<http://purl.obolibrary.org/obo/HP_0010876>	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0034590>	"Abnormal circulating thyroxine-binding globulin concentration"
<http://purl.obolibrary.org/obo/HP_0034591>	"Decreased circulating thyroxine-binding globulin concentration"
<http://purl.obolibrary.org/obo/HP_0031222>	"Increased circulating thyroxine-binding globulin level"
<http://purl.obolibrary.org/obo/HP_0034608>	"Decreased circulating transcobalamin II concentration"
<http://purl.obolibrary.org/obo/HP_0020179>	"Abnormal circulating haptoglobin concentration"
<http://purl.obolibrary.org/obo/HP_0020181>	"Reduced haptoglobin level"
<http://purl.obolibrary.org/obo/HP_0020180>	"Elevated haptoglobin level"
<http://purl.obolibrary.org/obo/HP_0025483>	"Abnormal circulating thyroglobulin concentration"
<http://purl.obolibrary.org/obo/HP_6000244>	"Decreased circulating thyroglobulin concentration"
<http://purl.obolibrary.org/obo/HP_0025484>	"Increased circulating thyroglobulin concentration"
<http://purl.obolibrary.org/obo/HP_6000401>	"Reduced circulating protein Z concentration"
<http://purl.obolibrary.org/obo/HP_0034603>	"Elevated circulating CA19-9 concentration"
<http://purl.obolibrary.org/obo/HP_0033305>	"Abnormal circulating fetuin A concentration"
<http://purl.obolibrary.org/obo/HP_0033307>	"Increased circulating fetuin A concentration"
<http://purl.obolibrary.org/obo/HP_0033306>	"Decreased circulating fetuin A concentration"
<http://purl.obolibrary.org/obo/HP_0002152>	"Hyperproteinemia"
<http://purl.obolibrary.org/obo/HP_0003075>	"Hypoproteinemia"
<http://purl.obolibrary.org/obo/HP_0008360>	"Neonatal hypoproteinemia"
<http://purl.obolibrary.org/obo/HP_0033103>	"Elevated circulating CHI3L1 level"
<http://purl.obolibrary.org/obo/HP_0032463>	"Reduced circulating fibronectin level"
<http://purl.obolibrary.org/obo/HP_0032304>	"Abnormal circulating mannose-binding protein concentration"
<http://purl.obolibrary.org/obo/HP_0032306>	"Increased circulating mannose-binding protein concentration"
<http://purl.obolibrary.org/obo/HP_0032305>	"Decreased circulating mannose-binding protein concentration"
<http://purl.obolibrary.org/obo/HP_0031036>	"Reduced growth-hormone binding protein level"
<http://purl.obolibrary.org/obo/HP_6000967>	"Decreased circulating transcobalamin I concentration"
<http://purl.obolibrary.org/obo/HP_0032205>	"Increased circulating galectin-3 level"
<http://purl.obolibrary.org/obo/HP_0031037>	"Reduced insulin-like factor 3 level"
<http://purl.obolibrary.org/obo/HP_0031030>	"Elevated carcinoma antigen 125 level"
<http://purl.obolibrary.org/obo/HP_0031031>	"Abnormal retinol-binding protein level"
<http://purl.obolibrary.org/obo/HP_0031032>	"Decreased retinol-binding protein level"
<http://purl.obolibrary.org/obo/HP_0003238>	"Hyperpepsinogenemia I"
<http://purl.obolibrary.org/obo/HP_0034371>	"Reduced circulating prekallikrein concentration"
<http://purl.obolibrary.org/obo/HP_0410176>	"Abnormal circulating glucose-6-phosphate dehydrogenase concentration"
<http://purl.obolibrary.org/obo/HP_0410185>	"Abnormal glucose-6-phosphate dehydrogenase level in tissue"
<http://purl.obolibrary.org/obo/HP_0410187>	"Decreased glucose-6-phosphate dehydrogenase level in tissue"
<http://purl.obolibrary.org/obo/HP_0410186>	"Increased glucose-6-phosphate dehydrogenase level in tissue"
<http://purl.obolibrary.org/obo/HP_0410184>	"Abnormal glucose-6-phosphate dehydrogenase level in red blood cells"
<http://purl.obolibrary.org/obo/HP_0410189>	"Increased glucose-6-phosphate dehydrogenase level in red blood cells"
<http://purl.obolibrary.org/obo/HP_0410188>	"Decreased glucose-6-phosphate dehydrogenase level in red blood cells"
<http://purl.obolibrary.org/obo/HP_0410183>	"Abnormal glucose-6-phosphate dehydrogenase level in leukocytes"
<http://purl.obolibrary.org/obo/HP_0410191>	"Increased glucose-6-phosphate dehydrogenase level in leukocytes"
<http://purl.obolibrary.org/obo/HP_0410190>	"Decreased glucose-6-phosphate dehydrogenase level in leukocytes"
<http://purl.obolibrary.org/obo/HP_0410180>	"Abnormal glucose-6-phosphate dehydrogenase level in dried blood spot"
<http://purl.obolibrary.org/obo/HP_0410182>	"Decreased glucose-6-phosphate dehydrogenase level in dried blood spot"
<http://purl.obolibrary.org/obo/HP_0410181>	"Increased glucose-6-phosphate dehydrogenase level in dried blood spot"
<http://purl.obolibrary.org/obo/HP_0410177>	"Abnormal glucose-6-phosphate dehydrogenase level in blood"
<http://purl.obolibrary.org/obo/HP_0410179>	"Decreased glucose-6-phosphate dehydrogenase level in blood"
<http://purl.obolibrary.org/obo/HP_0410178>	"Increased glucose-6-phosphate dehydrogenase level in blood"
<http://purl.obolibrary.org/obo/HP_0032436>	"Abnormal circulating C-reactive protein concentration"
<http://purl.obolibrary.org/obo/HP_0032437>	"Reduced circulating C-reactive protein concecntration"
<http://purl.obolibrary.org/obo/HP_0011227>	"Elevated circulating C-reactive protein concentration"
<http://purl.obolibrary.org/obo/HP_0033410>	"Elevated circulating cartilage oligomeric matrix protein concentration"
<http://purl.obolibrary.org/obo/HP_0033450>	"Abnormal circulating prealbumin concentration"
<http://purl.obolibrary.org/obo/HP_0033451>	"Increased circulating prealbumin concentration"
<http://purl.obolibrary.org/obo/HP_0031085>	"Decreased circulating prealbumin concentration"
<http://purl.obolibrary.org/obo/HP_0032025>	"Reduced circulating alpha-1-antitrypsin concentration"
<http://purl.obolibrary.org/obo/HP_0012509>	"Reduced thyroxin-binding globulin"
<http://purl.obolibrary.org/obo/HP_6000502>	"Elevated circulating calprotectin concentration"
<http://purl.obolibrary.org/obo/HP_0032094>	"Increased circulating surfactant protein level"
<http://purl.obolibrary.org/obo/HP_6000385>	"Elevated circulating soluble CD163 concentration"
<http://purl.obolibrary.org/obo/HP_0033332>	"Elevated circulating amyloid A concentration"
<http://purl.obolibrary.org/obo/HP_0032640>	"Elevated circulating CCL18 level"
<http://purl.obolibrary.org/obo/HP_0025498>	"Aceruloplasminemia"
<http://purl.obolibrary.org/obo/HP_0045056>	"Abnormal circulating alpha-fetoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0045057>	"Decreased circulating alpha-fetoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0006254>	"Elevated circulating alpha-fetoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0004639>	"Elevated amniotic fluid alpha-fetoprotein"
<http://purl.obolibrary.org/obo/HP_0032240>	"Elevated circulating E selectin level"
<http://purl.obolibrary.org/obo/HP_0031419>	"Reduced sex -hormone binding protein level"
<http://purl.obolibrary.org/obo/HP_0040133>	"Abnormal circulating ferritin concentration"
<http://purl.obolibrary.org/obo/HP_0012343>	"Decreased circulating ferritin concentration"
<http://purl.obolibrary.org/obo/HP_0003281>	"Increased circulating ferritin concentration"
<http://purl.obolibrary.org/obo/HP_6000017>	"Elevated circulating soluble FASL concentration"
<http://purl.obolibrary.org/obo/HP_6001187>	"Reduced circulating progranulin concentration"
<http://purl.obolibrary.org/obo/HP_0011021>	"Abnormal circulating enzyme concentration"
<http://purl.obolibrary.org/obo/HP_6000213>	"Elevated circulating Angiotensin-converting enzyme concentration"
<http://purl.obolibrary.org/obo/HP_0040081>	"Abnormal circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_0032234>	"Increased circulating creatine kinase MM isoform"
<http://purl.obolibrary.org/obo/HP_0032233>	"Increased circulating creatine kinase BB isoform"
<http://purl.obolibrary.org/obo/HP_0032232>	"Increased circulating creatine kinase MB isoform"
<http://purl.obolibrary.org/obo/HP_0025659>	"Decreased circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_0003236>	"Elevated circulating creatine kinase concentration"
<http://purl.obolibrary.org/obo/HP_0008180>	"Mildly elevated creatine kinase"
<http://purl.obolibrary.org/obo/HP_0008331>	"Elevated creatine kinase after exercise"
<http://purl.obolibrary.org/obo/HP_0030234>	"Highly elevated creatine kinase"
<http://purl.obolibrary.org/obo/HP_0030235>	"Extremely elevated creatine kinase"
<http://purl.obolibrary.org/obo/HP_0003333>	"Increased serum beta-hexosaminidase"
<http://purl.obolibrary.org/obo/HP_0030794>	"Abnormal circulating C-peptide concentration"
<http://purl.obolibrary.org/obo/HP_0030796>	"Increased C-peptide level"
<http://purl.obolibrary.org/obo/HP_0030795>	"Reduced C-peptide level"
<http://purl.obolibrary.org/obo/HP_0031034>	"Abnormal insulin like growth factor binding protein acid labile subunit level"
<http://purl.obolibrary.org/obo/HP_0045046>	"Reduced insulin like growth factor binding protein acid labile subunit concentration"
<http://purl.obolibrary.org/obo/HP_0034184>	"Increased insulin like growth factor binding protein acid labile subunit concentration"
<http://purl.obolibrary.org/obo/HP_0033123>	"Elevated circulating osteopontin level"
