iri,iri label,pathological entity,pathological entity label
,,NCIT:Code,"Preferred Term"
,,NCIT:C7419,"Acanthoma"
,,NCIT:C3173,""Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive""
,,NCIT:C45929,"Acidophil Stem Cell Pituitary Gland Adenoma"
,,NCIT:C3768,"Acinar Cell Carcinoma"
,,NCIT:C5649,"Acinar Lung Adenocarcinoma"
,,NCIT:C40367,"Acinic Cell Breast Carcinoma"
,,NCIT:C27018,"Acquired Hemangioma"
,,NCIT:C7462,"ACTH-Producing Pituitary Gland Adenoma"
,,NCIT:C5964,"ACTH-Producing Pituitary Gland Carcinoma"
,,NCIT:C3148,"Actinic (Solar) Keratosis"
,,NCIT:C36081,"Activated B-Cell-Like Diffuse Large B-Cell Lymphoma"
,,NCIT:C3164,"Acute Basophilic Leukemia"
,,NCIT:C6923,"Acute Bilineal Leukemia"
,,NCIT:C4673,"Acute Biphenotypic Leukemia"
,,NCIT:C8923,"Acute Erythroid Leukemia"
,,NCIT:C7464,"Acute Leukemia of Ambiguous Lineage"
,,NCIT:C3167,"Acute Lymphoblastic Leukemia"
,,NCIT:C121973,"Acute Lymphoblastic Leukemia by Gene Expression Profile"
,,NCIT:C121978,"Acute Lymphoblastic Leukemia by ROSE Cluster"
,,NCIT:C3170,"Acute Megakaryoblastic Leukemia"
,,NCIT:C7318,"Acute Monoblastic and Monocytic Leukemia"
,,NCIT:C7171,"Acute Monoblastic Leukemia"
,,NCIT:C4861,"Acute Monocytic Leukemia"
,,NCIT:C3171,"Acute Myeloid Leukemia"
,,NCIT:C82427,"Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1"
,,NCIT:C4037,"Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome"
,,NCIT:C27753,"Acute Myeloid Leukemia Not Otherwise Specified"
,,NCIT:C36055,"Acute Myeloid Leukemia with a Variant RARA Translocation"
,,NCIT:C82430,"Acute Myeloid Leukemia with Gene Mutations"
,,NCIT:C9287,"Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11"
,,NCIT:C9018,"Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11"
,,NCIT:C82426,"Acute Myeloid Leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1"
,,NCIT:C122716,"Acute Myeloid Leukemia with inv(3)(q21q26.2); RPN1-EVI1"
,,NCIT:C3250,"Acute Myeloid Leukemia with Maturation"
,,NCIT:C8460,"Acute Myeloid Leukemia with Minimal Differentiation"
,,NCIT:C9289,"Acute Myeloid Leukemia with Multilineage Dysplasia"
,,NCIT:C82433,"Acute Myeloid Leukemia with Mutated CEBPA"
,,NCIT:C82431,"Acute Myeloid Leukemia with Mutated NPM1"
,,NCIT:C7600,"Acute Myeloid Leukemia with Myelodysplasia-Related Changes"
,,NCIT:C7175,"Acute Myeloid Leukemia with Recurrent Genetic Abnormalities"
,,NCIT:C36058,"Acute Myeloid Leukemia with t(11;17)(q13;q21)"
,,NCIT:C36056,"Acute Myeloid Leukemia with t(11;17)(q23;q21)"
,,NCIT:C9019,"Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11"
,,NCIT:C38377,"Acute Myeloid Leukemia with t(17;17)(q21;q21)"
,,NCIT:C122717,"Acute Myeloid Leukemia with t(3;3)(q21;q26.2); RPN1-EVI1"
,,NCIT:C36057,"Acute Myeloid Leukemia with t(5;17)(q35;q21)"
,,NCIT:C82423,"Acute Myeloid Leukemia with t(6;9)(p23;q34); DEK-NUP214"
,,NCIT:C122690,"Acute Myeloid Leukemia with t(7;12)(q36;p13); HLXB9-ETV6"
,,NCIT:C9288,"Acute Myeloid Leukemia with t(8;21)(q22;q22); RUNX1-RUNX1T1"
,,NCIT:C82403,"Acute Myeloid Leukemia with t(9;11)(p22;q23); MLLT3-MLL"
,,NCIT:C6924,"Acute Myeloid Leukemia with Variant MLL Translocations"
,,NCIT:C3249,"Acute Myeloid Leukemia without Maturation"
,,NCIT:C7463,"Acute Myelomonocytic Leukemia"
,,NCIT:C9020,"Acute Myelomonocytic Leukemia with Abnormal Eosinophils"
,,NCIT:C42779,"Acute Myelomonocytic Leukemia without Abnormal Eosinophils"
,,NCIT:C4344,"Acute Panmyelosis with Myelofibrosis"
,,NCIT:C3182,"Acute Promyelocytic Leukemia with t(15;17)(q22;q12); PML-RARA"
