Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C7419	Acanthoma		A benign skin neoplasm composed of epithelial cells.	Benign
C3173	"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive"	Accelerated Phase CML|Accelerated Phase Chronic Granulocytic Leukemia|Accelerated Phase Chronic Myelocytic Leukemia|Accelerated Phase Chronic Myelogenous Leukemia|Accelerated Phase Chronic Myeloid Leukemia|Aggressive-Phase CML|Aggressive-Phase Chronic Myelocytic Leukemia|Aggressive-Phase Chronic Myelogenous Leukemia|Aggressive-Phase Chronic Myeloid Leukemia	"A phase of chronic myelogenous leukemia characterized by one or more of the following: 1) Myeloblasts accounting for 10-19% of the peripheral blood white cells or of the nucleated cells in the bone marrow, 2) peripheral blood basophils at least 20%, 3) persistent thrombocytopenia that is unrelated to therapy, 4) persistent thrombocytosis despite adequate therapy, 5) increasing white blood cell count and increasing spleen size unresponsive to therapy, and/or evidence of clonal evolution. (WHO, 2001)"	Malignant
C45929	Acidophil Stem Cell Pituitary Gland Adenoma	Acidophil Stem Cell Adenoma	"An infrequent pituitary gland adenoma composed of cells showing immunoreactivity for prolactin and less often growth hormone.  Electron microscopic studies reveal giant mitochondria, a finding not present in any other type of pituitary gland adenomas."	Benign
C3768	Acinar Cell Carcinoma	Acinar Adenocarcinoma|Acinar Carcinoma|Acinar Cell Adenocarcinoma|Acinar Cell Carcinoma|Acinic Cell Adenocarcinoma|Acinic Cell Carcinoma	A malignant glandular epithelial neoplasm consisting of secretory cells forming acinar patterns. Representative examples include the acinar cell carcinoma of the pancreas and the acinar adenocarcinoma of the prostate gland.	Malignant
C5649	Acinar Lung Adenocarcinoma	Acinar Adenocarcinoma of Lung|Acinar Adenocarcinoma of the Lung	A morphologic variant of lung adenocarcinoma characterized by the presence of acinar structures composed of columnar or cuboidal cells. (NCI05)	Malignant
C40367	Acinic Cell Breast Carcinoma		A breast adenocarcinoma characterized by the presence of serous (acinic cell) differentiation.	Malignant
C27018	Acquired Hemangioma		A hemangioma that is not present at birth but develops later in life.	Benign
C7462	ACTH-Producing Pituitary Gland Adenoma	ACTH Producing Pituitary Gland Adenoma|ACTH Secreting Adenoma of Pituitary|ACTH Secreting Adenoma of the Pituitary|ACTH-Secreting Adenoma of Pituitary Gland|ACTH-Secreting Adenoma of Pituitary|ACTH-Secreting Adenoma of the Pituitary Gland|ACTH-Secreting Adenoma of the Pituitary|ACTHoma|Adrenocorticotropin Producing Adenoma of Pituitary Gland|Adrenocorticotropin Producing Adenoma of Pituitary|Adrenocorticotropin Producing Adenoma of the Pituitary Gland|Adrenocorticotropin Producing Adenoma of the Pituitary|Adrenocorticotropin Producing Pituitary Adenoma|Adrenocorticotropin Producing Pituitary Gland Adenoma|Adrenocorticotropin Secreting Adenoma of Pituitary Gland|Adrenocorticotropin Secreting Adenoma of Pituitary|Adrenocorticotropin Secreting Adenoma of the Pituitary Gland|Adrenocorticotropin Secreting Adenoma of the Pituitary|Adrenocorticotropin Secreting Pituitary Adenoma|Adrenocorticotropin Secreting Pituitary Gland Adenoma|Corticotroph Adenoma|Corticotropin Secreting Adenoma of the Pituitary|Corticotropin Secreting Pituitary Gland Adenoma|Corticotropinoma|Pituitary ACTH Secreting Adenoma|Pituitary ACTH-Secreting Adenoma|Pituitary Corticotropin Secreting Adenoma|Pituitary Gland ACTH-Secreting Adenoma	"An adenoma of the pituitary gland that produces corticotropin.  The vast majority of cases are associated with Cushing disease.  Clinical manifestations include truncal obesity with thin extremities, thinning of the skin, osteoporosis, and a tendency to bruise easily.  Silent or hormonally non-functioning ACTH producing adenomas have also been described.  They produce symptoms of a mass-related lesion."	Benign
C5964	ACTH-Producing Pituitary Gland Carcinoma	ACTH Producing Pituitary Gland Carcinoma|Malignant ACTH Producing Neoplasm of Pituitary Gland|Malignant ACTH Producing Neoplasm of Pituitary|Malignant ACTH Producing Neoplasm of the Pituitary Gland|Malignant ACTH Producing Neoplasm of the Pituitary|Malignant ACTH Producing Pituitary Gland Neoplasm|Malignant ACTH Producing Pituitary Gland Tumor|Malignant ACTH Producing Pituitary Neoplasm|Malignant ACTH Producing Pituitary Tumor|Malignant ACTH Producing Tumor of Pituitary Gland|Malignant ACTH Producing Tumor of Pituitary|Malignant ACTH Producing Tumor of the Pituitary Gland|Malignant ACTH Producing Tumor of the Pituitary|Malignant ACTH Secreting Neoplasm of Pituitary Gland|Malignant ACTH Secreting Neoplasm of Pituitary|Malignant ACTH Secreting Neoplasm of the Pituitary Gland|Malignant ACTH Secreting Neoplasm of the Pituitary|Malignant ACTH Secreting Pituitary Gland Tumor|Malignant ACTH Secreting Pituitary Neoplasm|Malignant ACTH Secreting Pituitary Tumor|Malignant ACTH Secreting Tumor of Pituitary Gland|Malignant ACTH Secreting Tumor of Pituitary|Malignant ACTH Secreting Tumor of the Pituitary Gland|Malignant ACTH Secreting Tumor of the Pituitary|Malignant Adrenocorticotropin Producing Neoplasm of Pituitary Gland|Malignant Adrenocorticotropin Producing Neoplasm of Pituitary|Malignant Adrenocorticotropin Producing Neoplasm of the Pituitary Gland|Malignant Adrenocorticotropin Producing Neoplasm of the Pituitary|Malignant Adrenocorticotropin Producing Pituitary Gland Neoplasm|Malignant Adrenocorticotropin Producing Pituitary Gland Tumor|Malignant Adrenocorticotropin Producing Pituitary Neoplasm|Malignant Adrenocorticotropin Producing Pituitary Tumor|Malignant Adrenocorticotropin Producing Tumor of Pituitary Gland|Malignant Adrenocorticotropin Producing Tumor of Pituitary|Malignant Adrenocorticotropin Producing Tumor of the Pituitary Gland|Malignant Adrenocorticotropin Producing Tumor of the Pituitary|Malignant Adrenocorticotropin Secreting Pituitary Gland Neoplasm|Malignant Adrenocorticotropin Secreting Pituitary Gland Tumor|Malignant Adrenocorticotropin Secreting Pituitary Neoplasm|Malignant Adrenocorticotropin Secreting Pituitary Tumor|Malignant Corticotropin Secreting Pituitary Gland Neoplasm|Malignant Corticotropinoma of Pituitary Gland|Malignant Corticotropinoma of Pituitary|Malignant Corticotropinoma of the Pituitary Gland|Malignant Corticotropinoma of the Pituitary|Malignant Pituitary Corticotropinoma|Malignant Pituitary Gland Corticotropinoma	"A rare, hormonally functioning or non-functioning pituitary gland adenocarcinoma that produces corticotropin.  It may be associated with Cushing disease."	Malignant
C3148	Actinic (Solar) Keratosis	Actinic Keratosis|Solar Keratosis	"A precancerous lesion of the skin composed of atypical keratinocytes.  It is characterized by the presence of thick, scaly patches of skin.  Several histologic variants have been described, including atrophic, acantholytic, and hyperkeratotic variants."	Undetermined
