defined_class	fractured	fractured_label	anatomical_entity	anatomical_entity_label	test
HP:0041053	PATO:0040034	fractured	UBERON:0000033	head	e
HP:0041054	PATO:0040034	fractured	UBERON:0000915	thoracic segment of trunk	e
HP:0041055	PATO:0040034	fractured	UBERON:0000976	humerus	e
HP:0041061	PATO:0040034	fractured	UBERON:0001450	calcaneus	e
HP:0041064	PATO:0040034	fractured	UBERON:0001465	knee	e
HP:0041073	PATO:0040034	fractured	UBERON:0002347	thoracic vertebra	e
HP:0041082	PATO:0040034	fractured	UBERON:0003129	skull	e
HP:0041083	PATO:0040034	fractured	UBERON:0003221	phalanx	e
HP:0041114	PATO:0040034	fractured	UBERON:0006865	metaphysis of femur	e
HP:0041115	PATO:0040034	fractured	UBERON:0008255	right clavicle	e
HP:0041116	PATO:0040034	fractured	UBERON:0008256	left clavicle	e
HP:0041117	PATO:0040034	fractured	UBERON:0008784	lower limb segment	e
HP:0041118	PATO:0040034	fractured	UBERON:0008785	upper limb segment	e
HP:0041119	PATO:0040034	fractured	UBERON:0010544	metacarpus skeleton	e
HP:0041121	PATO:0040034	fractured	UBERON:0011104	epiphysis of fifth metacarpal bone	e
HP:0041143	PATO:0040034	fractured	UBERON:0000979	tibia	e
HP:0041144	PATO:0040034	fractured	UBERON:0001105	clavicle bone	e
HP:0041145	PATO:0040034	fractured	UBERON:0001269	acetabular part of hip bone	e
HP:0041146	PATO:0040034	fractured	UBERON:0001350	coccyx	e
HP:0041147	PATO:0040034	fractured	UBERON:0001437	epiphysis	e
HP:0041149	PATO:0040034	fractured	UBERON:0001451	navicular bone of pes	e
HP:0041150	PATO:0040034	fractured	UBERON:0001455	cuboid bone	e
HP:0041152	PATO:0040034	fractured	UBERON:0001469	sternoclavicular joint	e
HP:0041153	PATO:0040034	fractured	UBERON:0001488	ankle joint	e
HP:0041154	PATO:0040034	fractured	UBERON:0001490	elbow joint	e
HP:0041155	PATO:0040034	fractured	UBERON:0001684	mandible	e
HP:0041156	PATO:0040034	fractured	UBERON:0001697	orbit of skull	e
HP:0041157	PATO:0040034	fractured	UBERON:0001737	larynx	e
HP:0041158	PATO:0040034	fractured	UBERON:0002100	trunk	e
HP:0041159	PATO:0040034	fractured	UBERON:0002228	rib	e
HP:0041161	PATO:0040034	fractured	UBERON:0002355	pelvic region of trunk	e
HP:0041162	PATO:0040034	fractured	UBERON:0002387	pes	e
HP:0041163	PATO:0040034	fractured	UBERON:0002389	manual digit	e
HP:0041164	PATO:0040034	fractured	UBERON:0002395	talus	e
HP:0041165	PATO:0040034	fractured	UBERON:0002397	maxilla	e
HP:0041166	PATO:0040034	fractured	UBERON:0002412	vertebra	e
HP:0041167	PATO:0040034	fractured	UBERON:0002413	cervical vertebra	e
HP:0041168	PATO:0040034	fractured	UBERON:0002414	lumbar vertebra	e
HP:0041172	PATO:0040034	fractured	UBERON:0003690	fused sacrum	e
HP:0041173	PATO:0040034	fractured	UBERON:0003695	metacarpophalangeal joint	e
HP:0041174	PATO:0040034	fractured	UBERON:0003865	distal phalanx of manus	e
HP:0041175	PATO:0040034	fractured	UBERON:0003866	middle phalanx of pes	e
HP:0041176	PATO:0040034	fractured	UBERON:0004311	distal phalanx of manual digit 2	e
HP:0041177	PATO:0040034	fractured	UBERON:0004312	distal phalanx of manual digit 3	e
HP:0041178	PATO:0040034	fractured	UBERON:0004313	distal phalanx of manual digit 4	e
HP:0041179	PATO:0040034	fractured	UBERON:0004314	distal phalanx of manual digit 5	e
HP:0041180	PATO:0040034	fractured	UBERON:0004315	distal phalanx of pedal digit 1	e
HP:0041181	PATO:0040034	fractured	UBERON:0004317	distal phalanx of pedal digit 3	e
HP:0041182	PATO:0040034	fractured	UBERON:0004320	middle phalanx of manual digit 2	e
HP:0041183	PATO:0040034	fractured	UBERON:0004321	middle phalanx of manual digit 3	e
HP:0041184	PATO:0040034	fractured	UBERON:0004322	middle phalanx of manual digit 4	e
HP:0041185	PATO:0040034	fractured	UBERON:0004323	middle phalanx of manual digit 5	e
HP:0041186	PATO:0040034	fractured	UBERON:0004325	middle phalanx of pedal digit 3	e
HP:0041187	PATO:0040034	fractured	UBERON:0004332	proximal phalanx of pedal digit 1	e
HP:0041188	PATO:0040034	fractured	UBERON:0004338	proximal phalanx of manual digit 1	e
HP:0041189	PATO:0040034	fractured	UBERON:0004384	epiphysis of femur	e
HP:0041190	PATO:0040034	fractured	UBERON:0004392	epiphysis of second metacarpal bone	e
HP:0041191	PATO:0040034	fractured	UBERON:0004393	epiphysis of third metacarpal bone	e
HP:0041192	PATO:0040034	fractured	UBERON:0004394	epiphysis of fourth metacarpal bone	e
HP:0041193	PATO:0040034	fractured	UBERON:0004395	epiphysis of first metatarsal bone	e
HP:0041194	PATO:0040034	fractured	UBERON:0004396	epiphysis of second metatarsal bone	e
HP:0041195	PATO:0040034	fractured	UBERON:0004397	epiphysis of third metatarsal bone	e
HP:0041196	PATO:0040034	fractured	UBERON:0004407	distal epiphysis of radius	e
HP:0041197	PATO:0040034	fractured	UBERON:0004422	proximal epiphysis of first metacarpal bone	e
HP:0041198	PATO:0040034	fractured	UBERON:0004437	proximal epiphysis of middle phalanx of manual digit 3	e
HP:0041199	PATO:0040034	fractured	UBERON:0006658	interphalangeal joint	e
HP:0041200	PATO:0040034	fractured	UBERON:0006805	sternal end of clavicle	e
HP:0041209	PATO:0040034	fractured	UBERON:0011978	epiphysis of middle phalanx of manus	e
HP:0041210	PATO:0040034	fractured	UBERON:0012291	lateral malleolus of fibula	e
HP:0041211	PATO:0040034	fractured	UBERON:0014502	proximal phalanx of digit 2	e
HP:0041212	PATO:0040034	fractured	UBERON:0014503	proximal phalanx of digit 3	e
HP:0041213	PATO:0040034	fractured	UBERON:0014504	proximal phalanx of digit 4	e
HP:0041214	PATO:0040034	fractured	UBERON:0014505	proximal phalanx of digit 5	e
HP:0041215	PATO:0040034	fractured	UBERON:0014763	fused metatarsal bones 2-4	e
HP:0041216	PATO:0040034	fractured	UBERON:0014881	distal epiphysis of distal phalanx of manual digit 1	e
HP:0041217	PATO:0040034	fractured	UBERON:0016884	shoulder joint	e
HP:0041218	PATO:0040034	fractured	UBERON:0004300	distal phalanx	e
HP:0041219	PATO:0040034	fractured	UBERON:0001461	elbow	e
HP:0041220	PATO:0040034	fractured	UBERON:0003462	facial bone	e
HP:0041221	PATO:0040034	fractured	UBERON:0006767	head of femur	e
HP:0041222	PATO:0040034	fractured	UBERON:0001446	fibula	e
HP:0041223	PATO:0040034	fractured	UBERON:0003654	metatarsal bone of digit 5	e
HP:0041224	PATO:0040034	fractured	UBERON:0004249	manual digit bone	e
HP:0041225	PATO:0040034	fractured	UBERON:0003645	metacarpal bone of digit 1 	e
HP:0041226	PATO:0040034	fractured	UBERON:0010721	distal tarsal bone	e
HP:0041227	PATO:0040034	fractured	UBERON:0001453 	distal tarsal bone 2	e
HP:0041228	PATO:0040034	fractured	UBERON:0001454	distal tarsal bone 3	e
HP:0041230	PATO:0040034	fractured	UBERON:0003653	metatarsal bone of digit 4	e
HP:0041231	PATO:0040034	fractured	UBERON:0003650 	metatarsal bone of digit 1	e
HP:0041232	PATO:0040034	fractured	UBERON:0010688	skeleton of manual acropodium	e
HP:0041233	PATO:0040034	fractured	 UBERON:0001273	ilium	e
HP:0041234	PATO:0040034	fractured	UBERON:0012360	bone of jaw	e
HP:0041235	PATO:0040034	fractured	UBERON:0003464	hindlimb bone	e
HP:0041236	PATO:0040034	fractured	UBERON:0003864	middle phalanx of manus 	e
HP:0041237	PATO:0040034	fractured	UBERON:0002446	patella	e
HP:0041239	PATO:0040034	fractured	UBERON:0003620	manual digit 1 phalanx 	e
HP:0041240	PATO:0040034	fractured	UBERON:0001449	phalanx of pes	e
HP:0041241	PATO:0040034	fractured	UBERON:0001436	phalanx of manus	e
HP:0041243	PATO:0040034	fractured	UBERON:0002234	proximal phalanx of manus	e
HP:0041244	PATO:0040034	fractured	UBERON:0006849	scapula	e
HP:0041245	PATO:0040034	fractured	UBERON:0003461	shoulder bone	e
HP:0041246	PATO:0040034	fractured	UBERON:0000975	sternum	e
HP:0041247	PATO:0040034	fractured	UBERON:0001447	tarsal bone	e
HP:0041248	PATO:0040034	fractured	UBERON:0001435	carpal bone	e
HP:0041249	PATO:0040034	fractured	UBERON:0000004	nose	e
