?entity	?entity_label	?definition	?definition_sources	?parents	?synonyms	?comment
<http://purl.obolibrary.org/obo/HP_0100654>	"Retrobulbar optic neuritis"	"Optic neuritis that occurs in the section of the optic nerve located behind the eyeball."	"https://orcid.org/0009-0006-4530-3154"	"Optic neuritis (HP:0100653)"	"Retrobulbar neuritis"	
<http://purl.obolibrary.org/obo/HP_0007667>	"Peripheral cystoid retinal degeneration"	"Degenerative changes of the peripheral retina consisting of close-packed tiny cystic spaces at the outer plexiform/inner nuclear retinal level. The degeneration is very common in adult eyes and starts adjacent to the ora serrata and extends circumferentially and posteriorly."	"https://orcid.org/0000-0003-0986-4123"	"Peripheral retinal degeneration (HP:0007769)"	"Peripheral cystoid degeneration, Cystic retinal degeneration"	
<http://purl.obolibrary.org/obo/HP_0001095>	"Hypertensive retinopathy"			"Abnormal retinal vascular morphology (HP:0008046)"		
<http://purl.obolibrary.org/obo/HP_0030642>	"Fundus albipunctatus"			"Congenital stationary night blindness with abnormal fundus (HP:0030639), Retinal flecks (HP:0012045)"		
<http://purl.obolibrary.org/obo/HP_0030666>	"Retinal neovascularization"	"In wound repair, neovascularization (NV) involves the sprouting of new vessels from pre-existent vessels to repair or replace damaged vessels. In the retina, NV is a response to ischemia. The NV adheres to the inner surface of the retina and outer surface of the vitreous. NV are deficient in tight junctions and hence leak plasma into surrounding tissue including the vitreous. Plasma causes the vitreous gel to degenerate, contract, and eventually collapse which pulls on the retina. Since retinal NV is adherent to both retina and vitreous, as the vitreous contracts the NV may be sheared resulting in vitreous hemorrhage or the NV may remain intact and pull the retina with the vitreous resulting in retinal elevation referred to as traction retinal detachment."	"PMID:23329331"	"Abnormal retinal vascular morphology (HP:0008046)"	"Retinal neovascularisation"	"When traction retinal detachment involves the macula, which is responsible for reading and driving vision, severe visual loss occurs."
<http://purl.obolibrary.org/obo/HP_0011505>	"Cystoid macular edema"	"Cystoid macular edema (CME) is any type of macular edema that involves cyst formation."	"HPO_CONTRIBUTOR:DDD_ncarter"	"Macular edema (HP:0040049)"	"Cystoid macular edema"	"CME can occur with Irvine-Gass syndrome and other disorders."
<http://purl.obolibrary.org/obo/HP_0031530>	"Multifocal subretinal deposits"	"Deposits accumulating between the outer retina and the retinal pigment epithelium and that are distributed with multiple foci."		"Subretinal deposits (HP:0031528)"		
<http://purl.obolibrary.org/obo/HP_0500054>	"Retinopathy of prematurity stage 4a"	"A detachment that involves the peripheral retina that does not extend into the macula."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity stage 4 (HP:0500053)"	"ROP stage 4a"	
<http://purl.obolibrary.org/obo/HP_0008043>	"Retinal arteriolar constriction"	"Decreased retinal arteriolar diameters, which may decrease blood flow and slow oxygen delivery to regions of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal artery morphology (HP:0000630)"	"Narrow retinal arterioles, Constricted retinal arterioles, Retinal arteriolar narrowing"	"Usually after the first branch, the retinal arteries contain no elastic fibers and the term retinal arteriole is more appropriate. The main changes seen in diseases such as hypertension affect mainly the retinal arterioles rather than the retinal artery."
<http://purl.obolibrary.org/obo/HP_0032027>	"Retinal dots"	"Yellow, white or grayish lesions in the retina that are well-defined/distinct, individual and mostly uniform in size."	"https://orcid.org/0000-0003-0986-4123"	"Yellow/white lesions of the retina (HP:0030506)"		
<http://purl.obolibrary.org/obo/HP_0500061>	"Retinopathy of prematurity zone III"	"Retinopathy which is a residual crescent of retina anterior to zone II."	"PMID:16009843, ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP zone III"	
