?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0003533>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced acetaldehyde dehydrogenase level"	"Reduced acetaldehyde dehydrogenase activity"	"Snížená aktivita acetaldehyddehydrogenázy"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030130>	<http://www.w3.org/2000/01/rdf-schema#label>	"Impaired von Willebrand factor collagen binding activity"	"Impaired von Willibrand factor collagen binding activity"	"Zhoršená schopnost von Willebrandova faktoru vázat kolagen"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012116>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating albumin concentration"	"Abnormal albumin level"	"Abnormální hladina albuminu"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030132>	<http://www.w3.org/2000/01/rdf-schema#label>	"Absence of large von Willebrand factor multimers"	"Absence of large von Willibrand factor multimers"	"Nepřítomnost velkých multimerů von Willebrandova faktoru"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030135>	<http://www.w3.org/2000/01/rdf-schema#label>	"Absence of intermediate von Willebrand factor multimers"	"Absence of intermediate von Willibrand factor multimers"	"Nepřítomnost středních multimerů von Willibrandova faktoru"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011309>	<http://purl.obolibrary.org/obo/IAO_0000115>	"The gradual reduction in girth of the toe from proximal to distal."	"The gradual reduction in girth of the toe from proximal to distal"	"Postupné zúžení obvodu prstu na noze směrem od proximálního konce k distálnímu"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005733>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An abnormal narrowing of the spinal canal related to a reduction in the interpedicular distance (i.e., the distance measured between the pedicles on frontal [coronal] imaging)."	"An abnormal narrowing of the spinal canal related to a reduction in the interpedicular distance (i.e., the distance measured between the pedicles on frontal [coronal] imaging)"	"Abnormální zúžení páteřního kanálu v souvislosti se zmenšením interpedikulární vzdálenosti (t.j. vzdálenosti mezi pedikulami ve frontálním zobrazení)"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008750>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Congenital absence of the lumen of the larynx. Laryngeal atresia is a rare condition. If the laryngeal opening fails to develop, fluid secreted by the lungs cannot be expelled. In a fetus with laryngeal atresia, the lungs are either normal or hyperplastic, not hypoplastic. Mortality is reported as 100%. At obstetric US examination, views of the fetal neck demonstrate a dilated trachea filled with trapped fluid. Views of the fetal chest show enlarged, hyperechoic lungs, with dilated fluid-filled bronchi. Fetal ascites is usually present."	"Congenital absence of the lumen of the larynx"	"Vrozená absence lumen hrtanu"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001182>	<http://purl.obolibrary.org/obo/IAO_0000115>	"The gradual reduction in girth of the finger from proximal to distal."	"The gradual reduction in girth of the finger from proximal to distal"	"Postupné zúžení obvodu prstu na ruce směrem od proximálního konce k distálnímu"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004993>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Reduced diameter of a long bone with a more pronounced reduction of the diameter of the diaphysis of the long bones."	"Reduced diameter of a long bone with a more pronounced reduction of the diameter of the diaphysis of the long bones"	"Zúžení dlouhé kostí s více vyjádřeným zmenšením průměru diafýzy dlouhých kostí"@cs	"OFFICIAL"
