?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0011446>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormality of mental function"	"Abnormality of higher mental function"	"高次精神機能の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010663>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal thalamus morphology"	"Abnormality of thalamus morphology"	"視床形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008376>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nasal dysarthria"	"Nasal, dysarthic speech"	"鼻声の構音障害性発語"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002991>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal fibula morphology"	"Abnormality of fibula morphology"	"腓骨の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040110>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal saccule morphology"	"Morphological abnormality of the saccule"	"仙骨の形態学的異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030955>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive alcohol use"	"Alcoholism"	"アルコール中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025033>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal digestive system morphology"@en	"Abnormality of digestive system morphology"	"消化器系の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002062>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal pyramidal tract morphology"	"Morphological abnormality of the pyramidal tract"	"錐体路の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012071>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating acylcarnitine concentration"	"Abnormal circulating acetylcarnitine concentration"	"アセチルカルニチン代謝の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004362>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal enteric ganglion morphology"	"Abnormality of enteric ganglion morphology"	"腸神経節の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010524>	<http://www.w3.org/2000/01/rdf-schema#label>	"Disturbed sensory perception"	"Agnosia"	"認知不能"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033519>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive methamphetamine use"	"Methamphetamine addiction"	"覚せい剤中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0041063>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chronic decreased circulating IgG2"	"Chronic decreased cirulating IgG2"	"慢性循環性IgG2減少症"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011732>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal adrenal morphology"	"Abnormality of adrenal morphology"	"副腎形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004905>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced circulating vitamin A concentration"	"Low levels of vitamin A"	"ビタミンA欠乏症"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0500162>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating carnosine concentration"	"Decreased level of carnosine in blood"	"血中カルノシン濃度の低下"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034725>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating beta-mannosidase activity"	"Abnormal beta-mannosidase activity"	"β-マンノシダーゼ活性異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011121>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal skin morphology"	"Abnormality of skin morphology"	"皮膚形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025057>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal olfactory lobe morphology"@en	"Abnormality of olfactory lobe morphology"	"嗅葉形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025029>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal enteric neuron morphology"@en	"Abnormality of enteric neuron morphology"	"腸神経細胞の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0500161>	<http://www.w3.org/2000/01/rdf-schema#label>	"Increased circulating carnosine concentration"	"Increased level of carnosine in blood"	"血中カルノシン濃度の上昇"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025445>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal papillary muscle morphology"@en	"Morphological abnormality of the papillary muscles"	"乳頭筋の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100734>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal vertebral epiphysis morphology"	"Abnormality of vertebral epiphysis morphology"	"脊椎骨端の異常"@ja	"OFFICIAL"
