?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0040147>	"L-2-hydroxyglutaric acidemia"		"Dicarboxylic acidemia"
<http://purl.obolibrary.org/obo/HP_0410179>	"Decreased glucose-6-phosphate dehydrogenase level in blood"	"A decrease in the level of glucose-6-phosphate dehydrogenase in the blood."	"Abnormal glucose-6-phosphate dehydrogenase level in blood"
<http://purl.obolibrary.org/obo/HP_6000292>	"Elevated tissue sphingomyelin concentration"	"Concentration of sphoingomyelin in tissues above the upper limit of normal."	"Abnormal muscle tissue metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0410247>	"Increased anti-animal dander IgE antibody level"	"Increased level of IgE antibody against animal dander, tiny scales shed from animal skin or hair, such as from pet dogs or cats."	"Increased anti-animal protein IgE antibody level"
<http://purl.obolibrary.org/obo/HP_0033502>	"Abnormal esterified to free carnitine ratio"	"Any deviation from the normal ratio of acylcarnitine (i.e., esterified carnitine) to free carnitine."	"Abnormal circulating acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0032210>	"Decreased circulating free T3"	"A reduced concentration of free 3,3',5-triiodo-L-thyronine in the blood circulation."	"Abnormal circulating free T3 concentration"
<http://purl.obolibrary.org/obo/HP_0034960>	"Elevated urine 3,6-epoxydicarboxylic acid level"	"The concentration of 3,6-epoxydicarboxylic acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0033182>	"Increased circulating cathepsin D level"	"An increase in concentration of cathepsin D in the blood circulation."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0500151>	"Hypercystinemia"	"An increased amount of cystine in the blood."	"Abnormal circulating cysteine concentration"
<http://purl.obolibrary.org/obo/HP_0025051>	"Reduced brain creatine level by MRS"@en	"A decrease in the level of creatine in the brain identified by magnetic resonance spectroscopy (MRS)."	"Abnormal brain creatine level by MRS"
<http://purl.obolibrary.org/obo/HP_0031098>	"Decreased thyroid-stimulating hormone level"	"Reduced amount of the thyroid-stimulating hormone (TSH), which is produced by the anterior pituitary gland and stimulates the function of the thyroid gland."	"Abnormal thyroid-stimulating hormone level"
<http://purl.obolibrary.org/obo/HP_6000372>	"Elevated CSF D-glyceric acid concentration"	"The concentration of D-carboxylic acid in the cerebrospinal fluid (CSF) is above the upper limit of normal."	"Abnormal CSF carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0034038>	"Silent hypoxemia"	"Abnormally low blood oxygen level without the presence of dyspnea."	"Hypoxemia"
<http://purl.obolibrary.org/obo/HP_0003333>	"Increased serum beta-hexosaminidase"		"Abnormal circulating enzyme concentration"
<http://purl.obolibrary.org/obo/HP_0034830>	"Reduced hepatic fructose-1,6-phosphate aldolase activity"	"Concentration or activity of fructose 1,6-bisphosphate aldolase in liver tissue below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0003339>	"Pyrimidine-responsive megaloblastic anemia"	"A type of megaloblastic anemia that improves upon administration of pyrimidine supplements such as uridylic acid and cytidylic acid."	"Megaloblastic anemia"
<http://purl.obolibrary.org/obo/HP_0500245>	"Abnormal CSF citrulline concentration"@en	"Any deviation from the normal concentration of citrulline in the cerebrospinal fluid."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0500166>	"Abnormal circulating gastrin concentration"	"An abnormal concentration of gastrin in the blood."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0040416>	"Abnormal urinary nitrogen compound level"	"The amount of a nitrogen compound in the urine, normalized for urine concentration, is outside of normal limits."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0033833>	"Elevated circulating soluble CD25 concentration"	"Increased concentration of the interleukin-2 receptor alpha-chain (CD25) in the blood circulation. CD25 is shed upon immune activation. Increased levels of soluble CD25, therefore, are an indication of an on-going immune response."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0030389>	"Abnormal circulating thromboxane concentration"	"Any deviation from the normal concentration in the blood circulation of a thromboxane. Thromboxanes are derived from prostaglandin precursors in platelets, and stimulate aggregation of platelets and constriction of blood vessels."	"Abnormal circulating eicosanoid concentration"
<http://purl.obolibrary.org/obo/HP_0008318>	"Elevated leukocyte alkaline phosphatase"	"Increased alkaline phosphatase measured within leukocytes."	"Elevated circulating alkaline phosphatase concentration"
<http://purl.obolibrary.org/obo/HP_0100502>	"Decreased circulating vitamin B12 concentration"	"The concentration of vitamin B12 in the blood circulation is below the lower limit of normal."	"Abnormal circulating vitamin B12 concentration"
<http://purl.obolibrary.org/obo/HP_0034586>	"Glutathionuria"	"Level of glutathione in the urine above the upper limit of normal."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0035033>	"Reduced circulating octadecenoylcarnitine concentration"	"Concentration of octadecenoylcarnitine (C18:1 acylcarnitine) in the blood circulation below the lower limit of normal."	"Reduced circulating acylcarnitine concentration"
