?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0002818>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal morphology of the radius"	"Abnormality of the radius"	"Anomalía del radio"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003259>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating creatinine concentration"	"Elevated serum creatinine"	"Creatinina sérica elevada"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000022>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal male internal genitalia morphology"	"Abnormality of male internal genitalia"	"Anomalía de los genitales internos masculinos"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0041053>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Fractured head"	"Fractured head"	"Fractura de cabeza"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002778>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal tracheal morphology"	"Abnormal trachea morphology"	"Alteración de la tráquea"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011175>	<http://www.w3.org/2000/01/rdf-schema#label>	"Focal motor seizure with version"	"Versive seizures"	"Convulsiones versivas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001611>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypernasal speech"	"Nasal speech"	"Voz nasal"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003152>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Increased serum 1,25-dihydroxyvitamin D3"	"Increased serum 1,25-dihydroxyvitamin D3"	"Elevación sérica de 1,25-dihidroxivitamina D3"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006517>	<http://www.w3.org/2000/01/rdf-schema#label>	"Intraalveolar phospholipid accumulation"	"Alveolar proteinosis"	"Proteinosis alveolar"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030450>	<http://www.w3.org/2000/01/rdf-schema#label>	"Neoplasm of the autonomic nervous system"	"Neuroplasm of the autonomic nervous system"	"Neuroplasma del sistema nervioso autónomo"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000128>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive nitrous oxide use"	"Nitric oxide addiction"	"Adicción al óxido nítrico"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100707>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal astrocyte morphology"	"Abnormality of the astrocytes"	"Anomalía de los astrocitos"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010886>	<http://www.w3.org/2000/01/rdf-schema#label>	"Osteochondritis dissecans"	"Osteochondritis Dissecans"	"Osteocondrosis disecante"@es	"OFFICIAL"
