hp_id,hp_label,filler_id,filler_label,type
http://purl.obolibrary.org/obo/HP_0001574,Abnormality of the integument,http://purl.obolibrary.org/obo/UBERON_0002199,integument,associated with
http://purl.obolibrary.org/obo/HP_3000013,Abnormal platysma muscle morphology,http://purl.obolibrary.org/obo/UBERON_0005467,platysma,associated with
http://purl.obolibrary.org/obo/HP_0011138,Abnormal skin adnexa morphology,http://purl.obolibrary.org/obo/UBERON_0006003,integumentary adnexa,associated with
http://purl.obolibrary.org/obo/HP_0410400,Absent sebaceous glands,http://purl.obolibrary.org/obo/UBERON_0001821,sebaceous gland,associated with
http://purl.obolibrary.org/obo/HP_0001597,Abnormal nail morphology,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0002164,Nail dysplasia,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0011313,Narrow nail,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0100797,Toenail dysplasia,http://purl.obolibrary.org/obo/UBERON_0009567,nail of pedal digit,associated with
http://purl.obolibrary.org/obo/HP_0001821,Broad nail,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0001809,Split nail,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0010793,Bifid nail,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0008404,Nail dystrophy,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0008391,Dystrophic fingernails,http://purl.obolibrary.org/obo/UBERON_0009565,nail of manual digit,associated with
http://purl.obolibrary.org/obo/HP_0001810,Dystrophic toenail,http://purl.obolibrary.org/obo/UBERON_0009567,nail of pedal digit,associated with
http://purl.obolibrary.org/obo/HP_0008386,Aplasia/Hypoplasia of the nails,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0001802,Absent toenail,http://purl.obolibrary.org/obo/UBERON_0009567,nail of pedal digit,associated with
http://purl.obolibrary.org/obo/HP_0200105,Absent fifth toenail,http://purl.obolibrary.org/obo/UBERON_0011282,nail of pedal digit 5,associated with
http://purl.obolibrary.org/obo/HP_0012555,Absent nail of hallux,http://purl.obolibrary.org/obo/UBERON_0011278,nail of pedal digit 1,associated with
http://purl.obolibrary.org/obo/HP_0001800,Hypoplastic toenails,http://purl.obolibrary.org/obo/UBERON_0009567,nail of pedal digit,associated with
http://purl.obolibrary.org/obo/HP_0011937,Hypoplastic fifth toenail,http://purl.obolibrary.org/obo/UBERON_0011282,nail of pedal digit 5,associated with
http://purl.obolibrary.org/obo/HP_0001799,Short nail,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0001798,Anonychia,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0001817,Absent fingernail,http://purl.obolibrary.org/obo/UBERON_0009565,nail of manual digit,associated with
http://purl.obolibrary.org/obo/HP_0200104,Absent fifth fingernail,http://purl.obolibrary.org/obo/UBERON_0011277,nail of manual digit 5,associated with
http://purl.obolibrary.org/obo/HP_0012554,Absent thumbnail,http://purl.obolibrary.org/obo/UBERON_0011273,nail of manual digit 1,associated with
http://purl.obolibrary.org/obo/HP_0001792,Small nail,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0001804,Hypoplastic fingernail,http://purl.obolibrary.org/obo/UBERON_0009565,nail of manual digit,associated with
http://purl.obolibrary.org/obo/HP_0012553,Hypoplastic thumbnail,http://purl.obolibrary.org/obo/UBERON_0011273,nail of manual digit 1,associated with
http://purl.obolibrary.org/obo/HP_0008398,Hypoplastic fifth fingernail,http://purl.obolibrary.org/obo/UBERON_0011277,nail of manual digit 5,associated with
http://purl.obolibrary.org/obo/HP_0001805,Onychogryphosis,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0040036,Onychogryphosis of fingernail,http://purl.obolibrary.org/obo/UBERON_0009565,nail of manual digit,associated with
http://purl.obolibrary.org/obo/HP_0008401,Onychogryphosis of toenails,http://purl.obolibrary.org/obo/UBERON_0009567,nail of pedal digit,associated with
http://purl.obolibrary.org/obo/HP_0009723,Abnormal subungual morphology,http://purl.obolibrary.org/obo/UBERON_0004105,subungual region,associated with
http://purl.obolibrary.org/obo/HP_0100643,Abnormality of nail color,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0008388,Abnormal toenail morphology,http://purl.obolibrary.org/obo/UBERON_0009567,nail of pedal digit,associated with
http://purl.obolibrary.org/obo/HP_0012746,Thin toenail,http://purl.obolibrary.org/obo/UBERON_0009567,nail of pedal digit,associated with
http://purl.obolibrary.org/obo/HP_0040040,Toenail onycholysis,http://purl.obolibrary.org/obo/UBERON_0005273,nail bed,associated with
http://purl.obolibrary.org/obo/HP_0030807,Abnormal nail growth,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0030807,Abnormal nail growth,http://purl.obolibrary.org/obo/GO_0035878,nail development,associated with
http://purl.obolibrary.org/obo/HP_0030806,Fast-growing nails,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0030806,Fast-growing nails,http://purl.obolibrary.org/obo/GO_0035878,nail development,associated with
http://purl.obolibrary.org/obo/HP_0008383,Slow-growing nails,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0008383,Slow-growing nails,http://purl.obolibrary.org/obo/GO_0035878,nail development,associated with
http://purl.obolibrary.org/obo/HP_0001231,Abnormal fingernail morphology,http://purl.obolibrary.org/obo/UBERON_0009565,nail of manual digit,associated with
http://purl.obolibrary.org/obo/HP_0040039,Onycholysis of fingernails,http://purl.obolibrary.org/obo/UBERON_0005273,nail bed,associated with
http://purl.obolibrary.org/obo/HP_0012742,Thin fingernail,http://purl.obolibrary.org/obo/UBERON_0009565,nail of manual digit,associated with
http://purl.obolibrary.org/obo/HP_0001232,Nail bed telangiectasia,http://purl.obolibrary.org/obo/MPATH_476,telangiectasia,associated with
http://purl.obolibrary.org/obo/HP_0001232,Nail bed telangiectasia,http://purl.obolibrary.org/obo/UBERON_0005273,nail bed,associated with
http://purl.obolibrary.org/obo/HP_0001806,Onycholysis,http://purl.obolibrary.org/obo/UBERON_0005273,nail bed,associated with
http://purl.obolibrary.org/obo/HP_0001816,Thin nail,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0001808,Fragile nails,http://purl.obolibrary.org/obo/UBERON_0001705,nail,associated with
http://purl.obolibrary.org/obo/HP_0001595,Abnormal hair morphology,http://purl.obolibrary.org/obo/UBERON_0001037,strand of hair,associated with
http://purl.obolibrary.org/obo/HP_0009887,Abnormality of hair pigmentation,http://purl.obolibrary.org/obo/UBERON_0001037,strand of hair,associated with
http://purl.obolibrary.org/obo/HP_0009887,Abnormality of hair pigmentation,http://purl.obolibrary.org/obo/GO_0043473,pigmentation,associated with
http://purl.obolibrary.org/obo/HP_0002297,Red hair,http://purl.obolibrary.org/obo/UBERON_0001037,strand of hair,associated with
http://purl.obolibrary.org/obo/HP_0002227,White eyelashes,http://purl.obolibrary.org/obo/UBERON_0001702,eyelash,associated with
http://purl.obolibrary.org/obo/HP_0005599,Hypopigmentation of hair,http://purl.obolibrary.org/obo/UBERON_0001037,strand of hair,associated with
http://purl.obolibrary.org/obo/HP_0005599,Hypopigmentation of hair,http://purl.obolibrary.org/obo/GO_0043473,pigmentation,associated with
http://purl.obolibrary.org/obo/HP_0002286,Fair hair,http://purl.obolibrary.org/obo/UBERON_0001037,strand of hair,associated with
http://purl.obolibrary.org/obo/HP_0002226,White eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0100037,Abnormality of the scalp hair,http://purl.obolibrary.org/obo/UBERON_0000403,scalp,associated with
http://purl.obolibrary.org/obo/HP_0100037,Abnormality of the scalp hair,http://purl.obolibrary.org/obo/UBERON_0016446,hair of head,associated with
http://purl.obolibrary.org/obo/HP_0009553,Abnormality of the hairline,http://purl.obolibrary.org/obo/UBERON_0004104,hairline,associated with
http://purl.obolibrary.org/obo/HP_0002293,Alopecia of scalp,http://purl.obolibrary.org/obo/UBERON_0000403,scalp,associated with
http://purl.obolibrary.org/obo/HP_0002209,Sparse scalp hair,http://purl.obolibrary.org/obo/UBERON_0016446,hair of head,associated with
http://purl.obolibrary.org/obo/HP_0000534,Abnormal eyebrow morphology,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0011229,Broad eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0004523,Long eyebrows,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0100840,Aplasia/Hypoplasia of the eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0045074,Thin eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0045075,Sparse eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0002223,Absent eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0040296,Abnormal location of the eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0002553,Highly arched eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0000574,Thick eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0010730,Double eyebrow,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,associated with
http://purl.obolibrary.org/obo/HP_0002552,Trichodysplasia,http://purl.obolibrary.org/obo/UBERON_0001037,strand of hair,associated with
http://purl.obolibrary.org/obo/HP_0100134,Abnormality of the axillary hair,http://purl.obolibrary.org/obo/UBERON_0013699,strand of axillary hair,associated with
