?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0008823>	<http://www.w3.org/2000/01/rdf-schema#label>	"Inferior pubic ramus hypoplasia"	"Hypoplastic inferior pubic rami"	"Hipoplastik inferior pubik rami"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010593>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal fibular epiphysis morphology"	"Abnormality of fibular epiphyses"	"Fibular epifizlerin anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031432>	<http://www.w3.org/2000/01/rdf-schema#label>	"Restricted or repetitive behaviors or interests"	"Persistent repetition of actions"	"Hareketlerin kalıcı tekrarlanışı"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006977>	<http://www.w3.org/2000/01/rdf-schema#label>	"Deficit in grammar"	"Grammar-specific speech disorder"	"Dil bilgisine özel konuşma bozukluğu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031102>	<http://www.w3.org/2000/01/rdf-schema#label>	"Increased circulating antimullerian hormone concentration"	"Increased antimullerian hormone level"	"Artmış antimülleriyen hormon düzeyi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032119>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Narrow angle glaucoma"	"Narrow angle glaucoma"	"Dar açılı glokom"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031434>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal prosody"	"Abnormal speech prosody"	"Anormal konuşma vezni"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410176>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating glucose-6-phosphate dehydrogenase concentration"	"Abnormal glucose-6-phosphate dehydrogenase level"	"Anormal glukoz-6-fosfat dehidrogenaz seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410068>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Increased level of L-glutamic acid in blood"	"Increased level of L-glutamic acid in blood"	"Kanda artmış L-glutamik asit seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003172>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal pubic bone morphology"	"Abnormality of the pubic bone"	"Leğen kemiğinin anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002686>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pregnancy history"	"Prenatal maternal abnormality"	"Prenatal maternal anormallik"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010674>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal curvature of the vertebral column"	"Abnormality of the curvature of the vertebral column"	"Vertebral kolon eğriliğinin anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010320>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal third toe morphology"	"Abnormality of the 3rd toe"	"3. ayak parmağının anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031103>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased cirrculating antimullerian hormone circulation"	"Decreased antimullerian hormone level"	"Azalmış antimüllerian hormon seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032273>	<http://www.w3.org/2000/01/rdf-schema#label>	"Increased circulating N-acetylaspartic acid concentration"	"Increased circulating N-Acetylaspartic acid concentration"	"Artmış dolaşım N-asetilaspartik asit konsantrasyonu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009735>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spinal neurofibroma"	"Spinal neurofibromas"	"Spinal nörofibrom"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045010>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal peripheral nerve morphology by anatomical site"	"Abnormality of peripheral nerves"	"Periferik sinirlerin anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025112>	<http://www.w3.org/2000/01/rdf-schema#label>	"Auditory sensitivity"	"Sound sensitivity"	"Ses hassasiyeti"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010319>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal second toe morphology"	"Abnormality of the 2nd toe"	"2. ayak parmağının anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010289>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cleft maxillary alveolar ridge"	"Cleft of alveolar ridge of maxilla"	"Yarık maksilla alveoler sırtı"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008344>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating branched chain amino acid concentration"	"Elevated plasma branched chain amino acids"	"Plazmada yükselmiş dallı zincirli amino asitler"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012545>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced circulating aldolase concentration"	"Reduced aldolase level"	"Azalmış aldolaz seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005356>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement factor I concentration"	"Decreased serum complement factor I"	"Azalmış serum kompleman faktör I"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031875>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating hepcidin concentration"	"Abnormal hepcidin level"	"Anormal hepsidin seviyesi"@tr	"OFFICIAL"
