c,p,x
http://purl.obolibrary.org/obo/HP_0030125,http://www.w3.org/2000/01/rdf-schema#comment,This anomaly is observed at about 3.5 percent of people and is usually bilateral. 
http://purl.obolibrary.org/obo/HP_0030244,http://www.w3.org/2000/01/rdf-schema#comment,"There is evidence to suugest that maternal fever during pregnancy may negatively affect offspring healthneural tube defects, congenital heart defects, and oral clefts, in which meta-analyses suggested between a 1.5- and nearly 3-fold increased risk with fever exposure in the first trimester. "
http://purl.obolibrary.org/obo/HP_0030022,http://www.w3.org/2000/01/rdf-schema#comment,"Relatively few cases have been reported. Variation from a small notch to complete separation of the helix from the lobe is noted, there may be unilateral or bilateral involvement. The lobe is relatively laterally recessed compared to the upper portion of the ear and the scapha may be absent. This is distinct from a Cleft helix where the cleft is within the helix. "
http://purl.obolibrary.org/obo/HP_0030038,http://www.w3.org/2000/01/rdf-schema#comment,Most patients have no symptoms. Enchondromas are often identified as incidental findings on X-ray examinations. Enchondromas usually have a radiographic appearance that is long and oval with well-defined margins. 
http://purl.obolibrary.org/obo/HP_0030023,http://www.w3.org/2000/01/rdf-schema#comment,This feature is best visualized when the lobe is tilted anteriorly. 
http://purl.obolibrary.org/obo/HP_0030439,http://www.w3.org/2000/01/rdf-schema#comment,"Differentiating true anal canal adenocarcinoma from low rectal adenocarcinoma can be challenging. Most anal canal adenocarcinomas originate from anal glands, but cases developing in chronic tracts from fistula in ano are described. Multiple factors, including infection with HPV and HIV, history of receptive anal intercourse, smoking, and immunosuppression have been identified as risk factors. Clinical features include anal pain, induration of the anal canal, or abscess formation and a palpable lump. "
http://purl.obolibrary.org/obo/HP_0030024,http://www.w3.org/2000/01/rdf-schema#comment,"Pretragal ectopia refers to structures that are frequently complex and should be distinguished from preauricular tags. They may be difficult to distinguish from striated muscle hamartomas or tragal duplications. Pretragal ectopias often appear helix-like, and in such cases may be called Polyotia. "
http://purl.obolibrary.org/obo/HP_0008330,http://www.w3.org/2000/01/rdf-schema#comment,"Von Willebrand factor (VWF) is a key hemostatic protein, but documenting its function through laboratory tests is not always straightforward. VWF serves as a carrier protein for factor VIII (FVIII), and also facilitates platelet adhesion through its interaction with platelet GPIb on the platelet surface and through its binding to the subendothelial matrix. This interaction is driven in vivo by shear stress, which induces a conformational change in VWF that allows it to bind platelet GPIb. In vitro, however, this interaction is induced by the antibiotic ristocetin, which enables VWF and platelet GPIb to interact in the absence of shear forces. Laboratory testing of VWF utilizes ristocetin in the VWF ristocetin cofactor activity assay (VWF:RCo), which is a measure of VWF binding to platelets, or by ristocetin-induced platelet aggregation (RIPA). "
http://purl.obolibrary.org/obo/HP_0002816,http://www.w3.org/2000/01/rdf-schema#comment,"Individuals with genu recurvatum may experience knee pain, display an extension gait pattern, and have poor proprioceptive control of terminal knee extension. "
http://purl.obolibrary.org/obo/HP_0000533,http://www.w3.org/2000/01/rdf-schema#comment,"Choroidal sclerosis is a descriptive term applied to the ophthalmoscopic appearance of prominent white choroidal vessels in which the blood columns are not seen or are sheathed by white lines. Choroidal sclerosis is a term used to describe a group of genetically heterogeneous retinal dystrophies that share a common funduscopic phenotype of scalloped, well-circumscribed, and confluent chorioretinal atrophic lesions that extend beyond the macula. The term choroidal sclerosis was initially coined because of the sclerotic appearance of choroidal vessels which frequently appear white or light-yellow. However, histologic studies have demonstrated the term to be a misnomer as the principle abnormality is the loss of choriocapillaris, retinal pigment epithelium (RPE), and the outer retina in the absence of abnormal sclerotic changes in the choroidal vasculature. Therefore, we are making choroidal sclerosis a synonym of chorioretinal atrophy. "
http://purl.obolibrary.org/obo/HP_0100841,http://www.w3.org/2000/01/rdf-schema#comment,"Patients with microgastria usually have poor growth, inadequate food consumption, or a complication of the small gastric cavity and gastroesophageal reflux, including frequent vomiting or pneumonia. "
http://purl.obolibrary.org/obo/HP_0030154,http://www.w3.org/2000/01/rdf-schema#comment,"Clinical presentation of a ruptuerd gallbladder can range from an acute generalised peritonitis to benign non-specific abdominal symptom. Gallbladder perforation is a rare but life-threatening complication of acute cholecystitis, with a reported mortality rate of 12 to 42 percent. The bile leak from a ruptured gallbladder might be contained in the extra peritoneal gallbladder fossa, and hence might not produce symptoms of peritonitis immediately. "
http://purl.obolibrary.org/obo/HP_0030438,http://www.w3.org/2000/01/rdf-schema#comment,"Patients typically present with bright red bleeding, pain, and/or a palpable mass. When a clinically suspicious lesion is identified, diagnosis relies on cytologic or histologic confirmation. "
http://purl.obolibrary.org/obo/HP_0030361,http://www.w3.org/2000/01/rdf-schema#comment,"The icosanoids include the prostaglandins, prostacyclins, thromboxanes, leukotrienes, and epoxyeicosatrienoic acids. Icosanoids have various roles in processes that regulate inflammation, fever, blood pressure, blood clotting, immune system function, reproductive processes and tissue growth, and the sleep/wake cycle. "
