?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0003375>	<http://www.w3.org/2000/01/rdf-schema#label>	"Narrow greater sciatic notch"	"Narrow greater sacrosciatic notches"	"Grandes encoches sacro-sciatiques étroites"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012290>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Mouth neoplasm"	"Mouth neoplasm"	"Tumeur de la bouche"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012005>	<http://www.w3.org/2000/01/rdf-schema#label>	"Deja vu aura"	"Deja vu"	"Impression de déjà vu"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000326>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal maxilla morphology"	"Abnormality of the maxilla"	"Anomalie du maxillaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410000>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal vomer morphology"	"Abnormality of vomer"	"Anomalie du vomer"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012144>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal monocyte morphology"	"Abnormality monocyte morphology"	"Anomalie morphologique des monocytes/macrophages"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010456>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal greater sciatic notch morphology"	"Abnormality of the greater sacrosciatic notch"	"Anomalie des grandes incisures sacro-iliaques"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040220>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal size of the dental root"	"Abnormal size the dental root"	"Taille de la racine dentaire anormale"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032124>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal proportion of unswitched memory B cells"	"Abnormal proportion of non-class-switched memory B cells"	"Proportion anormale de cellules B à mémoire non commutées par classe"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011063>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal incisor morphology"	"Abnormality of incisor morphology"	"Anomalie morphologique des incisives"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011435>	<http://www.w3.org/2000/01/rdf-schema#label>	"Low maternal circulating PAPP-A concentration"	"Low maternal serum PAPP-A"	"PAPP-A (Pregnancy associated plasma protein A) sérique maternel bas"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003236>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating creatine kinase concentration"	"Elevated serum creatine kinase"	"Augmentation de la créatine phosphokinase sérique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012610>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormality of urinary uric acid level"	"Abnormality of urinary uric acid concentration"	"Anomalie du dosage urinaire de l'acide urique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011162>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Psychic auras"	"Psychic auras"	"Auras psychiques"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008075>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Progressive pes cavus"	"Progressive pes cavus"	"Pied creux progressif"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100705>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal glial cell morphology"	"Abnormality of the glial cells"	"Anomalie des cellules gliales"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009912>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal tragus morphology"	"Abnormality of the tragus"	"Anomalie du tragus"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011785>	<http://www.w3.org/2000/01/rdf-schema#label>	"Thyrotoxicosis with toxic multinodular goiter"	"Thyrotoxicosis with toxic multinodular goitre"	"Thyréotoxicose avec goitre multinodulaire toxique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040069>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal lower limb bone morphology"	"Abnormality of lower limb bone"	"Anomalie des os des membres inférieurs"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002538>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cerebral cortex morphology"	"Abnormality of the cerebral cortex"	"Anomalie du cortex cérébral"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010674>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal curvature of the vertebral column"	"Abnormality of the curvature of the vertebral column"	"anomalie de la courbure de la colonne vertébrale"@fr	"OFFICIAL"
