baseClass,baseLabel,equivalentClass,equivalentLabel
http://purl.obolibrary.org/obo/HP_0000872,Hashimoto thyroiditis,http://purl.obolibrary.org/obo/HP_0100646,Thyroiditis
http://purl.obolibrary.org/obo/HP_0007016,Corticospinal tract hypoplasia,http://purl.obolibrary.org/obo/HP_0007348,Hypoplasia of the pyramidal tract
http://purl.obolibrary.org/obo/HP_0001578,Hypercortisolism,http://purl.obolibrary.org/obo/HP_0003118,Increased circulating cortisol level
http://purl.obolibrary.org/obo/HP_0007363,Aplasia/Hypoplasia of the pyramidal tract,http://purl.obolibrary.org/obo/HP_0007365,Aplasia/Hypoplasia involving the corticospinal tracts
http://purl.obolibrary.org/obo/HP_0008163,Decreased circulating cortisol level,http://purl.obolibrary.org/obo/HP_0008220,Hypocortisolemia
http://purl.obolibrary.org/obo/HP_0001913,Granulocytopenia,http://purl.obolibrary.org/obo/HP_0012234,Agranulocytosis
http://purl.obolibrary.org/obo/HP_0001022,Albinism,http://purl.obolibrary.org/obo/HP_0007513,Generalized hypopigmentation
http://purl.obolibrary.org/obo/HP_0000003,Multicystic kidney dysplasia,http://purl.obolibrary.org/obo/HP_0000113,Polycystic kidney dysplasia
http://purl.obolibrary.org/obo/HP_0009815,Aplasia/hypoplasia of the extremities,http://purl.obolibrary.org/obo/HP_0045060,Aplasia/hypoplasia involving bones of the extremities
http://purl.obolibrary.org/obo/HP_0001166,Arachnodactyly,http://purl.obolibrary.org/obo/HP_0100807,Long fingers
http://purl.obolibrary.org/obo/HP_0005453,Absent/hypoplastic paranasal sinuses,http://purl.obolibrary.org/obo/HP_0009120,Aplasia/Hypoplasia involving the sinuses
http://purl.obolibrary.org/obo/HP_0000272,Malar flattening,http://purl.obolibrary.org/obo/HP_0010669,Hypoplasia of the zygomatic bone
http://purl.obolibrary.org/obo/HP_0000711,Restlessness,http://purl.obolibrary.org/obo/HP_0000713,Agitation
http://purl.obolibrary.org/obo/HP_0001539,Omphalocele,http://purl.obolibrary.org/obo/HP_0010866,Abdominal wall defect
http://purl.obolibrary.org/obo/HP_0004299,Hernia of the abdominal wall,http://purl.obolibrary.org/obo/HP_0010866,Abdominal wall defect
http://purl.obolibrary.org/obo/HP_0009635,Synostosis of thumb phalanx,http://purl.obolibrary.org/obo/HP_0009656,Symphalangism of the thumb
http://purl.obolibrary.org/obo/HP_0005920,Abnormality of the epiphyses of the phalanges of the hand,http://purl.obolibrary.org/obo/HP_0005924,Abnormality of the epiphyses of the hand
http://purl.obolibrary.org/obo/HP_0002924,Decreased circulating aldosterone level,http://purl.obolibrary.org/obo/HP_0004319,Hypoaldosteronism
http://purl.obolibrary.org/obo/HP_0010674,Abnormality of the curvature of the vertebral column,http://purl.obolibrary.org/obo/HP_0100795,Abnormally straight spine
http://purl.obolibrary.org/obo/HP_0002493,Upper motor neuron dysfunction,http://purl.obolibrary.org/obo/HP_0007256,Abnormal pyramidal signs
http://purl.obolibrary.org/obo/HP_0003953,Absent forearm bone,http://purl.obolibrary.org/obo/HP_0009822,Aplasia involving forearm bones
http://purl.obolibrary.org/obo/HP_0000126,Hydronephrosis,http://purl.obolibrary.org/obo/HP_0010945,Fetal pyelectasis
http://purl.obolibrary.org/obo/HP_0000126,Hydronephrosis,http://purl.obolibrary.org/obo/HP_0010946,Dilatation of the renal pelvis
http://purl.obolibrary.org/obo/HP_0010945,Fetal pyelectasis,http://purl.obolibrary.org/obo/HP_0010946,Dilatation of the renal pelvis
http://purl.obolibrary.org/obo/HP_0005403,T lymphocytopenia,http://purl.obolibrary.org/obo/HP_0045071,Decrease in T cell number
http://purl.obolibrary.org/obo/HP_0002539,Cortical dysplasia,http://purl.obolibrary.org/obo/HP_0006930,Frontoparietal cortical dysplasia
http://purl.obolibrary.org/obo/HP_0000668,Hypodontia,http://purl.obolibrary.org/obo/HP_0009804,Reduced number of teeth
http://purl.obolibrary.org/obo/HP_0000175,Cleft palate,http://purl.obolibrary.org/obo/HP_0410004,Cleft secondary palate
http://purl.obolibrary.org/obo/HP_0001220,Interphalangeal joint contracture of finger,http://purl.obolibrary.org/obo/HP_0100490,Camptodactyly of finger
http://purl.obolibrary.org/obo/HP_0001842,Foot acroosteolysis,http://purl.obolibrary.org/obo/HP_0010177,Osteolytic defects of the phalanges of the toes
http://purl.obolibrary.org/obo/HP_0001539,Omphalocele,http://purl.obolibrary.org/obo/HP_0004299,Hernia of the abdominal wall
