defined_class	defined_class_name	anatomical_entity	anatomical_entity_name
HP:0010513	Pituitary calcification	UBERON:0000007	pituitary gland
HP:0005146	Cardiac valve calcification	UBERON:0000946	cardial valve
HP:0004963	Calcification of the aorta	UBERON:0000947	aorta
HP:0007862	Retinal calcification	UBERON:0000966	retina
HP:0008703	Gonadal calcification	UBERON:0000991	gonad
HP:0100249	Calcification of muscles	UBERON:0001015	musculature
HP:0005645	Intervertebral disk calcification	UBERON:0001066	intervertebral disk
HP:0031315	External carotid artery calcification	UBERON:0001070	external carotid artery
HP:0005213	Pancreatic calcification	UBERON:0001264	pancreas
HP:0009164	Abnormal calcification of the carpal bones	UBERON:0001435	carpal bone
HP:0031051	Tarsal sclerosis	UBERON:0001447	tarsal bone
HP:0005303	Aortic arch calcification	UBERON:0001508	arch of aorta
HP:0004962	Thoracic aorta calcification	UBERON:0001515	thoracic aorta
HP:0031313	Abdominal aortic calcification	UBERON:0001516	abdominal aorta
HP:0031307	Internal carotid artery calcification	UBERON:0001532	internal carotid artery
HP:0031308	Vertebral artery calcification	UBERON:0001535	vertebral artery
HP:0001717	Coronary artery calcification	UBERON:0001621	coronary artery
HP:0031311	Middle cerebral artery calcification	UBERON:0001627	middle cerebral artery
HP:0031310	Basilar artery calcification	UBERON:0001633	basilar artery
HP:0003207	Arterial calcification	UBERON:0001637	artery
HP:0008754	Laryngeal calcification	UBERON:0001737	larynx
HP:0006302	Dagger-shaped pulp calcifications	UBERON:0001754	dental pulp
HP:0025141	Gingival calcification	UBERON:0001828	gingiva
HP:0005103	Calcification of the auricular cartilage	UBERON:0001867	cartilage of external ear
HP:0031627	Globus pallidus calcification	UBERON:0001875	globus pallidus
HP:0006960	Choroid plexus calcification	UBERON:0001886	choroid plexus
HP:0002514	Cerebral calcification	UBERON:0001893	telencephalon
HP:0012682	Pineal gland calcification	UBERON:0001905	pineal body
HP:0011415	Calcified placenta	UBERON:0001987	placenta
HP:0007352	Cerebellar calcifications	UBERON:0002037	cerebellum
HP:0004934	Vascular calcification	UBERON:0002049	vasculature
HP:0031303	Femoral arterial calcification	UBERON:0002060	femoral artery
HP:0006559	Hepatic calcification	UBERON:0002107	liver
HP:0002461	Dense calcifications in the cerebellar dentate nucleus	UBERON:0002132	dentate nucleus
HP:0004382	Mitral valve calcification	UBERON:0002135	mitral valve
HP:0004380	Aortic valve calcification	UBERON:0002137	aortic valve
HP:0006646	Costal cartilage calcification	UBERON:0002236	costal cartilage
HP:0006600	Progressive calcification of costochondral cartilage	UBERON:0002293	costochondral joint
HP:0006514	Intraalveolar nodular calcifications	UBERON:0002299	alveolus of lung
HP:0006690	Myocardial calcification	UBERON:0002349	myocardium
HP:0010512	Adrenal calcification	UBERON:0002369	adrenal gland
HP:0002135	Basal ganglia calcification	UBERON:0002420	basal ganglion
HP:0002787	Tracheal calcification	UBERON:0003126	trachea
HP:0025441	Achilles tendon calcification	UBERON:0003701	calcaneal tendon
HP:0006370	Distal ulnar epiphyseal stippling	UBERON:0004408	distal epiphysis of ulna
HP:0031309	Cerebral artery calcification	UBERON:0004449	cerebral artery
HP:0011915	Cardiovascular calcification	UBERON:0004535	cardiovascular system
HP:0004940	Generalized arterial calcification	UBERON:0004572	arterial system
HP:0025041	Thalamic calcification	UBERON:0004703	dorsal thalamus
HP:0031314	Carotid artery calcification	UBERON:0005396	carotid artery segment
HP:0031304	Iliac arterial calcification	UBERON:0005609	iliac artery
HP:0005136	Mitral annular calcification	UBERON:0005995	mitral valve anulus
HP:0005462	Calcification of falx cerebri	UBERON:0006059	falx cerebri
HP:0033642	Mitral valve leaflet calcification	UBERON:0007151	mitral valve leaflet
HP:0012456	Medial arterial calcification	UBERON:0007239	tunica media of artery
HP:0031305	Tibial arterial calcification	UBERON:0007610	tibial artery
HP:0100593	Calcification of cartilage	UBERON:0007844	cartilage element
HP:0000121	Nephrocalcinosis	UBERON:0008987	renal parenchyma
HP:0100250	Meningeal calcification	UBERON:0010743	meningeal cluster
HP:0033641	Aortic valve leaflet calcification	UBERON:0011742	aortic valve leaflet
HP:0007618	Subcutaneous calcification	UBERON:0011818	superficial fascia
