subject_id	translation_value	comment
ID	AL oboInOwl:hasExactSynonym@fr	
HP:0011424	zincémie augmentée	synonyms of HP:0011424 (Increased serum zinc)  ; abnormality of metabolism/homeostasis
HP:0000635	yeux bleus	synonyms of HP:0000635 (Blue irides)  ; abnormality of the eye
HP:0000958	peau sèche|xérose	synonyms of HP:0000958 (Dry skin)  ; abnormality of the integument
HP:0003565	accélération de la vitesse de sédimentation|Vitesse de sédimentation élevée|VS augmentée|VS élevée	synonyms of HP:0003565 (Elevated erythrocyte sedimentation rate)  ; abnormality of metabolism/homeostasis
HP:0003565	accélération de la vitesse de sédimentation|Vitesse de sédimentation élevée|VS augmentée|VS élevée	synonyms of HP:0003565 (Elevated erythrocyte sedimentation rate)  ; abnormality of metabolism/homeostasis
HP:0001611	voix hypernasale|voix hyper-nasale	synonyms of HP:0001611 (Nasal speech)  ; abnormality of the voice
HP:0003565	accélération de la vitesse de sédimentation|Vitesse de sédimentation élevée|VS augmentée|VS élevée	synonyms of HP:0003565 (Elevated erythrocyte sedimentation rate)  ; abnormality of metabolism/homeostasis
HP:0002321	sensation vertigineuse|vertige et étourdissement|étourdissement	synonyms of HP:0002321 (Vertigo)  ; abnormality of the ear
HP:0200043	verrue vulgaire	synonyms of HP:0200043 (Verrucae)  ; abnormality of the integument ; neoplasm
HP:0001719	ventricule droit à double issue	synonyms of HP:0001719 (Double outlet right ventricle)  ; abnormality of the cardiovascular system
HP:0200029	vasculite cutanée|vasculite de la peau|vascularites de la peau	synonyms of HP:0200029 (Vasculitis in the skin)  ; abnormality of the integument ; abnormality of the cardiovascular system
HP:0200029	vasculite cutanée|vasculite de la peau|vascularites de la peau	synonyms of HP:0200029 (Vasculitis in the skin)  ; abnormality of the integument ; abnormality of the cardiovascular system
HP:0200029	vasculite cutanée|vasculite de la peau|vascularites de la peau	synonyms of HP:0200029 (Vasculitis in the skin)  ; abnormality of the integument ; abnormality of the cardiovascular system
HP:0002040	Varice de l'oesophage|varice oesophagienne	synonyms of HP:0002040 (Esophageal varix)  ; abnormality of the digestive system
HP:0002040	Varice de l'oesophage|varice oesophagienne	synonyms of HP:0002040 (Esophageal varix)  ; abnormality of the digestive system
HP:0010957	valves urétrales postérieures congénitales	synonyms of HP:0010957 (Congenital posterior urethral valve)  ; abnormality of the genitourinary system
HP:0001025	l50 - urticaire|éruption allergique|urticaires	synonyms of HP:0001025 (Urticaria)  ; abnormality of the integument ; abnormality of the cardiovascular system
HP:0000012	urgence mictionnelle|urgence urinaire	synonyms of HP:0000012 (Urinary urgency)  ; abnormality of the genitourinary system
HP:0000012	urgence mictionnelle|urgence urinaire	synonyms of HP:0000012 (Urinary urgency)  ; abnormality of the genitourinary system
HP:0000073	uretère double	synonyms of HP:0000073 (Ureteral duplication)  ; abnormality of the genitourinary system
HP:0003138	urée sanguine augmentée|elevation azote ureique du sang	synonyms of HP:0003138 (Increased blood urea nitrogen)  ; abnormality of metabolism/homeostasis
HP:0002592	ulcère gastroduodénal|k25 - ulcère de l'estomac|ulcère de l'estomac	synonyms of HP:0002592 (Gastric ulcer)  ; abnormality of the digestive system
HP:0002592	ulcère gastroduodénal|k25 - ulcère de l'estomac|ulcère de l'estomac	synonyms of HP:0002592 (Gastric ulcer)  ; abnormality of the digestive system
HP:0003231	tyrosinémie	synonyms of HP:0003231 (Hypertyrosinemia)  ; abnormality of metabolism/homeostasis
HP:0100007	tumeurs du système nerveux périphérique	synonyms of HP:0100007 (Neoplasm of the peripheral nervous system)  ; abnormality of the nervous system ; neoplasm
