?term	?property	?translation_lang	?original_value	?translation
<http://purl.obolibrary.org/obo/HP_0031809>	<http://www.w3.org/2000/01/rdf-schema#label>		"Archibald's sign"	"Signe d'Archibald"@fr
<http://purl.obolibrary.org/obo/HP_0003470>	<http://www.w3.org/2000/01/rdf-schema#label>		"Paralysis"	"Paralysie"@fr
<http://purl.obolibrary.org/obo/HP_0031057>	<http://www.w3.org/2000/01/rdf-schema#label>		"Skin fissure"	"Fissure cutanée"@fr
<http://purl.obolibrary.org/obo/HP_0006135>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased finger mobility"	"Diminution de la mobilité des doigts"@fr
<http://purl.obolibrary.org/obo/HP_0005191>	<http://www.w3.org/2000/01/rdf-schema#label>		"Congenital knee dislocation"	"Luxation congénitale du genou"@fr
<http://purl.obolibrary.org/obo/HP_0030819>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ski jump nail"	"Ongle en saut de ski"@fr
<http://purl.obolibrary.org/obo/HP_0001863>	<http://www.w3.org/2000/01/rdf-schema#label>		"Toe clinodactyly"	"Clinodactylie des orteils"@fr
<http://purl.obolibrary.org/obo/HP_0001551>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal umbilicus morphology"	"Anomalie morphologique de l'ombilic"@fr
<http://purl.obolibrary.org/obo/HP_0011122>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of skin physiology"	"Anomalie de la physiologie de la peau"@fr
<http://purl.obolibrary.org/obo/HP_0008936>	<http://www.w3.org/2000/01/rdf-schema#label>		"Muscular hypotonia of the trunk"	"hypotonie musculaire du tronc"
<http://purl.obolibrary.org/obo/HP_0004425>	<http://www.w3.org/2000/01/rdf-schema#label>		"Flat forehead"	"Front plat"@fr
<http://purl.obolibrary.org/obo/HP_0004786>	<http://www.w3.org/2000/01/rdf-schema#label>		"Jejunal diverticula"	"Diverticule jéjunal"@fr
<http://purl.obolibrary.org/obo/HP_0032129>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased proportion of plasmablasts"	"Diminution de la proportion de plasmablastes"@fr
<http://purl.obolibrary.org/obo/HP_0011832>	<http://www.w3.org/2000/01/rdf-schema#label>		"Narrow nasal tip"	"Bout du nez étroit"@fr
<http://purl.obolibrary.org/obo/HP_0000958>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dry skin"	"Sécheresse cutanée"@fr
