source	source_version	source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translator	translation_date	translation_confidence	translation_precision	translation_status												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000002	rdfs:label	Abnormality of body height	身長の異常		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000003	rdfs:label	Multicystic kidney dysplasia	多嚢胞腎異形成		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000008	rdfs:label	Abnormal morphology of female internal genitalia	女性内性器異常		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000009	rdfs:label	Functional abnormality of the bladder	膀胱機能異常		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000010	rdfs:label	Recurrent urinary tract infections	反復性尿路感染症		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000011	rdfs:label	Neurogenic bladder	神経因性膀胱		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000012	rdfs:label	Urinary urgency	尿意切迫		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000013	rdfs:label	Hypoplasia of the uterus	子宮低形成		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000014	rdfs:label	Abnormality of the bladder	膀胱異常		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000015	rdfs:label	Bladder diverticulum	膀胱憩室		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000016	rdfs:label	Urinary retention	尿閉		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000017	rdfs:label	Nocturia	夜尿		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000019	rdfs:label	Urinary hesitancy	排尿躊躇		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000020	rdfs:label	Urinary incontinence	遺尿		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000021	rdfs:label	Megacystis	巨大膀胱		2023-07-31	1	EXACT	OFFICIAL												
http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp/releases/2023-07-21/hp.owl	en	ja	HP:0000022	rdfs:label	Abnormal male internal genitalia morphology	男性内性器異常		2023-07-31	1	EXACT	OFFICIAL												
