subject_id	translation_value	comment
ID	AL oboInOwl:hasExactSynonym@cs	
HP:0000003	Multycystická dysplastická ledvina	OFFICIAL
HP:0000003	Multicystické ledviny	OFFICIAL
HP:0000003	Multicystická renální dysplazie	OFFICIAL
HP:0000005	Dědičnost	OFFICIAL
HP:0000006	Autozomálně dominantní	CANDIDATE
HP:0000006	Autozomálně dominantní forma	CANDIDATE
HP:0000006	Autozomálně dominantní typ	CANDIDATE
HP:0000007	Autozomálně recesivní	CANDIDATE
HP:0000007	Autozomálně recesivní forma	CANDIDATE
HP:0000007	Autozomálně recesivní predispozice	CANDIDATE
HP:0000008	Abnormalita ženských vnitřních pohlavních orgánů	CANDIDATE
HP:0000009	Špatná funkce močového měchýře	OFFICIAL
HP:0000010	Časté infekce močového traktu	CANDIDATE
HP:0000010	Močová infekce	CANDIDATE
HP:0000010	Infekce močového traktu	CANDIDATE
HP:0000010	Infekce močového traktu	CANDIDATE
HP:0000010	Infekce močového traktu, opakující se	CANDIDATE
HP:0000011	Nedostatečná kontrola močového měchýře po poranění nervového systému	OFFICIAL
HP:0000012	Hyperaktivní močový měchýř	OFFICIAL
HP:0000012	Syndrom hyperaktivního močového měchýře	OFFICIAL
HP:0000013	Hypoplastická děloha	OFFICIAL
HP:0000013	Rudimentární děloha	OFFICIAL
HP:0000013	Malá děloha	OFFICIAL
HP:0000013	Nevyvinutá děloha	OFFICIAL
HP:0000015	Divertikl močového měchýře	OFFICIAL
HP:0000016	Zvýšený reziduální objem moči po vyprázdnění	OFFICIAL
HP:0000017	Nykturie	OFFICIAL
HP:0032786	Migrující parciální záchvat	CANDIDATE
HP:0000019	Problém udržet proud moče	OFFICIAL
HP:0000020	Močová inkontinence	OFFICIAL
HP:0000020	Ztráta kontroly močového měchýře	OFFICIAL
HP:0032789	Fokální vědomé chování při záchvatu	CANDIDATE
HP:0032790	Fokální zhoršené povědomí o chování při zadržení záchvatu	CANDIDATE
HP:0000024	Zánět prostaty	OFFICIAL
HP:0000026	Snížená funkce mužské gonády	OFFICIAL
HP:0000027	Nepřítomnost spermií v semenné tekutině	OFFICIAL
HP:0032795	Generalizované myoklonicko-tonicko-klonické křeče	CANDIDATE
HP:0032795	Generalizované křeče s myoklonicko-klonickým záchvatem	CANDIDATE
HP:0032795	Generalizované křeče s myoklonicko-klonickým záchvatem	CANDIDATE
HP:0032795	Generalizované křeče s myoklonicko-klonickým záchvatem	CANDIDATE
HP:0032795	Generalizované křeče s myoklonicko-klonickým záchvatem	CANDIDATE
HP:0032795	Generalizované křeče s myoklonicko-klonickým záchvatem	CANDIDATE
HP:0032795	Generalizované křeče s myoklonicko-klonickým záchvatem	CANDIDATE
HP:0000028	Kryptorchismus	OFFICIAL
HP:0000028	Nesestouplá varlata	OFFICIAL
HP:0000028	Nesestouplé varle	OFFICIAL
HP:0000029	Degenerace varlat	OFFICIAL
HP:0000030	Gonadoblastom, mužský	OFFICIAL
HP:0000033	Obojetný genitál u chlapců	OFFICIAL
HP:0000034	Hydrokéla	OFFICIAL
HP:0000034	Hydrokéla varlete	OFFICIAL
HP:0000035	Anomálie varlat	CANDIDATE
HP:0000036	Abnormalita penisu	CANDIDATE
HP:0000040	Zvětšený penis	OFFICIAL
HP:0032810	Cefalická aura	CANDIDATE
HP:0032810	Fokální záchvat s cefalickým pocitem	CANDIDATE
HP:0032810	Parciální záchvat s cefalickým pocitem	CANDIDATE
HP:0000044	Hypogonadotropní hypogonadismus	CANDIDATE
HP:0000044	Izolovaný hypogonadotropní hypogonadismus	CANDIDATE
HP:0000044	Nízká hladina gonadotropinů (sekundární hypogonadismus)	CANDIDATE
HP:0000046	Hypoplazie skróta	CANDIDATE
HP:0000046	Hypoplazie šourku	CANDIDATE
HP:0000046	Skrótum menší než je obvyklé	CANDIDATE
HP:0032814	Neonatal electroclinical clonic seizure	NOT_TRANSLATED
HP:0000047	Hypospadie	OFFICIAL
HP:0032815	Neonatal electroclinical myoclonic seizure	NOT_TRANSLATED
HP:0000048	rozštěp skrota	OFFICIAL
HP:0000048	skrotální rozštěp	OFFICIAL
HP:0000049	Šálovitý šourek	OFFICIAL
HP:0000049	Skrotum obklopuje penis	OFFICIAL
HP:0000050	Hypoplastické mužské genitálie	OFFICIAL
HP:0000050	Malý mužský zevní genitál	OFFICIAL
HP:0000050	Nedovyvinuté mužské genitálie	OFFICIAL
HP:0000053	Velká varlata	OFFICIAL
HP:0000053	Velké varle	OFFICIAL
HP:0000054	Krátký penis	OFFICIAL
HP:0000054	Malý penis	OFFICIAL
HP:0000055	Abnormální ženský zevní genitál	OFFICIAL
HP:0032823	Neonatal electro-clinical seizure with behaviour arrest	NOT_TRANSLATED
HP:0032823	Neonatal electroclinical seizure with behavioural arrest	NOT_TRANSLATED
HP:0000056	Abnormalita klitoris	OFFICIAL
HP:0032825	Neonatal electroclinical sequential seizure	NOT_TRANSLATED
HP:0000058	Abnormalita labií	CANDIDATE
HP:0000059	Hypoplazie labia majora	OFFICIAL
HP:0000059	Malé velké stydké pysky	OFFICIAL
HP:0000059	Nedostatečně rozvinuté stydké pysky	OFFICIAL
HP:0000060	Hypoplastický klitoris	OFFICIAL
HP:0000060	Malý klitoris	OFFICIAL
HP:0000060	Nedostatečne vyvinutý klitoris	OFFICIAL
HP:0000061	Nejednoznačný genitál kvůli virilizaci	OFFICIAL
HP:0032829	Neonatal electroclinical motor seizure with automatism	NOT_TRANSLATED
HP:0000062	Nejednoznačný zevní genitál	OFFICIAL
HP:0000062	Nejednoznačný zevní genitáli při narození	OFFICIAL
HP:0000062	Intersex genitál	OFFICIAL
HP:0000063	Spojené malé pysky	OFFICIAL
HP:0000064	Nedovyvinuté malé stydké pysky	OFFICIAL
HP:0000065	Zvětšené stydké pysky	CANDIDATE
HP:0000065	Rozšíření stydkých pysků	CANDIDATE
HP:0000066	Hypoplastické stydké pysky	OFFICIAL
HP:0000066	Nedovyvinuté stydké pysky	OFFICIAL
HP:0000068	Absent urethral opening	NOT_TRANSLATED
HP:0000068	Urethral opening absent	NOT_TRANSLATED
HP:0000069	Abnormality ureterů	OFFICIAL
HP:0000069	Anomálie ureteru	OFFICIAL
HP:0000071	Zúžení ureteru	OFFICIAL
HP:0000072	Megaureter	CANDIDATE
HP:0000072	Dilatace ureteru	CANDIDATE
HP:0000073	Zdvojený močovod	OFFICIAL
HP:0000074	Obstrukce pelviureterické junkce	CANDIDATE
HP:0032842	Generalised onset epileptic spasm	NOT_TRANSLATED
HP:0032842	Generalised-onset epileptic spasm	NOT_TRANSLATED
HP:0032842	Generalized onset epileptic spasm	NOT_TRANSLATED
HP:0000075	Nadpočetná ledvina	OFFICIAL
HP:0032843	Focal onset epileptic spasm	NOT_TRANSLATED
HP:0000076	Vezikoureterální reflux	CANDIDATE
HP:0000077	Anomálie ledvin	OFFICIAL
HP:0000078	Abnormality reprodukčního systému	OFFICIAL
HP:0000078	Genitální abnormality	OFFICIAL
HP:0000078	Genitální anomálie	OFFICIAL
HP:0000078	Anomálie genitálu	OFFICIAL
HP:0000079	Abnormality močových cest	OFFICIAL
HP:0000079	Anomálie močových cest	OFFICIAL
HP:0000080	Odchylka od fyziologického genetálu	OFFICIAL
HP:0000080	Fuknční abnormalita genitálu	OFFICIAL
HP:0000081	Zdvojený vývodný sytém	OFFICIAL
HP:0000081	Zdvojený ledvinný vývodný systém	OFFICIAL
HP:0000083	Renální selhání	OFFICIAL
HP:0000083	Renální selhání v dospělosti	OFFICIAL
HP:0000085	Spojené ledviny	OFFICIAL
HP:0000085	Podkovovité ledviny	OFFICIAL
HP:0000085	Ledvina v tvaru podkovy	OFFICIAL
HP:0000086	Abnormální poloha ledviny	OFFICIAL
HP:0000086	Dystopie ledviny	OFFICIAL
HP:0000086	Ektopická ledvina	OFFICIAL
HP:0000086	Ektopické uložení ledviny	OFFICIAL
HP:0032855	Photically induced myoclonic-tonic-clonic seizure	NOT_TRANSLATED
HP:0000089	Hypoplastická ledvina	OFFICIAL
HP:0000089	Hypoplastické ledviny	OFFICIAL
HP:0032857	Fokální motorický záchvat s negativním myoklonem bez poruchy vědomí	CANDIDATE
HP:0000090	juvenilní nefronoftýza	OFFICIAL
HP:0032858	Fokální motorický záchvat s negativním myoklonem a s poruchou vědomí	CANDIDATE
HP:0000091	Abnormalita renálního tubulu	CANDIDATE
HP:0000091	Morfologická abnormalita renálních tubulů	CANDIDATE
HP:0032859	Fokální motorický záchvat s parézou/paralýzou a s poruchou vědomí	CANDIDATE
HP:0000092	Renální tubulární atrofie	CANDIDATE
HP:0032860	Absence status epilepticus	NOT_TRANSLATED
HP:0032860	Generalised non-convulsive status epilepticus without coma	NOT_TRANSLATED
HP:0032860	Petit mal status epilepticus	NOT_TRANSLATED
HP:0000093	Bílkovina v moči	OFFICIAL
HP:0032861	Fokální non-konvulzivní status epilepticus s poruchou vědomí	CANDIDATE
HP:0032862	Focal inhibitory status epilepticus	NOT_TRANSLATED
HP:0000095	Abnormalita morfologie renálního glomerulu	CANDIDATE
HP:0000095	Morfologická abnormalita ledvinového glomerulu	CANDIDATE
HP:0032863	Simple absence status epilepticus	NOT_TRANSLATED
HP:0000096	Renální glomerulární fibróza	CANDIDATE
HP:0000097	Fokální a segmentální skleróza glomerulů	OFFICIAL
HP:0000097	Fokální a segmentální glomeruloskleróza	OFFICIAL
HP:0000097	fokální glomeruloskleróza	OFFICIAL
HP:0000097	FSGS	OFFICIAL
HP:0000098	Zrychlený lineární růst	OFFICIAL
HP:0000098	Zvýšená tělesná výška	OFFICIAL
HP:0000098	Zvýšený lineární růst	OFFICIAL
HP:0000099	Glomerulonefritida	OFFICIAL
HP:0000100	Nefróza	OFFICIAL
HP:0032869	Aura continua	CANDIDATE
HP:0032869	Fokální nekonvulzivní status epilepticus se zachováním vědomí	CANDIDATE
HP:0000103	Zvýšený výdej moči	OFFICIAL
HP:0000104	Nepřítomnost ledviny	OFFICIAL
HP:0000104	Chybějící ledvina	OFFICIAL
HP:0000104	Aplázie ledviny	OFFICIAL
HP:0000105	Zvětšená ledvina	OFFICIAL
HP:0000105	Nefromegalie	OFFICIAL
HP:0000107	Cystická nemoc ledvin	OFFICIAL
HP:0000107	Cystická ledvina	OFFICIAL
HP:0000107	Renální cysty	OFFICIAL
HP:0000108	Kortikomedulární renální cysty	OFFICIAL
HP:0000108	Cystické onemocnění kortikomedulární oblasti ledvin	OFFICIAL
HP:0000110	Dysplastické ledviny	OFFICIAL
HP:0000110	Nedovyvinutí ledvin	OFFICIAL
HP:0000112	Poškození ledvin	OFFICIAL
HP:0000112	Onemocnění ledvin	OFFICIAL
HP:0000112	Nemoc ledvin	OFFICIAL
HP:0000113	Zvětšené polycystické ledviny	OFFICIAL
HP:0000113	Polycystické onemocnění ledvin	OFFICIAL
HP:0000113	Polycystické ledviny	OFFICIAL
HP:0000114	Defekt proximálních tubulů	OFFICIAL
HP:0000114	Proximální renální tubulopatie	OFFICIAL
HP:0000114	Proximální tubulární defekt	OFFICIAL
HP:0000114	Dysfunkce proximálních tubulů	OFFICIAL
HP:0000114	Selektivní proximální tubulární postižení	OFFICIAL
HP:0000117	Snížená renální tubulární reabsorbce fosfátu	OFFICIAL
HP:0000117	Snížené tubulární maximum pro reabsorpci fosfátů k poměru s glomerulární filtrací	OFFICIAL
HP:0000117	Nízká tubularní reabsorpce fosfátů	OFFICIAL
HP:0000118	Orgánová abnormalita	OFFICIAL
HP:0000119	Genitourinální abnormalita	CANDIDATE
HP:0000119	Genitourinální nemoc	CANDIDATE
HP:0000119	Genitourinální dysplazie	CANDIDATE
HP:0000119	Genitourinální anomálie	CANDIDATE
HP:0000119	Malformace urogenitálního traktu	CANDIDATE
HP:0000119	Urogenitální abnormalita	CANDIDATE
HP:0000119	Urogenitální anomálie	CANDIDATE
HP:0032887	Generalised atonic seizure	NOT_TRANSLATED
HP:0000121	Zvýšená hladina vápníku v ledvinách	OFFICIAL
HP:0000121	Nadměrná depozita vápníku v ledvinách	OFFICIAL
HP:0000122	Chybějící ledvina na jedné straně	OFFICIAL
HP:0000122	Nepřítomnost jedné ledviny	OFFICIAL
HP:0000122	Osamocená ledvina	OFFICIAL
HP:0000122	Jednostranná nepřítomnost ledviny	OFFICIAL
HP:0000123	Zánět ledvin	OFFICIAL
HP:0032891	Fokální motorický verzivní záchvat bez poruchy vědomí	CANDIDATE
HP:0000124	Abnormální funkce tubulů jako filtrační struktury v ledvinách	OFFICIAL
HP:0000124	Renální tubulární defekt	OFFICIAL
HP:0000124	Renální tubulární onemocnění	OFFICIAL
HP:0000125	Dystopie ledviny, pánevní	OFFICIAL
HP:0032894	Fever induced seizure	NOT_TRANSLATED
HP:0000127	Ztráta solí močí	OFFICIAL
HP:0000127	Ledvinové plýtvání solí	OFFICIAL
HP:0000127	Nadměrné vylučovaní soli ledvinami	OFFICIAL
HP:0000127	Renální plýtvání solí	OFFICIAL
HP:0000128	Renal K wasting	NOT_TRANSLATED
HP:0000130	Abnormality uteru	OFFICIAL
HP:0000130	Malformace uteru	OFFICIAL
HP:0000131	Benigní děložní leiomyom	OFFICIAL
HP:0000131	Fibroid dělohy	OFFICIAL
HP:0000131	Myom dělohy	OFFICIAL
