subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
HP:0000001	en	fr	rdfs:label	All	OFFICIAL	Tous
HP:0000002	en	fr	rdfs:label	Abnormality of body height	OFFICIAL	Anomalie de la taille corporelle
HP:0000003	en	fr	rdfs:label	Multicystic kidney dysplasia	OFFICIAL	Dysplasie rénale multikystique
HP:0000005	en	fr	rdfs:label	Mode of inheritance	OFFICIAL	Mode de transmission 
HP:0000006	en	fr	rdfs:label	Autosomal dominant inheritance	OFFICIAL	Transmission autosomique dominante
HP:0000006	en	fr	rdfs:label	Autosomal dominant inheritance	OFFICIAL	Transmission autosomique dominante
HP:0000006	en	fr	rdfs:label	Autosomal dominant inheritance	OFFICIAL	Transmission autosomique dominante
HP:0000007	en	fr	rdfs:label	Autosomal recessive inheritance	OFFICIAL	Transmission autosomique récessive
HP:0000008	en	fr	rdfs:label	Abnormality of female internal genitalia	OFFICIAL	Anomalie des organes génitaux internes de la femme
HP:0000009	en	fr	rdfs:label	Functional abnormality of the bladder	OFFICIAL	Anomalie fonctionnelle de la vessie
HP:0000010	en	fr	rdfs:label	Recurrent urinary tract infections	OFFICIAL	Infections urinaires à répétition
HP:0000010	en	fr	rdfs:label	Recurrent urinary tract infections	OFFICIAL	Infections urinaires à répétition
HP:0000011	en	fr	rdfs:label	Neurogenic bladder	OFFICIAL	Vessie neurologique
HP:0000011	en	fr	rdfs:label	Neurogenic bladder	OFFICIAL	Vessie neurologique
HP:0000012	en	fr	rdfs:label	Urinary urgency	OFFICIAL	impériosité mictionnelle
HP:0000013	en	fr	rdfs:label	Hypoplasia of the uterus	OFFICIAL	Hypoplasie utérine
HP:0000013	en	fr	rdfs:label	Hypoplasia of the uterus	OFFICIAL	Hypoplasie utérine
HP:0000014	en	fr	rdfs:label	Abnormality of the bladder	OFFICIAL	Anomalie vésicale
HP:0000015	en	fr	rdfs:label	Bladder diverticulum	OFFICIAL	Diverticule de la vessie
HP:0000016	en	fr	rdfs:label	Urinary retention	OFFICIAL	Rétention urinaire
HP:0000017	en	fr	rdfs:label	Nocturia	OFFICIAL	Nycturie
HP:0000019	en	fr	rdfs:label	Urinary hesitancy	OFFICIAL	Impériosité urinaire
HP:0000020	en	fr	rdfs:label	Urinary incontinence	OFFICIAL	Incontinence urinaire
HP:0000020	en	fr	rdfs:label	Urinary incontinence	OFFICIAL	Incontinence urinaire
HP:0000021	en	fr	rdfs:label	Megacystis	OFFICIAL	Mégavessie
HP:0000022	en	fr	rdfs:label	Abnormality of male internal genitalia	OFFICIAL	Anomalie des organes génitaux internes masculins
HP:0000023	en	fr	rdfs:label	Inguinal hernia	OFFICIAL	Hernie inguinale
HP:0000024	en	fr	rdfs:label	Prostatitis	OFFICIAL	Prostatite
HP:0000025	en	fr	rdfs:label	Functional abnormality of male internal genitalia	OFFICIAL	Anomalie fonctionnelle des organes génitaux internes masculins
HP:0000026	en	fr	rdfs:label	Male hypogonadism	OFFICIAL	Hypogonadisme masculin
HP:0000027	en	fr	rdfs:label	Azoospermia	OFFICIAL	Azoospermie
HP:0000028	en	fr	rdfs:label	Cryptorchidism	OFFICIAL	Cryptorchidie
HP:0000029	en	fr	rdfs:label	Testicular atrophy	OFFICIAL	Atrophie testiculaire
HP:0000030	en	fr	rdfs:label	Testicular gonadoblastoma	OFFICIAL	Gonadoblastome testiculaire
HP:0000031	en	fr	rdfs:label	Epididymitis	OFFICIAL	Epididymite
HP:0000032	en	fr	rdfs:label	Abnormality of male external genitalia	OFFICIAL	Anomalie des organes génitaux masculins externes
HP:0000033	en	fr	rdfs:label	Ambiguous genitalia, male	OFFICIAL	Ambiguïté sexuelle masculine
HP:0000034	en	fr	rdfs:label	Hydrocele testis	OFFICIAL	Hydrocèle testiculaire
HP:0000035	en	fr	rdfs:label	Abnormality of the testis	OFFICIAL	Anomalie des testicules
HP:0000036	en	fr	rdfs:label	Abnormality of the penis	OFFICIAL	Anomalie du pénis
HP:0000037	en	fr	rdfs:label	Male pseudohermaphroditism	OFFICIAL	Pseudohermaphrodisme masculin
HP:0000037	en	fr	rdfs:label	Male pseudohermaphroditism	OFFICIAL	Pseudohermaphrodisme masculin
HP:0000039	en	fr	rdfs:label	Epispadias	OFFICIAL	Epispadias
HP:0000040	en	fr	rdfs:label	Long penis	OFFICIAL	Pénis allongé
HP:0000041	en	fr	rdfs:label	Chordee	OFFICIAL	Chordée pénienne
HP:0000042	en	fr	rdfs:label	Absent external genitalia	OFFICIAL	Organes génitaux externes absents
HP:0000044	en	fr	rdfs:label	Hypogonadotrophic hypogonadism	OFFICIAL	Gonadotrophines basses (hypogonadisme secondaire)
HP:0000044	en	fr	rdfs:label	Hypogonadotrophic hypogonadism	OFFICIAL	Gonadotrophines basses (hypogonadisme secondaire)
HP:0000045	en	fr	rdfs:label	Abnormality of the scrotum	OFFICIAL	Anomalie scrotale
HP:0000046	en	fr	rdfs:label	Scrotal hypoplasia	OFFICIAL	Hypoplasie scrotale
HP:0000047	en	fr	rdfs:label	Hypospadias	OFFICIAL	Hypospadias
HP:0000048	en	fr	rdfs:label	Bifid scrotum	OFFICIAL	Scrotum bifide
HP:0000049	en	fr	rdfs:label	Shawl scrotum	OFFICIAL	Scrotum en châle
HP:0000050	en	fr	rdfs:label	Hypoplastic male external genitalia	OFFICIAL	Appareil génital masculin hypoplasique
HP:0000050	en	fr	rdfs:label	Hypoplastic male external genitalia	OFFICIAL	Appareil génital masculin hypoplasique
HP:0000051	en	fr	rdfs:label	Perineal hypospadias	OFFICIAL	Hypospadias périnéal
HP:0000052	en	fr	rdfs:label	Urethral atresia, male	OFFICIAL	Atrésie urétrale masculine
HP:0000053	en	fr	rdfs:label	Macroorchidism	OFFICIAL	Macroorchidie
HP:0000054	en	fr	rdfs:label	Micropenis	OFFICIAL	Micropénis
HP:0000055	en	fr	rdfs:label	Abnormality of female external genitalia	OFFICIAL	Anomalie des organes génitaux externes féminins
HP:0000056	en	fr	rdfs:label	Abnormality of the clitoris	OFFICIAL	Anomalie du clitoris
HP:0000058	en	fr	rdfs:label	Abnormality of the labia	OFFICIAL	Anomalie des lèvres de la vulve
HP:0000059	en	fr	rdfs:label	Hypoplastic labia majora	OFFICIAL	Hypoplasie des grandes lèvres
HP:0000060	en	fr	rdfs:label	Clitoral hypoplasia	OFFICIAL	Hypoplasie clitoridienne
HP:0000061	en	fr	rdfs:label	Ambiguous genitalia, female	OFFICIAL	Ambiguïté sexuelle féminine
HP:0000062	en	fr	rdfs:label	Ambiguous genitalia	OFFICIAL	Ambiguïté sexuelle
HP:0000063	en	fr	rdfs:label	Fused labia minora	OFFICIAL	Petites lèvres fusionnées
HP:0000064	en	fr	rdfs:label	Hypoplastic labia minora	OFFICIAL	Hypoplasie des petites lèvres
HP:0000065	en	fr	rdfs:label	Labial hypertrophy	OFFICIAL	Hypertrophie labiale
HP:0000066	en	fr	rdfs:label	Labial hypoplasia	OFFICIAL	Hypoplasie labiale
HP:0000067	en	fr	rdfs:label	Urethral atresia, female	OFFICIAL	Atrésie urétrale féminine
HP:0000068	en	fr	rdfs:label	Urethral atresia	OFFICIAL	Atrésie urétrale
HP:0000069	en	fr	rdfs:label	Abnormality of the ureter	OFFICIAL	Anomalie de l'uretère
HP:0000070	en	fr	rdfs:label	Ureterocele	OFFICIAL	Urétérocèle
HP:0000071	en	fr	rdfs:label	Ureteral stenosis	OFFICIAL	Sténose urétérale
HP:0000072	en	fr	rdfs:label	Hydroureter	OFFICIAL	Hydruretère
HP:0000073	en	fr	rdfs:label	Ureteral duplication	OFFICIAL	Duplication uretérale
HP:0000074	en	fr	rdfs:label	Ureteropelvic junction obstruction	OFFICIAL	Obstruction de la jonction pyélo-urétérale
HP:0000075	en	fr	rdfs:label	Renal duplication	OFFICIAL	Duplication rénale
HP:0000076	en	fr	rdfs:label	Vesicoureteral reflux	OFFICIAL	Reflux vésico-urétéral
HP:0000076	en	fr	rdfs:label	Vesicoureteral reflux	OFFICIAL	Reflux vésico-urétéral
HP:0000077	en	fr	rdfs:label	Abnormality of the kidney	OFFICIAL	Anomalie du rein
HP:0000078	en	fr	rdfs:label	Abnormality of the genital system	OFFICIAL	Anomalie du système génital
HP:0000079	en	fr	rdfs:label	Abnormality of the urinary system	OFFICIAL	Anomalie du système urinaire
HP:0000080	en	fr	rdfs:label	Abnormality of reproductive system physiology	OFFICIAL	Anomalie de la physiologie génitale
HP:0000081	en	fr	rdfs:label	Duplicated collecting system	OFFICIAL	Système collecteur rénal dupliqué
HP:0000083	en	fr	rdfs:label	Renal insufficiency	OFFICIAL	Insuffisance rénale
HP:0000085	en	fr	rdfs:label	Horseshoe kidney	OFFICIAL	Rein en fer à cheval
HP:0000086	en	fr	rdfs:label	Ectopic kidney	OFFICIAL	Rein ectopique
HP:0000089	en	fr	rdfs:label	Renal hypoplasia	OFFICIAL	Hypoplasie rénale
HP:0000089	en	fr	rdfs:label	Renal hypoplasia	OFFICIAL	Hypoplasie rénale
HP:0000090	en	fr	rdfs:label	Nephronophthisis	OFFICIAL	Néphronophthise
HP:0000091	en	fr	rdfs:label	Abnormality of the renal tubule	OFFICIAL	Anomalie du tubule rénal
HP:0000092	en	fr	rdfs:label	Tubular atrophy	OFFICIAL	Atrophie tubulaire
HP:0000093	en	fr	rdfs:label	Proteinuria	OFFICIAL	Protéinurie
HP:0000095	en	fr	rdfs:label	Abnormality of renal glomerulus morphology	OFFICIAL	Anomalie morphologique glomérulaire
HP:0000096	en	fr	rdfs:label	Glomerulosclerosis	OFFICIAL	Glomérulosclérose
HP:0000097	en	fr	rdfs:label	Focal segmental glomerulosclerosis	OFFICIAL	Hyalinose segmentaire et focale avec syndrome néphrotique
HP:0000098	en	fr	rdfs:label	Tall stature	OFFICIAL	Grande taille
HP:0000098	en	fr	rdfs:label	Tall stature	OFFICIAL	Grande taille
HP:0000098	en	fr	rdfs:label	Tall stature	OFFICIAL	Grande taille
HP:0000099	en	fr	rdfs:label	Glomerulonephritis	OFFICIAL	Glomérulonéphrite
HP:0000100	en	fr	rdfs:label	Nephrotic syndrome	OFFICIAL	Syndrome néphrotique
HP:0000100	en	fr	rdfs:label	Nephrotic syndrome	OFFICIAL	Syndrome néphrotique
HP:0000100	en	fr	rdfs:label	Nephrotic syndrome	OFFICIAL	Syndrome néphrotique
HP:0000100	en	fr	rdfs:label	Nephrotic syndrome	OFFICIAL	Syndrome néphrotique
HP:0000103	en	fr	rdfs:label	Polyuria	OFFICIAL	Polyurie
HP:0000104	en	fr	rdfs:label	Renal agenesis	OFFICIAL	Agénésie rénale
HP:0000105	en	fr	rdfs:label	Enlarged kidney	OFFICIAL	Reins élargis
HP:0000107	en	fr	rdfs:label	Renal cyst	OFFICIAL	Kyste rénal
HP:0000108	en	fr	rdfs:label	Renal corticomedullary cysts	OFFICIAL	Kystes corticomédullaires
HP:0000110	en	fr	rdfs:label	Renal dysplasia	OFFICIAL	Dysplasie rénale
HP:0000111	en	fr	rdfs:label	Renal juxtaglomerular cell hypertrophy/hyperplasia	OFFICIAL	Hypertrophie/hyperplasie des cellules juxtaglomérulaires
HP:0000112	en	fr	rdfs:label	Nephropathy	OFFICIAL	Néphropathie
HP:0000113	en	fr	rdfs:label	Polycystic kidney dysplasia	OFFICIAL	Dysplasie rénale polykystique
HP:0000113	en	fr	rdfs:label	Polycystic kidney dysplasia	OFFICIAL	Dysplasie rénale polykystique
HP:0000114	en	fr	rdfs:label	Proximal tubulopathy	OFFICIAL	Tubulopathie proximale
HP:0000117	en	fr	rdfs:label	Renal phosphate wasting	OFFICIAL	Perte rénale de phosphates
HP:0000118	en	fr	rdfs:label	Phenotypic abnormality	OFFICIAL	Anomalie phénotypique
HP:0000119	en	fr	rdfs:label	Abnormality of the genitourinary system	OFFICIAL	Anomalie de l'appareil génitourinaire
HP:0000119	en	fr	rdfs:label	Abnormality of the genitourinary system	OFFICIAL	Anomalie de l'appareil génitourinaire
HP:0000121	en	fr	rdfs:label	Nephrocalcinosis	OFFICIAL	Néphrocalcinose
HP:0000122	en	fr	rdfs:label	Unilateral renal agenesis	OFFICIAL	Agénésie rénale unilatérale
HP:0000123	en	fr	rdfs:label	Nephritis	OFFICIAL	Néphrite
HP:0000123	en	fr	rdfs:label	Nephritis	OFFICIAL	Néphrite (chronique héréditaire)
HP:0000124	en	fr	rdfs:label	Renal tubular dysfunction	OFFICIAL	Dysfonction tubulaire rénale
HP:0000125	en	fr	rdfs:label	Pelvic kidney	OFFICIAL	Rein pelvien
HP:0000126	en	fr	rdfs:label	Hydronephrosis	OFFICIAL	Hydronéphrose
HP:0000127	en	fr	rdfs:label	Renal salt wasting	OFFICIAL	Perte rénale de sel
HP:0000128	en	fr	rdfs:label	Renal potassium wasting	OFFICIAL	Perte rénale de potassium
HP:0000130	en	fr	rdfs:label	Abnormality of the uterus	OFFICIAL	Anomalie de l'utérus
HP:0000131	en	fr	rdfs:label	Uterine leiomyoma	OFFICIAL	Léiomyome utérin
HP:0000132	en	fr	rdfs:label	Menorrhagia	OFFICIAL	Ménorragie
HP:0000132	en	fr	rdfs:label	Menorrhagia	OFFICIAL	Ménorragie
HP:0000133	en	fr	rdfs:label	Gonadal dysgenesis	OFFICIAL	Dysgénésie gonadique
HP:0000134	en	fr	rdfs:label	Female hypogonadism	OFFICIAL	Hypogonadisme féminin
HP:0000135	en	fr	rdfs:label	Hypogonadism	OFFICIAL	Hypogonadisme
HP:0000136	en	fr	rdfs:label	Bifid uterus	OFFICIAL	Utérus bifide
HP:0000137	en	fr	rdfs:label	Abnormality of the ovary	OFFICIAL	Anomalie ovarienne
HP:0000138	en	fr	rdfs:label	Ovarian cyst	OFFICIAL	Kyste ovarien
HP:0000139	en	fr	rdfs:label	Uterine prolapse	OFFICIAL	Prolapsus utérin
HP:0000140	en	fr	rdfs:label	Abnormality of the menstrual cycle	OFFICIAL	Anomalie du cycle menstruel
HP:0000141	en	fr	rdfs:label	Amenorrhea	OFFICIAL	Aménorrhée
HP:0000142	en	fr	rdfs:label	Abnormal vagina morphology	OFFICIAL	Anomalie morphologique vaginale
HP:0000143	en	fr	rdfs:label	Rectovaginal fistula	OFFICIAL	Fistule recto-vaginale
HP:0000144	en	fr	rdfs:label	Decreased fertility	OFFICIAL	Diminution de la fertilité
HP:0000145	en	fr	rdfs:label	Transverse vaginal septum	OFFICIAL	Septum vaginal transversal
HP:0000147	en	fr	rdfs:label	Polycystic ovaries	OFFICIAL	Ovaires polykystiques
HP:0000148	en	fr	rdfs:label	Vaginal atresia	OFFICIAL	Atrésie vaginale
HP:0000149	en	fr	rdfs:label	Ovarian gonadoblastoma	OFFICIAL	Gonadoblastome ovarien
HP:0000150	en	fr	rdfs:label	Gonadoblastoma	OFFICIAL	Gonadoblastome
HP:0000151	en	fr	rdfs:label	Aplasia of the uterus	OFFICIAL	Aplasie utérine
HP:0000152	en	fr	rdfs:label	Abnormality of head or neck	OFFICIAL	Anomalie de la tête ou du cou
HP:0000153	en	fr	rdfs:label	Abnormality of the mouth	OFFICIAL	Anomalie de la bouche
HP:0000154	en	fr	rdfs:label	Wide mouth	OFFICIAL	Macrostomie
HP:0000155	en	fr	rdfs:label	Oral ulcer	OFFICIAL	Ulcère buccal
HP:0000157	en	fr	rdfs:label	Abnormality of the tongue	OFFICIAL	Anomalie de la langue
HP:0000158	en	fr	rdfs:label	Macroglossia	OFFICIAL	Macroglossie
HP:0000159	en	fr	rdfs:label	Abnormal lip morphology	OFFICIAL	Anomalie des lèvres
HP:0000160	en	fr	rdfs:label	Narrow mouth	OFFICIAL	Microstomie
HP:0000161	en	fr	rdfs:label	Median cleft lip	OFFICIAL	Fente labiale médiane
HP:0000162	en	fr	rdfs:label	Glossoptosis	OFFICIAL	Glossoptose
HP:0000163	en	fr	rdfs:label	Abnormal oral cavity morphology	OFFICIAL	Anomalie morphologique de la cavité orale
HP:0000164	en	fr	rdfs:label	Abnormality of the dentition	OFFICIAL	Anomalie  dentaires
HP:0000166	en	fr	rdfs:label	Severe periodontitis	OFFICIAL	Périodontite sévère
HP:0000168	en	fr	rdfs:label	Abnormality of the gingiva	OFFICIAL	Anomalie  des gencives
HP:0000169	en	fr	rdfs:label	Gingival fibromatosis	OFFICIAL	Fibromatose gingivale
HP:0000171	en	fr	rdfs:label	Microglossia	OFFICIAL	Microglossie
HP:0000172	en	fr	rdfs:label	Abnormality of the uvula	OFFICIAL	Anomalie de l'uvule palatine
HP:0000174	en	fr	rdfs:label	Abnormal palate morphology	OFFICIAL	Anomalie du palais
HP:0000175	en	fr	rdfs:label	Cleft palate	OFFICIAL	Fente palatine
HP:0000176	en	fr	rdfs:label	Submucous cleft hard palate	OFFICIAL	Fente sous-muqueuse du palais dur
HP:0000176	en	fr	rdfs:label	Submucous cleft hard palate	OFFICIAL	Fente sous-muqueuse du palais dur
HP:0000177	en	fr	rdfs:label	Abnormality of upper lip	OFFICIAL	Anomalie de la lèvre supérieure
HP:0000178	en	fr	rdfs:label	Abnormality of lower lip	OFFICIAL	Anomalie de la lèvre inférieure
HP:0000179	en	fr	rdfs:label	Thick lower lip vermilion	OFFICIAL	Lèvre inférieure épaisse
HP:0000180	en	fr	rdfs:label	Lobulated tongue	OFFICIAL	Langue lobulée
HP:0000182	en	fr	rdfs:label	Movement abnormality of the tongue	OFFICIAL	Mouvements anormaux de la langue
HP:0000183	en	fr	rdfs:label	Difficulty in tongue movements	OFFICIAL	Difficulté dans les mouvements de la langue
HP:0000185	en	fr	rdfs:label	Cleft soft palate	OFFICIAL	Fente du palais mou
HP:0000187	en	fr	rdfs:label	Broad alveolar ridges	OFFICIAL	Crêtes alvéolaires larges
HP:0000188	en	fr	rdfs:label	Short upper lip	OFFICIAL	Lèvre supérieure courte
HP:0000189	en	fr	rdfs:label	Narrow palate	OFFICIAL	Palais étroit
HP:0000190	en	fr	rdfs:label	Abnormal oral frenulum morphology	OFFICIAL	Anomalie morphologique du frein lingual
HP:0000191	en	fr	rdfs:label	Accessory oral frenulum	OFFICIAL	Frein lingual accessoire
HP:0000193	en	fr	rdfs:label	Bifid uvula	OFFICIAL	Luette bifide
HP:0000194	en	fr	rdfs:label	Open mouth	OFFICIAL	Bouche entrouverte
HP:0000196	en	fr	rdfs:label	Lower lip pit	OFFICIAL	Dépression de la lèvre inférieure
