defined_class	defined_class_label	behavior_process	behavior_process_label
HP:0100852	Abnormal fear/anxiety-related behavior	NBO:0000018	fear/anxiety related behavior
HP:0100851	Abnormal emotion/affect behavior	NBO:0000003	emotional behavior
HP:0100738	Abnormal eating behavior	GO:0042755	eating behavior
HP:0100710	Impulsivity	NBO:0000119	impulsive behavior
HP:0100022	Abnormality of movement	NBO:0000403	voluntary movement behavior
HP:0040202	Abnormal consumption behavior	NBO:0001845	consumption behavior
HP:0030082	Abnormal drinking behavior	GO:0042756	drinking behavior
HP:0008768	Inappropriate sexual behavior	NBO:0000605	sexual inhibition
HP:0008760	Violent behavior	NBO:0000120	physical aggression behavior
HP:0007772	Impaired smooth pursuit	NBO:0000446	visual pursuit
HP:0007670	Abnormal vestibulo-ocular reflex	NBO:0000416	vestibulo-ocular reflex
HP:0002033	Poor suck	NBO:0000054	suckling behavior
HP:0000748	Inappropriate laughter	NBO:0000617	laughing behavior
HP:0000739	Anxiety	NBO:0000092	anxiety-related behavior
HP:0000737	Irritability	NBO:0000128	irritability behavior
HP:0000735	Impaired social interactions	NBO:0000011	social behavior
HP:0000719	Inappropriate behavior	NBO:0001786	regulation of behavior
HP:0000718	Aggressive behavior	NBO:0000015	aggressive behavior
HP:0000713	Agitation	NBO:0000129	agitation behavior
HP:0000708	Behavioral abnormality	NBO:0000313	behavior process
HP:0000639	Nystagmus	NBO:0000417	physiologic nystagmus
HP:0000496	Abnormality of eye movement	NBO:0000444	eye movement
