defined_class	defined_class_label	location	location_label	chemical_entity	chemical_entity_label
HP:0500163	Hypoornithinemia	UBERON:0000178	blood	CHEBI:18257	ornithine
HP:0500154	Hypoalaninemia	UBERON:0000178	blood	CHEBI:16449	alanine
HP:0500152	Hypocystinemia	UBERON:0000178	blood	CHEBI:17376	cystine
HP:0500147	Hypoglutaminemia	UBERON:0000178	blood	CHEBI:28300	glutamine
HP:0500145	Hypohistidinemia	UBERON:0000178	blood	CHEBI:27570	histidine
HP:0500144	Hypoisoleucinemia	UBERON:0000178	blood	CHEBI:24898	isoleucine
HP:0500143	Hypoleucinemia	UBERON:0000178	blood	CHEBI:25017	leucine
HP:0500142	Hypolysinemia	UBERON:0000178	blood	CHEBI:25094	lysine
HP:0500141	Hypophenylalaninemia	UBERON:0000178	blood	CHEBI:28044	phenylalanine
HP:0500140	Decreased circulating hydroxyproline concentration	UBERON:0000178	blood	CHEBI:18095	trans-4-hydroxy-L-proline
HP:0500139	Hypoprolinemia	UBERON:0000178	blood	CHEBI:26271	proline
HP:0500136	Hypothreoninemia	UBERON:0000178	blood	CHEBI:26986	threonine
HP:0500135	Hypotryptophanemia	UBERON:0000178	blood	CHEBI:27897	tryptophan
HP:0500133	Hypotyrosinemia	UBERON:0000178	blood	CHEBI:18186	tyrosine
HP:0500132	Hypovalinemia	UBERON:0000178	blood	CHEBI:27266	valine
HP:0410209	Folate deficiency in CSF	UBERON:0001359	cerebrospinal fluid	CHEBI:27470	folic acid
HP:0410190	Decreased glucose-6-phosphate dehydrogenase level in leukocytes	CL:0000738	leukocyte	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410188	Decreased glucose-6-phosphate dehydrogenase level in red blood cells	CL:0000232	erythrocyte	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410187	Decreased glucose-6-phosphate dehydrogenase level in tissue	UBERON:0000479	tissue	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410179	Decreased glucose-6-phosphate dehydrogenase level in blood	UBERON:0000178	blood	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410060	Decreased level of D-mannose in urine	UBERON:0001088	urine	CHEBI:16024	D-mannose
HP:0410056	Decreased level of erythritol in CSF	UBERON:0001359	cerebrospinal fluid	CHEBI:17113	erythritol
HP:0410055	Decreased level of erythritol in urine	UBERON:0001088	urine	CHEBI:17113	erythritol
HP:0410054	Decreased level of GABA in serum	UBERON:0001977	blood serum	CHEBI:16865	gamma-aminobutyric acid
HP:0410050	Decreased level of 1,5 anhydroglucitol in serum	UBERON:0001977	blood serum	CHEBI:16070	1,5-anhydro-D-glucitol
HP:0100507	Reduced blood folate concentration	UBERON:0000178	blood	CHEBI:27470	folic acid
HP:0100493	Hypoammonemia	UBERON:0000178	blood	CHEBI:16134	ammonia
HP:0045061	Decreased carnitine level in liver	UBERON:0002107	liver	CHEBI:17126	carnitine
