defined_class	defined_class_label	location	location_label	chemical_entity	chemical_entity_label
HP:0500167	Hypergastrinemia	UBERON:0000178	blood	PR:000007856	gastrin
HP:0500153	Hyperargininemia	UBERON:0000178	blood	CHEBI:29016	arginine
HP:0500151	Hypercystinemia	UBERON:0000178	blood	CHEBI:17376	cystine
HP:0500138	Hyperserinemia	UBERON:0000178	blood	CHEBI:17822	serine
HP:0500134	Hypertryptophanemia	UBERON:0000178	blood	CHEBI:27897	tryptophan
HP:0410199	Increased CSF urate concentration	UBERON:0001359	cerebrospinal fluid	CHEBI:46819	urate salt
HP:0410191	Increased glucose-6-phosphate dehydrogenase level in leukocytes	CL:0000738	leukocyte	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410189	Increased glucose-6-phosphate dehydrogenase level in red blood cells	CL:0000232	erythrocyte	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410186	Increased glucose-6-phosphate dehydrogenase level in tissue	UBERON:0000479	tissue	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410178	Increased glucose-6-phosphate dehydrogenase level in blood	UBERON:0000178	blood	PR:000007749	glucose-6-phosphate 1-dehydrogenase
HP:0410175	Hyperketonemia	UBERON:0000178	blood	CHEBI:17087	ketone
HP:0410171	Increased cotinine level	UBERON:0000178	blood	CHEBI:68641	(-)-cotinine
HP:0410158	Increased level of O-phosphoethanolamine in urine	UBERON:0001088	urine	CHEBI:17553	O-phosphoethanolamine
HP:0410157	Increased level of N-acetylneuraminic acid in fibroblasts	CL:0000057	fibroblast	CHEBI:17012	N-acetylneuraminic acid
HP:0410156	Increased level of N-acetylneuraminic acid in urine	UBERON:0001088	urine	CHEBI:17012	N-acetylneuraminic acid
HP:0410154	Increased level of myristic acid in serum	UBERON:0001977	blood serum	CHEBI:28875	tetradecanoic acid
HP:0410132	Increased level of L-pyroglutamic acid in urine	UBERON:0001088	urine	CHEBI:18183	5-oxo-L-proline
HP:0410075	Increased level of xylitol in CSF	UBERON:0001359	cerebrospinal fluid	CHEBI:17151	xylitol
HP:0410074	Increased level of xylitol in urine	UBERON:0001088	urine	CHEBI:17151	xylitol
HP:0410073	Increased level of ribose in CSF	UBERON:0001359	cerebrospinal fluid	CHEBI:33942	ribose
HP:0410072	Increased level of ribose in urine	UBERON:0001088	urine	CHEBI:33942	ribose
HP:0410071	Increased level of ribitol in CSF	UBERON:0001359	cerebrospinal fluid	CHEBI:15963	ribitol
HP:0410070	Increased level of ribitol in urine	UBERON:0001088	urine	CHEBI:15963	ribitol
HP:0410069	Increased level of propylene glycol in blood	UBERON:0000178	blood	CHEBI:16997	propane-1,2-diol
HP:0410068	Increased level of L-glutamic acid in blood	UBERON:0000178	blood	CHEBI:16015	L-glutamic acid
HP:0410067	Increased level of L-fucose in urine	UBERON:0001088	urine	CHEBI:18287	L-fucose
HP:0410066	Increased level of hippuric acid in urine	UBERON:0001088	urine	CHEBI:18089	N-benzoylglycine
HP:0410065	Increased level of hippuric acid in blood	UBERON:0000178	blood	CHEBI:18089	N-benzoylglycine
HP:0410064	Increased level of galactitol in red blood cells	CL:0000232	erythrocyte	CHEBI:16813	galactitol
HP:0410063	Increased level of galactonate in red blood cells	CL:0000232	erythrocyte	CHEBI:24148	galactonate
HP:0410062	Increased level of galactitol in urine	UBERON:0001088	urine	CHEBI:16813	galactitol
HP:0410061	Increased level of galactitol in plasma	UBERON:0001969	blood plasma	CHEBI:16813	galactitol
HP:0410059	Increased level of D-threitol in urine	UBERON:0001088	urine	CHEBI:48300	D-threitol
HP:0410058	Increased level of D-threitol in CSF	UBERON:0001359	cerebrospinal fluid	CHEBI:48300	D-threitol
HP:0410057	Increased level of D-threitol in plasma	UBERON:0001969	blood plasma	CHEBI:48300	D-threitol
HP:0410053	Increased level of GABA in serum	UBERON:0001977	blood serum	CHEBI:16865	gamma-aminobutyric acid
HP:0410052	Increased level of allantoin in serum	UBERON:0001977	blood serum	CHEBI:15676	allantoin
HP:0410051	Increased level of 3-hydroxy-3-methylglutaric acid in urine	UBERON:0001088	urine	CHEBI:16831	3-hydroxy-3-methylglutaric acid
HP:0045034	Elevated urinary aminoisobutyric acid	UBERON:0001088	urine	CHEBI:27389	3-aminoisobutyric acid
HP:0045016	Elevated serum long-chain fatty acids	UBERON:0001977	blood serum	CHEBI:15904	long-chain fatty acid
HP:0040302	Hyperglycerolemia	UBERON:0000178	blood	CHEBI:17754	glycerol
HP:0040301	Increased urinary glycerol	UBERON:0001088	urine	CHEBI:17754	glycerol
HP:0040208	Elevated CSF biopterin level	UBERON:0001359	cerebrospinal fluid	CHEBI:22881	biopterins
HP:0040204	Elevated CSF neopterin level	UBERON:0001359	cerebrospinal fluid	CHEBI:25500	neopterins
HP:0040156	Elevated urinary carboxylic acid	UBERON:0001088	urine	CHEBI:33575	carboxylic acid
HP:0040155	Elevated urinary 3-hydroxybutyric acid	UBERON:0001088	urine	CHEBI:20067	3-hydroxybutyric acid
HP:0032164	Increased blood folate concentration	UBERON:0000178	blood	CHEBI:27470	folic acid
HP:0031793	Increased serum leptin	UBERON:0000178	blood	PR:000009758	leptin
HP:0031211	Elevated cholesterol ester level	UBERON:0000178	blood	CHEBI:17002	cholesteryl ester
HP:0031137	Storage in hepatocytes	CL:0000182	hepatocyte	CHEBI:50860	organic molecular entity
HP:0030088	Increased serum testosterone level	UBERON:0000178	blood	CHEBI:17347	testosterone
HP:0025550	Elevated circulating ribitol concentration	UBERON:0000178	blood	CHEBI:15963	ribitol
HP:0025376	Hyperglutaminuria	UBERON:0001088	urine	CHEBI:28300	glutamine
HP:0012655	Elevated CSF dopamine level	UBERON:0001359	cerebrospinal fluid	CHEBI:18243	dopamine
HP:0012613	Increased urinary sulfate	UBERON:0001088	urine	CHEBI:16189	sulfate
HP:0012611	Increased urinary urate	UBERON:0001088	urine	CHEBI:46819	urate salt
HP:0012605	Hypernatriuria	UBERON:0001088	urine	CHEBI:29101	sodium(1+)
HP:0012592	Albuminuria	UBERON:0001088	urine	PR:000003918	serum albumin
HP:0012556	Hyperbetaalaninemia	UBERON:0000178	blood	CHEBI:16958	beta-alanine
HP:0012406	Hypercitraturia	UBERON:0001088	urine	CHEBI:16947	citrate(3-)
HP:0012402	Increased urine alpha-ketoglutarate concentration	UBERON:0001088	urine	CHEBI:30915	2-oxoglutaric acid
HP:0012237	Urocanic aciduria	UBERON:0001088	urine	CHEBI:27248	urocanic acid
HP:0012236	Elevated sweat chloride	UBERON:0001089	sweat	CHEBI:17996	chloride
HP:0012217	Increased urinary porphobilinogen	UBERON:0001088	urine	CHEBI:17381	porphobilinogen
HP:0012202	Increased serum bile acid concentration	UBERON:0000178	blood	CHEBI:3098	bile acid
HP:0012187	Increased erythrocyte protoporphyrin concentration	CL:0000232	erythrocyte	CHEBI:26361	protoporphyrins
HP:0012184	Increased HDL cholesterol concentration	UBERON:0000178	blood	CHEBI:47775	high-density lipoprotein cholesterol
HP:0012127	Uraciluria	UBERON:0001088	urine	CHEBI:17568	uracil
HP:0012120	Methylmalonic aciduria	UBERON:0001088	urine	CHEBI:30860	methylmalonic acid
HP:0012117	Hyperalbuminemia	UBERON:0000178	blood	PR:000003918	serum albumin
HP:0012070	Chondroitin sulfate excretion in urine	UBERON:0001088	urine	CHEBI:37397	chondroitin sulfate
HP:0012069	Keratan sulfate excretion in urine	UBERON:0001088	urine	CHEBI:60924	keratan sulfate
HP:0012067	Glycopeptiduria	UBERON:0001088	urine	CHEBI:24396	glycopeptide
HP:0012066	Increased urinary disaccharide excretion	UBERON:0001088	urine	CHEBI:36233	disaccharide
HP:0012030	Increased urinary cortisol level	UBERON:0001088	urine	CHEBI:17650	cortisol
HP:0012026	Hyperornithinemia	UBERON:0000178	blood	CHEBI:18257	ornithine
HP:0012024	Hypergalactosemia	UBERON:0000178	blood	CHEBI:28260	galactose
HP:0012023	Galactosuria	UBERON:0001088	urine	CHEBI:28260	galactose
HP:0011979	Elevated urinary dopamine	UBERON:0001088	urine	CHEBI:18243	dopamine
HP:0011978	Elevated urinary vanillylmandelic acid	UBERON:0001088	urine	CHEBI:20106	vanillylmandelic acid
HP:0011977	Elevated urinary homovanillic acid	UBERON:0001088	urine	CHEBI:545959	homovanillic acid
HP:0011976	Elevated urinary catecholamines	UBERON:0001088	urine	CHEBI:33567	catecholamine
HP:0011969	Elevated circulating luteinizing hormone level	UBERON:0000178	blood	CHEBI:81568	Luteinizing hormone
HP:0011966	Elevated plasma citrulline	UBERON:0001969	blood plasma	CHEBI:18211	citrulline
HP:0011943	Increased urinary thiosulfate	UBERON:0001088	urine	CHEBI:16094	thiosulfate(2-)
HP:0011864	Elevated plasma pyrophosphate	UBERON:0001969	blood plasma	CHEBI:18361	diphosphate(4-)
HP:0011814	Increased urinary hypoxanthine	UBERON:0001088	urine	CHEBI:17368	hypoxanthine
HP:0011788	Increased serum free triiodothyronine	UBERON:0000178	blood	CHEBI:18258	3,3',5-triiodo-L-thyronine
HP:0011423	Hyperchloremia	UBERON:0000178	blood	CHEBI:17996	chloride
HP:0010980	Hyperlipoproteinemia	UBERON:0000178	blood	CHEBI:50404	lipoprotein cholesterol
HP:0010934	Xanthinuria	UBERON:0001088	urine	CHEBI:15318	xanthine
HP:0010913	Hyperisoleucinemia	UBERON:0000178	blood	CHEBI:24898	isoleucine
HP:0010911	Hyperleucinemia	UBERON:0000178	blood	CHEBI:25017	leucine
HP:0010910	Hypervalinemia	UBERON:0000178	blood	CHEBI:27266	valine
HP:0010906	Hyperhistidinemia	UBERON:0000178	blood	CHEBI:27570	histidine
HP:0010896	Hypersarcosinemia	UBERON:0000178	blood	CHEBI:15611	sarcosine
HP:0010679	Elevated tissue non-specific alkaline phosphatase	UBERON:0000479 	blood	PR:000003968	alkaline phosphatase, tissue-nonspecific isozyme
HP:0010571	Elevated levels of phytanic acid	UBERON:0000178	blood	CHEBI:16285	phytanic acid
HP:0010569	Elevated 7-dehydrocholesterol	UBERON:0000178	blood	CHEBI:17759	cholesta-5,7-dien-3beta-ol
HP:0010473	Porphyrinuria	UBERON:0001088	urine	CHEBI:26214	porphyrins
HP:0010471	Oligosacchariduria	UBERON:0001088	urine	CHEBI:50699	oligosaccharide
HP:0009058	Increased muscle lipid content	UBERON:0001630	muscle organ	CHEBI:18059	lipid
HP:0009051	Increased muscle glycogen content	UBERON:0001630	muscle organ	CHEBI:28087	glycogen
HP:0008358	Hyperprolinemia	UBERON:0000178	blood	CHEBI:26271	proline
HP:0008344	Elevated plasma branched chain amino acids	UBERON:0001969	blood plasma	CHEBI:22918	branched-chain amino acid
HP:0008339	Diaminoaciduria	UBERON:0001088	urine	CHEBI:35987	diamino acid
HP:0008301	Dermatan sulfate excretion in urine	UBERON:0001088	urine	CHEBI:18376	dermatan sulfate
HP:0008247	Euthyroid hyperthyroxinemia	UBERON:0000178	blood	CHEBI:30660	thyroxine
HP:0008155	Mucopolysacchariduria	UBERON:0001088	urine	CHEBI:37395	mucopolysaccharide
HP:0006568	Increased hepatic glycogen content	UBERON:0002107	liver	CHEBI:28087	glycogen
HP:0006561	Lipid accumulation in hepatocytes	CL:0000182	hepatocyte	CHEBI:18059	lipid
HP:0004923	Hyperphenylalaninemia	UBERON:0000178	blood	CHEBI:28044	phenylalanine
HP:0004368	Increased purine level	UBERON:0000178	blood	CHEBI:26401	purines
HP:0003646	Bicarbonaturia	UBERON:0001088	urine	CHEBI:17544	hydrogencarbonate
HP:0003641	Hemoglobinuria	UBERON:0001088	urine	CHEBI:35143	hemoglobin
HP:0003639	Elevated urinary epinephrine	UBERON:0001088	urine	CHEBI:33568	adrenaline
HP:0003614	Trimethylaminuria	UBERON:0001088	urine	CHEBI:18139	trimethylamine
HP:0003607	4-Hydroxyphenylacetic aciduria	UBERON:0001088	urine	CHEBI:18101	4-hydroxyphenylacetic acid
HP:0003566	Increased serum prostaglandin E2	UBERON:0001977	blood serum	CHEBI:15551	prostaglandin E2
HP:0003542	Increased serum pyruvate	UBERON:0001977	blood serum	CHEBI:15361	pyruvate
HP:0003541	Urinary glycosaminoglycan excretion	UBERON:0001088	urine	CHEBI:18085	glycosaminoglycan
HP:0003532	Ornithinuria	UBERON:0001088	urine	CHEBI:18257	ornithine
HP:0003530	Glutaric acidemia	UBERON:0000178	blood	CHEBI:17859	glutaric acid
HP:0003528	Elevated calcitonin	UBERON:0000178	blood	PR:000027222	calcitonin
HP:0003527	Hyperprostaglandinuria	UBERON:0001088	urine	CHEBI:26333	prostaglandin
HP:0003491	Elevated urine pyrophosphate	UBERON:0001088	urine	CHEBI:18361	diphosphate(4-)
