defined_class	defined_class_label	behavior_process	behavior_process_label
HP:0010821	Gelastic seizures	NBO:0000738	gelastic epilepsy
HP:0010820	Dacrystic seizures	NBO:0000739	dacrystic epilepsy
HP:0010819	Atonic seizures	NBO:0000670	atonic seizure
HP:0010529	Echolalia	NBO:0000623	echolalia
HP:0007359	Focal-onset seizure	NBO:0000646	partial seizure
HP:0007334	Generalized tonic-clonic seizures with focal onset	NBO:0000663	partial seizure evolving to secondarily generalized seizure
HP:0007270	Atypical absence seizure	NBO:0000702	atypical absence seizure
HP:0006813	Hemiclonic seizures	NBO:0000731	hemiclonic seizure
HP:0003763	Bruxism	NBO:0000420	bruxism
HP:0002384	Focal impaired awareness seizure	NBO:0000648	complex partial seizure
HP:0002373	Febrile seizures	NBO:0000678	febrile seizure
HP:0002354	Memory impairment	NBO:0000606	forgetfulness
HP:0002349	Focal aware seizure	NBO:0000647	simple partial seizure
HP:0002300	Mutism	NBO:0000621	selective mutism
HP:0002266	Focal clonic seizures	NBO:0000651	simple partial seizure with motor signs
HP:0002199	Hypocalcemic seizures	NBO:0000735	hypocalcemia induced seizure
HP:0002179	Opisthotonus	NBO:0000586	opisthotonus
HP:0002173	Hypoglycemic seizures	NBO:0000712	hypoglycemia induced seizure
HP:0002133	Status epilepticus	NBO:0000690	status epilepticus
HP:0002121	Absence seizure	NBO:0000669	absence seizures
HP:0001959	Polydipsia	NBO:0000542	polydipsia
HP:0001337	Tremor	NBO:0000589	tremor
HP:0001332	Dystonia	NBO:0000598	dystonia
HP:0001327	Photomyoclonic seizures	NBO:0000737	photostimulation induced seizure
HP:0001251	Ataxia	NBO:0000590	ataxia
HP:0000746	Delusions	NBO:0000603	delusion
HP:0000744	Low frustration tolerance	NBO:0000620	frustration behavior
HP:0000741	Apathy	NBO:0000602	apathy
HP:0000738	Hallucinations	NBO:0000608	hallucination
HP:0000733	Stereotypy	NBO:0000567	stereotypic behavior
HP:0000716	Depressivity	NBO:0000515	depressive disorder
