defined_class	defined_class_label	biological_process	biological_process_label
HP:0410192	Abnormal uridine diphosphate glucose-4-epimerase activity	GO:0003978	UDP-glucose 4-epimerase activity
HP:0410035	Abnormal T cell activation	GO:0042110	T cell activation
HP:0100831	Abnormality of vitamin K metabolism	GO:0042373	vitamin K metabolic process
HP:0100755	Abnormality of salivation	GO:0046541	saliva secretion
HP:0100529	Abnormality of phosphate homeostasis	GO:0055062	phosphate ion homeostasis
HP:0100514	Abnormality of vitamin E metabolism	GO:0042360	vitamin E metabolic process
HP:0100511	Abnormality of vitamin D metabolism	GO:0042359	vitamin D metabolic process
HP:0100509	Abnormality of vitamin C metabolism	GO:0019852	L-ascorbic acid metabolic process
HP:0100508	Abnormality of vitamin metabolism	GO:0006766	vitamin metabolic process
HP:0045005	Neural tube defect	GO:0001843	neural tube closure
HP:0040012	Chromosome breakage	GO:0031052	chromosome breakage
HP:0031406	Abnormal cytokine signaling	GO:0019221	cytokine-mediated signaling pathway
HP:0012875	Abnormal ejaculation	GO:0042713	sperm ejaculation
HP:0012647	Abnormal inflammatory response	GO:0006954	inflammatory response
HP:0012590	Abnormal urine output	GO:0060073	micturition
HP:0012535	Abnormal synaptic transmission	GO:0007268	chemical synaptic transmission
HP:0012447	Abnormal myelination	GO:0042552	myelination
HP:0012359	Abnormal fucosylation of O-linked protein glycosylation	GO:0036066	protein O-linked fucosylation
HP:0012358	Abnormal protein O-linked glycosylation	GO:0006493	protein O-linked glycosylation
HP:0012347	Abnormal protein N-linked glycosylation	GO:0006487	protein N-linked glycosylation
HP:0012346	Abnormal protein glycosylation	GO:0006486	protein glycosylation
HP:0012345	Abnormal glycosylation	GO:0070085	glycosylation
HP:0012278	Abnormality of serine metabolism	GO:0006563	L-serine metabolic process
HP:0012113	Abnormality of creatine metabolism	GO:0006600	creatine metabolic process
HP:0012025	Abnormality of ornithine metabolism	GO:0006591	ornithine metabolic process
HP:0011965	Abnormality of citrulline metabolism	GO:0000052	citrulline metabolic process
HP:0011422	Abnormality of chloride homeostasis	GO:0055064	chloride ion homeostasis
HP:0011400	Abnormal CNS myelination	GO:0022010	central nervous system myelination
HP:0011115	Abnormality of chemokine secretion	GO:0090195	chemokine secretion
HP:0011113	Abnormality of cytokine secretion	GO:0050663	cytokine secretion
HP:0011038	Abnormality of renal resorption	GO:0070293	renal absorption
HP:0011036	Abnormality of renal excretion	GO:0003014	renal system process
HP:0011032	Abnormality of fluid regulation	GO:0050878	regulation of body fluid levels
HP:0011028	Abnormality of blood circulation	GO:0008015	blood circulation
HP:0011023	Abnormality of prostaglandin metabolism	GO:0006693	prostaglandin metabolic process
HP:0011022	Abnormality of unsaturated fatty acid metabolism	GO:0033559	unsaturated fatty acid metabolic process
HP:0011020	Abnormality of mucopolysaccharide metabolism	GO:1903510	mucopolysaccharide metabolic process
HP:0011019	Abnormality of chromosome condensation	GO:0030261	chromosome condensation
HP:0011018	Abnormality of the cell cycle	GO:0007049	cell cycle
HP:0011014	Abnormal glucose homeostasis	GO:0042593	glucose homeostasis
HP:0011013	Abnormality of carbohydrate metabolism/homeostasis	GO:0005975	carbohydrate metabolic process
HP:0011012	Abnormality of polysaccharide metabolism	GO:0005976	polysaccharide metabolic process
HP:0010996	Abnormality of monocarboxylic acid metabolism	GO:0032787	monocarboxylic acid metabolic process
HP:0010995	Abnormality of dicarboxylic acid metabolism	GO:0043648	dicarboxylic acid metabolic process
HP:0010990	Abnormality of the common coagulation pathway	GO:0072377	blood coagulation, common pathway
HP:0010989	Abnormality of the intrinsic pathway	GO:0007597	blood coagulation, intrinsic pathway
HP:0010988	Abnormality of the extrinsic pathway	GO:0007598	blood coagulation, extrinsic pathway
HP:0010969	Abnormality of glycolipid metabolism	GO:0006664	glycolipid metabolic process
HP:0010968	Abnormality of liposaccharide metabolism	GO:1903509	liposaccharide metabolic process
HP:0010967	Abnormality of carnitine metabolism	GO:0009437	carnitine metabolic process
HP:0010964	Abnormality of long-chain fatty-acid metabolism	GO:0001676	long-chain fatty acid metabolic process
HP:0010933	Abnormality of xanthine metabolism	GO:0046110	xanthine metabolic process
HP:0010932	Abnormality of nucleobase metabolism	GO:0009112	nucleobase metabolic process
HP:0010930	Abnormality of monovalent inorganic cation homeostasis	GO:0055067	monovalent inorganic cation homeostasis
HP:0010929	Abnormality of cation homeostasis	GO:0055080	cation homeostasis
HP:0010928	Abnormality of orotic acid metabolism	GO:1903511	orotic acid metabolic process
HP:0010927	Abnormality of divalent inorganic cation homeostasis	GO:0072507	divalent inorganic cation homeostasis
HP:0010919	Abnormality of homocysteine metabolism	GO:0050667	homocysteine metabolic process
HP:0010918	Abnormality of cysteine metabolism	GO:0006534	cysteine metabolic process
HP:0010917	Abnormality of tyrosine metabolism	GO:0006570	tyrosine metabolic process
HP:0010914	Abnormality of valine metabolism	GO:0006573	valine metabolic process
HP:0010912	Abnormality of isoleucine metabolism	GO:0006549	isoleucine metabolic process
HP:0010909	Abnormality of arginine metabolism	GO:0006525	arginine metabolic process
HP:0010908	Abnormality of lysine metabolism	GO:0006553	lysine metabolic process
HP:0010907	Abnormality of proline metabolism	GO:0006560	proline metabolic process
HP:0010904	Abnormality of histidine metabolism	GO:0006547	histidine metabolic process
HP:0010903	Abnormality of glutamine metabolism	GO:0006541	glutamine metabolic process
HP:0010902	Abnormality of glutamine family amino acid metabolism	GO:0009064	glutamine family amino acid metabolic process
HP:0010901	Abnormality of methionine metabolism	GO:0006555	methionine metabolic process
HP:0010900	Abnormality of threonine metabolism	GO:0006566	threonine metabolic process
HP:0010899	Abnormality of aspartate family amino acid metabolism	GO:0009066	aspartate family amino acid metabolic process
HP:0010898	Abnormality of sarcosine metabolism	GO:1901052	sarcosine metabolic process
HP:0010895	Abnormality of glycine metabolism	GO:0006544	glycine metabolic process
HP:0010894	Abnormality of serine family amino acid metabolism	GO:0009069	serine family amino acid metabolic process
HP:0010893	Abnormality of phenylalanine metabolism	GO:0006558	L-phenylalanine metabolic process
HP:0010892	Abnormality of branched chain family amino acid metabolism	GO:0009081	branched-chain amino acid metabolic process
HP:0010472	Abnormality of the heme biosynthetic pathway	GO:0006783	heme biosynthetic process
HP:0008372	Abnormality of vitamin A metabolism	GO:0006776	vitamin A metabolic process
HP:0008277	Abnormality of zinc homeostasis	GO:0055069	zinc ion homeostasis
HP:0004379	Abnormality of alkaline phosphatase activity	GO:0004035	alkaline phosphatase activity
HP:0004370	Abnormality of temperature regulation	GO:0001659	temperature homeostasis
HP:0004365	Abnormality of tryptophan metabolism	GO:0006568	tryptophan metabolic process
HP:0004363	Abnormality of calcium homeostasis	GO:0055074	calcium ion homeostasis
HP:0004359	Abnormality of fatty-acid metabolism	GO:0006631	fatty acid metabolic process
HP:0004358	Abnormality of superoxide metabolism	GO:0006801	superoxide metabolic process
HP:0004357	Abnormality of leucine metabolism	GO:0006551	leucine metabolic process
HP:0004355	Abnormality of proteoglycan metabolism	GO:0006029	proteoglycan metabolic process
HP:0004354	Abnormality of carboxylic acid metabolism	GO:0019752	carboxylic acid metabolic process
HP:0004353	Abnormality of pyrimidine metabolism	GO:0006206	pyrimidine nucleobase metabolic process
HP:0004352	Abnormality of purine metabolism	GO:0006144	purine nucleobase metabolic process
HP:0004345	Abnormality of ganglioside metabolism	GO:0001573	ganglioside metabolic process
HP:0004343	Abnormality of glycosphingolipid metabolism	GO:0006687	glycosphingolipid metabolic process
HP:0004341	Abnormality of vitamin B12 metabolism	GO:0009235	cobalamin metabolic process
HP:0004339	Abnormality of sulfur amino acid metabolism	GO:0000096	sulfur amino acid metabolic process
HP:0004338	Abnormality of aromatic amino acid family metabolism	GO:0009072	aromatic amino acid family metabolic process
HP:0004337	Abnormality of amino acid metabolism	GO:0006520	cellular amino acid metabolic process
HP:0004305	Involuntary movements	GO:0003010	voluntary skeletal muscle contraction
HP:0003540	Impaired platelet aggregation	GO:0070527	platelet aggregation
HP:0003464	Abnormal cholesterol homeostasis	GO:0042632	cholesterol homeostasis
HP:0003254	Abnormality of DNA repair	GO:0006281	DNA repair
HP:0003130	Abnormal peripheral myelination	GO:0022011	myelination in peripheral nervous system
HP:0002269	Abnormality of neuronal migration	GO:0001764	neuron migration
HP:0002101	Abnormal lung lobation	GO:0060464	lung lobe formation
HP:0002024	Malabsorption	GO:0050892	intestinal absorption
HP:0001507	Growth abnormality	GO:0040007	growth
HP:0000816	Abnormality of Krebs cycle metabolism	GO:0072350	tricarboxylic acid metabolic process
HP:0000504	Abnormality of vision	GO:0007601	visual perception
HP:0000140	Abnormality of the menstrual cycle	GO:0042703	menstruation
