defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	Unnamed: 4
HP:0100682	Tracheal atresia	UBERON:0003126	trachea	
HP:0040117	Atresia of the Eustachian tube	UBERON:0002393	pharyngotympanic tube	
HP:0030715	Bronchial atresia	UBERON:0002185	bronchus	
HP:0025023	Rectal atresia	UBERON:0001052	rectum	
HP:0011102	Ileal atresia	UBERON:0002116	ileum	
HP:0011100	Intestinal atresia	UBERON:0000160	intestine	
HP:0010883	Aortic valve atresia	UBERON:0002137	aortic valve	
HP:0010643	Midnasal atresia	UBERON:0004110	midnasal cavity	
HP:0010448	Colonic atresia	UBERON:0001155	colon	
HP:0008750	Laryngeal atresia	UBERON:0001737	larynx	
HP:0007820	Atretic lacrimal punctum	UBERON:0010284	lacrimal punctum	
HP:0005999	Ureteral atresia	UBERON:0000056	ureter	
HP:0005912	Biliary atresia	UBERON:0001173	biliary tree	
HP:0005248	Intrahepatic biliary atresia	UBERON:0003704	intrahepatic bile duct	
HP:0005242	Extrahepatic biliary duct atresia	UBERON:0003703	extrahepatic bile duct	
HP:0005235	Jejunal atresia	UBERON:0002115	jejunum	
HP:0004935	Pulmonary artery atresia	UBERON:0002012	pulmonary artery	
HP:0004496	Posterior choanal atresia	UBERON:0004771	posterior nasal aperture	
HP:0004496	Posterior choanal atresia	UBERON:0004771	posterior nasal aperture	
HP:0004399	Congenital pyloric atresia	UBERON:0001166	pylorus	
HP:0002589	Gastrointestinal atresia	UBERON:0005409	alimentary part of gastrointestinal system	
HP:0002247	Duodenal atresia	UBERON:0002114	duodenum	
HP:0002032	Esophageal atresia	UBERON:0001043	esophagus	
HP:0002023	Anal atresia	UBERON:0001245	anus	
HP:0000564	Lacrimal duct atresia	UBERON:0001850	lacrimal drainage system	
HP:0000453	Choanal atresia	UBERON:0010425	internal naris	
HP:0000413	Atresia of the external auditory canal	UBERON:0001352	external acoustic meatus	
HP:0000148	Vaginal atresia	UBERON:0000996	vagina	
HP:0000068	Urethral atresia	UBERON:0000057	urethra	
