defined_class	defined_class_label	chemical_entity	chemical_entity_label
HP:0410171	Increased cotinine level	CHEBI:68641	(-)-cotinine
HP:0010682	Elevated placental alkaline phosphatase	PR:000003969	alkaline phosphatase, placental type
HP:0010681	Elevated intestinal alkaline phosphatase	PR:000003964	intestinal alkaline phosphatase
HP:0010571	Elevated levels of phytanic acid	CHEBI:16285	phytanic acid
HP:0008247	Euthyroid hyperthyroxinemia	CHEBI:30660	thyroxine
HP:0006254	Elevated alpha-fetoprotein	PR:000003809	alpha-fetoprotein
HP:0004368	Increased purine level	CHEBI:26401	purines
HP:0003155	Elevated alkaline phosphatase	PR:000003968	alkaline phosphatase, tissue-nonspecific isozyme
HP:0001900	Increased hemoglobin	CHEBI:35143	hemoglobin
HP:0000870	Prolactin excess	PR:000013246	prolactin
