defined_class	defined_class_label	entity	entity_label
HP:0200007	Abnormal size of the palpebral fissures	UBERON:0001819	palpebral fissure
HP:0100887	Abnormality of globe size	UBERON:0010230	eyeball of camera-type eye
HP:0040257	Abnormal size of nasopharyngeal adenoids	UBERON:0001732	pharyngeal tonsil
HP:0040252	Abnormal size of the clitoris	UBERON:0002411	clitoris
HP:0040220	Abnormal size the dental root	UBERON:0003677	tooth root
HP:0012767	Abnormal placental size	UBERON:0001987	placenta
HP:0012693	Abnormal thalamic size	UBERON:0004703	dorsal thalamus
HP:0012504	Abnormal size of pituitary gland	UBERON:0000007	pituitary gland
HP:0012084	Abnormality of skeletal muscle fiber size	CL:0008002	skeletal muscle fiber
HP:0011337	Abnormality of mouth size	UBERON:0000165	mouth
HP:0004823	Anisopoikilocytosis	CL:0000232	erythrocyte
HP:0001120	Abnormality of corneal size	UBERON:0000964	cornea
HP:0000240	Abnormality of skull size	UBERON:0003129	skull
