defined_class	defined_class_label	location	location_label	chemical_entity	chemical_entity_label
HP:0500117	Abnormal CSF urate concentration	UBERON:0001359	cerebrospinal fluid	CHEBI:46819	urate salt
HP:0500012	Abnormality of gonadotropin-releasing hormone level	UBERON:0000178	blood	CHEBI:5520	gonadorelin
HP:0045056	Abnormal levels of alpha-fetoprotein	UBERON:0000178	blood	PR:000003809	alpha-fetoprotein
HP:0040210	Abnormal circulating biopterin concentration	UBERON:0000178	blood	CHEBI:22881	biopterins
HP:0040206	Abnormal circulating neopterin concentration	UBERON:0000178	blood	CHEBI:25500	neopterins
HP:0040203	Abnormal CSF neopterin level	UBERON:0001359	cerebrospinal fluid	CHEBI:25500	neopterins
HP:0040085	Abnormal circulating aldosterone	UBERON:0000178	blood	CHEBI:27584	aldosterone
HP:0030345	Abnormal circulating luteinizing hormone level	UBERON:0000178	blood	CHEBI:81568	Luteinizing hormone
HP:0030089	Abnormal muscle fiber protein expression	CL:0008002	skeletal muscle fiber 	PR:000000001	protein
HP:0030085	Abnormal CSF lactate level	UBERON:0001359	cerebrospinal fluid	CHEBI:24996	lactate
HP:0012654	Abnormal CSF dopamine level	UBERON:0001359	cerebrospinal fluid	CHEBI:18243	dopamine
HP:0012612	Abnormal urinary sulfate concentration	UBERON:0001088	urine	CHEBI:16189	sulfate
HP:0012610	Abnormality of urinary uric acid concentration	UBERON:0001088	urine	CHEBI:27226	uric acid
HP:0012600	Abnormal urine chloride concentration	UBERON:0001088	urine	CHEBI:17996	chloride
HP:0012599	Abnormal urine phosphate concentration	UBERON:0001088	urine	CHEBI:26020	phosphate
HP:0012404	Abnormal urine citrate concentration	UBERON:0001088	urine	CHEBI:16947	citrate(3-)
HP:0012401	Abnormal urine alpha-ketoglutarate concentration	UBERON:0001088	urine	CHEBI:30915	2-oxoglutaric acid
HP:0012269	Abnormal muscle glycogen content	UBERON:0001630	muscle organ	CHEBI:28087	glycogen
HP:0012112	Abnormality of circulating corticosterone level	UBERON:0000178	blood	CHEBI:16827	corticosterone
HP:0012111	Abnormality of circulating glucocorticoid level	UBERON:0000178	blood	CHEBI:24261	glucocorticoid
HP:0012100	Abnormal circulating creatinine level	UBERON:0000178	blood	CHEBI:16737	creatinine
HP:0012099	Abnormality of circulating catecholamine level	UBERON:0000178	blood	CHEBI:33567	catecholamine
HP:0012073	Abnormal urinary acylglycine profile	UBERON:0001088	urine	CHEBI:16180	N-acylglycine
HP:0011731	Abnormality of circulating cortisol level	UBERON:0000178	blood	CHEBI:17650	cortisol
HP:0011281	Abnormality of urine catecholamine concentration	UBERON:0001088	urine	CHEBI:33567	catecholamine
HP:0011279	Abnormality of urine bicarbonate concentration	UBERON:0001088	urine	CHEBI:17544	hydrogencarbonate
HP:0011042	Abnormal blood potassium concentration	UBERON:0000178	blood	CHEBI:29103	potassium(1+)
HP:0011031	Abnormality of iron homeostasis	UBERON:0000178	blood	CHEBI:24875	iron cation
HP:0011016	Abnormality of urine glucose concentration	UBERON:0001088	urine	CHEBI:17234	glucose
HP:0011015	Abnormality of blood glucose concentration	UBERON:0000178	blood	CHEBI:17234	glucose
HP:0010979	Abnormality of lipoprotein cholesterol concentration	UBERON:0000178	blood	CHEBI:50404	lipoprotein cholesterol
HP:0010931	Abnormal blood sodium concentration	UBERON:0000178	blood	CHEBI:29101	sodium(1+)
HP:0010897	Hypersarcosinuria	UBERON:0001088	urine	CHEBI:15611	sarcosine
HP:0010876	Abnormality of circulating protein level	UBERON:0000178	blood	CHEBI:16541	protein polypeptide chain
HP:0010836	Abnormal circulating copper concentration	UBERON:0000178	blood	CHEBI:28694	copper atom
HP:0004364	Abnormal circulating nitrogen compound concentration	UBERON:0000178	blood	CHEBI:51143	nitrogen molecular entity
HP:0003111	Abnormal blood ion concentration	UBERON:0000178	blood	CHEBI:24867	monoatomic ion
