defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0002932	Aldehyde oxidase deficiency	http://purl.obolibrary.org/obo/PR_000004089	aldehyde oxidase
http://purl.obolibrary.org/obo/HP_0003145	Decreased adenosylcobalamin	http://purl.obolibrary.org/obo/CHEBI_18408	cobamamide
http://purl.obolibrary.org/obo/HP_0030685	Decreased adiponectin level	http://purl.obolibrary.org/obo/PR_Q15848	adiponectin (human)
http://purl.obolibrary.org/obo/HP_0004369	Decreased circulating purine concentration	http://purl.obolibrary.org/obo/CHEBI_26401	purines
http://purl.obolibrary.org/obo/HP_0410361	Decreased core 1 O-glycan level	http://purl.obolibrary.org/obo/CHEBI_546807	beta-D-Galp-(1->3)-D-GalpNAc
http://purl.obolibrary.org/obo/HP_0003568	Decreased glucosephosphate isomerase level	http://purl.obolibrary.org/obo/PR_000008175	glucose-6-phosphate isomerase
http://purl.obolibrary.org/obo/HP_0003223	Decreased methylcobalamin	http://purl.obolibrary.org/obo/CHEBI_28115	methylcobalamin
http://purl.obolibrary.org/obo/HP_0003282	Low alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme
http://purl.obolibrary.org/obo/HP_0010687	Low intestinal alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003964	intestinal alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0004905	Low levels of vitamin A	http://purl.obolibrary.org/obo/CHEBI_12777	vitamin A
http://purl.obolibrary.org/obo/HP_0100512	Low levels of vitamin D	http://purl.obolibrary.org/obo/CHEBI_27300	vitamin D
http://purl.obolibrary.org/obo/HP_0100513	Low levels of vitamin E	http://purl.obolibrary.org/obo/CHEBI_33234	vitamin E
http://purl.obolibrary.org/obo/HP_0011892	Low levels of vitamin K	http://purl.obolibrary.org/obo/CHEBI_28384	vitamin K
http://purl.obolibrary.org/obo/HP_0010688	Low placental alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003969	alkaline phosphatase, placental type
http://purl.obolibrary.org/obo/HP_0003637	Reduced 4-Hydroxyphenylpyruvate dioxygenase level	http://purl.obolibrary.org/obo/PR_P32754	4-hydroxyphenylpyruvate dioxygenase (human)
http://purl.obolibrary.org/obo/HP_0012517	Reduced catalase level	http://purl.obolibrary.org/obo/PR_000005061	catalase
http://purl.obolibrary.org/obo/HP_0003654	Reduced dihydropyrimidine dehydrogenase level	http://purl.obolibrary.org/obo/PR_Q12882	dihydropyrimidine dehydrogenase [NADP(+)] (human)
http://purl.obolibrary.org/obo/HP_0003655	Reduced level of N-acetylglucosaminyltransferase II	http://purl.obolibrary.org/obo/PR_Q10469	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (human)
http://purl.obolibrary.org/obo/HP_0003267	Reduced orotidine 5-prime phosphate decarboxylase level	http://purl.obolibrary.org/obo/PR_000023661	orotidine 5'-phosphate decarboxylase
http://purl.obolibrary.org/obo/HP_0005982	Reduced phenylalanine hydroxylase level	http://purl.obolibrary.org/obo/PR_000012234	phenylalanine-4-hydroxylase
http://purl.obolibrary.org/obo/HP_0003534	Reduced xanthine dehydrogenase level	http://purl.obolibrary.org/obo/PR_P47989	xanthine dehydrogenase/oxidase (human)
