defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0410370	Absence of ganglioside GM3	http://purl.obolibrary.org/obo/CHEBI_84118	ganglioside GM3
http://purl.obolibrary.org/obo/HP_0006254	Elevated alpha-fetoprotein	http://purl.obolibrary.org/obo/PR_000003809	alpha-fetoprotein
http://purl.obolibrary.org/obo/HP_0003155	Elevated circulating alkaline phosphatase concentration	http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme
http://purl.obolibrary.org/obo/HP_0010681	Elevated intestinal alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003964	intestinal alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010682	Elevated placental alkaline phosphatase	http://purl.obolibrary.org/obo/PR_000003969	alkaline phosphatase, placental type
http://purl.obolibrary.org/obo/HP_0030686	Increased adiponectin level	http://purl.obolibrary.org/obo/PR_Q15848	adiponectin (human)
http://purl.obolibrary.org/obo/HP_0000870	Increased circulating prolactin concentration	http://purl.obolibrary.org/obo/PR_000013246	prolactin
http://purl.obolibrary.org/obo/HP_0410360	Increased core 1 O-glycan level	http://purl.obolibrary.org/obo/CHEBI_546807	beta-D-Galp-(1->3)-D-GalpNAc
http://purl.obolibrary.org/obo/HP_0410368	Increased globoside Gb3 level	http://purl.obolibrary.org/obo/CHEBI_84690	alpha-D-Gal-(1->4)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer(d18:1/18:0)
http://purl.obolibrary.org/obo/HP_0410366	Increased globoside Gb4 level	http://purl.obolibrary.org/obo/CHEBI_84125	globoside Gb4
